Upper Sorbian	Polish	probability
a	a	1.0
b	b	1.0
bʲ	b_j	1.0
d	d	1.0
e	ˈɛ	1.0
j	j	1.0
k	k	1.0
kʲ	k	1.0
l	l	1.0
m	m	1.0
mʲ	m_j	1.0
n	n	1.0
pʲ	p_j	1.0
t	t	1.0
w	w	1.0
xʲ	x	1.0
ɛ	ɛ	1.0
ɦ	ɡ	1.0
ɲ	ɲ	1.0
ʀ	r	1.0
ʀʲ	ʐ	1.0
ʒ	ʐ	1.0
ʤ	ʥ	1.0
ˈɪ	ˈɨ	1.0
β	v	1.0
p	p	0.941
ʦ	ʦ	0.901
ˈe	ˈa	0.471
i	i	0.652
s	ɕ	0.432
ˈi	ˈi	0.462
ˈu	ˈɛ	0.102
ˈu	ˈu	0.292
x	k	0.453
z	ʑ	0.63
ˈɔ	ɛ	0.063
ˈɔ	ˈɛ	0.093
ɔ	ˈɔ	0.174
ɥ	v	0.14
ɪ	ɨ	0.914
ʧ	ɲ_ʨ	0.284
ˈa	ˈɛ	0.104
ˈo	ˈu	0.294
ˈɛ	ˈa	0.154
ˈɛ	ˈɛ	0.4
ʃ	ʂ	0.465
ʃ	w̃_ʂ	0.535
ˈu	ˈɔ	0.605
ɥ	v_j	0.86
ɪ	i	0.086
ʧ	ʈ͡ʂ	0.06
ʧ	ʨ	0.656
ˈa	ˈa	0.896
ˈo	ˈɔ	0.706
ˈɛ	ɛ	0.446
x	x	0.547
ɔ	ɔ	0.677
ˈɔ	ˈa	0.107
i	ɨ	0.348
s	s	0.568
z	z	0.28
ˈi	ˈɨ	0.538
ˈɔ	ˈɔ	0.608
p	m_p	0.059
z	w̃_z	0.09
ɔ	ɛ	0.149
ʦ	w̃_#>	0.099
ˈe	ˈɛ	0.529
ˈɔ	ˈu	0.129
