Russian	Belarusian	probability
b	b	1.0
bʲ	bʲ	1.0
d	d	1.0
dʲ	ʣʲ	1.0
j	j	1.0
kʲ	kʲ	1.0
lʲ	lʲ	1.0
m	m	1.0
n	n	1.0
nʲ	nʲ	1.0
p	p	1.0
r	r	1.0
rʲ	r	1.0
s	s	1.0
sʲ	sʲ	1.0
t	t	1.0
tʲ	ʦʲ	1.0
v	v	1.0
vʲ	vʲ	1.0
x	x	1.0
zʲ	zʲ	1.0
ɐ	a	1.0
ɡ	ɣ	1.0
ɨ	ɨ	1.0
ʂ	ʂ	1.0
ʊ	u	1.0
ʐ	ʐ	1.0
ʦ	ʦ	1.0
ʨ	ʧ	1.0
ˈi	ˈi	1.0
ˈu	ˈu	1.0
ˈæ	ˈæ	1.0
ˈɛ	ˈɛ	1.0
ˈɨ	ˈɨ	1.0
ˈɵ	ˈɵ	1.0
ˈa	ˈæ	0.261
k	k	0.963
mʲ	mʲ	0.843
pʲ	p	0.103
ɪ	e	0.3
ˈe	ˈe	0.953
ɫ	w	0.14
z	zʲ	0.195
z	z	0.805
ɫ	ɫ	0.86
mʲ	m	0.157
pʲ	pʲ	0.897
ə	a	0.977
ɪ	a	0.217
ˈo	ˈo	0.987
ɪ	æ	0.448
ˈa	ˈa	0.739
