West Frisian	West Frisian	probability
ˈɪə̯_#>	ˈoː_d̥_#>	1.0
ˈɛː	-	1.0
ˈɛi̯	-	1.0
ˈɛ_j_#>	ˈaɪ̯_#>	1.0
ˈɔu̯	-	1.0
ˈøə̯	ˈaɪ̯	1.0
ˈø	-	1.0
ˈyː	-	1.0
ˈy	-	1.0
ˈu̯o	ˈiː	1.0
ˈu	ˈʊ	1.0
ˈoː	ˈuː	1.0
ˈiə̯_n	ˈeː	1.0
ˈaː_j	ˈɔɪ̯	1.0
ʦ_j	d	1.0
ʦ	-	1.0
ʋ	ʋ	1.0
ɪ_n	eː	1.0
ɪ	ɪ	1.0
ɣ_ə_#>	k_#>	1.0
ɣ	-	1.0
ɡ	ɡ	1.0
ə_r	ɑ	1.0
ɕ	s	1.0
ŋ	ŋ	1.0
z	-	1.0
v_ə	f	1.0
v	ʋ	1.0
t_#>	#>	1.0
s_k	ʃ	1.0
s_#>	s_#>	1.0
p_#>	f_#>	1.0
n_d	n	1.0
l_ˈɛː	l	1.0
l_#>	l_#>	1.0
k_ə	ɪ_ç	1.0
j_ˈɪ	ˈiː	1.0
j_ˈuə̯	ˈaɪ̯	1.0
j_ə	ə	1.0
h	h	1.0
d̥	d̥	1.0
d	d	1.0
b	b	1.0
<#_t	<#_d	1.0
<#_r	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k	<#_k	1.0
l	l	0.926
m	m	0.923
f	f	0.778
ˈuə̯	ˈuː	0.727
n	n	0.696
ˈeː	ˈeː	0.667
ˈa	ˈa	0.667
ə	ə	0.635
s	ʃ	0.611
ˈɔː	ˈa	0.6
r	ɾ	0.585
ˈɪ	ˈɪ	0.577
#>	d̥_#>	0.55
ˈiː	ˈaɪ̯	0.5
p	p	0.5
p	f	0.5
j	-	0.5
ˈuː	ˈaʊ̯	0.462
ˈaː	ˈa	0.429
k	k	0.412
ˈɔː	ˈa_l	0.4
s	s	0.389
χ	ç	0.375
ˈiə̯	ˈiː	0.375
t	s	0.37
ˈɔ	ˈɔ	0.35
ˈɛ	ˈɛː	0.333
ˈɛ	ˈɛ	0.333
ˈɛ	-	0.333
ˈi	ˈaɪ̯	0.333
ˈeː	-	0.333
t	t	0.326
r	ɑ	0.317
χ	x	0.312
ˈiə̯	ˈeː	0.312
ˈoə̯	ˈaː	0.308
ˈɔ	ˈʊ	0.3
ˈiː	ˈɪ	0.3
k	ç	0.294
k	x	0.294
ˈɪə̯	ˈeː	0.286
ˈaː	ˈɔː	0.286
ˈaː	-	0.286
ˈuə̯	-	0.273
ə	-	0.269
ˈi	ˈɪ	0.25
ˈi	ˈeː	0.25
t	ʦ	0.239
ˈuː	ˈʊ	0.231
ˈoə̯	ˈoː	0.231
ˈoə̯	ˈa	0.231
ˈoə̯	-	0.231
ˈa	ˈɔː	0.222
ˈɔ	-	0.2
ˈiː	-	0.2
#>	ə_#>	0.2
n	-	0.196
ˈɪə̯	ˈɔː	0.19
χ	k	0.188
ˈiə̯	ˈoː	0.188
j	ˈaɪ̯	0.188
j	j	0.188
ˈi	-	0.167
ˈɪ	ˈɛ	0.154
ˈɪ	-	0.154
ˈuː	ˈaɪ̯	0.154
ˈuː	-	0.154
ˈɔ	ˈɪ	0.15
#>	ɑ_#>	0.15
f	b̥	0.148
ˈɪə̯	ˈiː	0.143
ˈɪə̯	ˈa	0.143
ˈɪə̯	-	0.143
χ	ɡ̊	0.125
ˈiə̯	ˈɔː	0.125
j	ɡ	0.125
ˈɪ	ˈaɪ̯	0.115
ˈa	-	0.111
#>	b̥_#>	0.1
r	d_ɑ	0.098
ˈɪə̯	ˈoː	0.095
m	ˈʊ_m	0.077
l	ˈɛ_l	0.074
f	f_ˈɛ	0.074
t	d	0.065
n	ə	0.065
ə	ɪ	0.058
