Danish	Danish	probability
ˈʌˀ	ˈɔː	1.0
ˈɛˀ	-	1.0
ˈɔː	ˈeː	1.0
ˈɒˀ	j_ˈeː	1.0
ˈɑː	ˈa_ð	1.0
ˈɑ_j	ˈi_k	1.0
ˈœˀ	ˈɔ	1.0
ˈœ	ˈu	1.0
ˈøː	ˈɔː_s	1.0
ˈøˀ	ˈɔː	1.0
ˈø	ˈi	1.0
ˈæˀ	ˈa	1.0
ˈæ	ˈa	1.0
ˈyˀ	ˈiu̯	1.0
ˈy	ˈiu̯_ð	1.0
ˈuː	ˈu_ɡʷː	1.0
ˈuˀ	ˈuː	1.0
ˈoː_d̥	ɔː	1.0
ˈiː	ˈi	1.0
ˈi	-	1.0
ˈeː	ˈa	1.0
ʁ	r	1.0
ɐˀ	r	1.0
ɐ_#>	r_#>	1.0
ŋˀ	ŋ_ɡ	1.0
n_ə	n_oː	1.0
mˀ	m	1.0
m	m	1.0
l_ə	e	1.0
l	l	1.0
kʰ	kʷ	1.0
jˀ	ɡ	1.0
j_ˈɛ	ˈɛ	1.0
i	a_x	1.0
h	h	1.0
f	f	1.0
b̥_#>	p_#>	1.0
<#_ˈɔ	<#	1.0
<#_ˈo	<#_w_ˈɔ	1.0
<#_ʦʰ	<#_θ	1.0
<#_ʁ	<#_r	1.0
<#_ɡ̊	<#_ɡ	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_kʰ	<#_k	1.0
<#_j	<#_h	1.0
<#_d̥	<#_d	1.0
#>	s_#>	0.845
ˈu	ˈu	0.833
s	s	0.833
d̥	t	0.769
ˈe	ˈi	0.75
n	n	0.731
ˈoˀ	ˈoː	0.714
ˈiˀ	ˈiː	0.714
ɡ̊	k	0.714
ˈɑ	ˈa	0.667
ʦʰ	t	0.667
ʋ	w	0.667
b̥	b	0.647
lˀ	l	0.615
ˈeˀ	ˈɛː	0.571
ˈʌ	ˈa	0.5
ˈʌ	-	0.5
ˈɛ	ˈɛ	0.5
ˈɛ	-	0.5
ˈɔˀ	ˈeː	0.5
ˈɔˀ	ˈa	0.5
ˈɑˀ	ˈa_r	0.5
ˈɑˀ	-	0.5
ˈo	ˈɔ	0.5
ˈo	-	0.5
ɐ	r	0.5
<#	<#_ˈa	0.5
<#	<#_h	0.5
ˈeˀ	a	0.429
ə	a_n	0.424
w	β	0.4
nˀ	n_d	0.4
nˀ	n	0.4
ɐ	a_r	0.357
ð̞ˠ	t	0.353
b̥	p	0.353
ˈɑ	ˈi	0.333
ʦʰ	t_w	0.333
j	ˈɛ	0.333
j	ˈi	0.333
j	x	0.333
w	f	0.3
w	-	0.3
ð̞ˠ	θ	0.294
ˈoˀ	-	0.286
ˈiˀ	-	0.286
ˈe	ˈa	0.25
ð̞ˠ	θ_s	0.235
lˀ	lː	0.231
d̥	h_t	0.231
ʋ	-	0.2
nˀ	-	0.2
ˈu	w_ˈu	0.167
s	-	0.167
lˀ	l_b	0.154
ə	n	0.152
ə	-	0.152
ɡ̊	ɡ	0.143
ɡ̊	-	0.143
ɐ	-	0.143
ʋ	ʍ	0.133
ə	oː	0.121
ð̞ˠ	t_a	0.118
n	nː	0.115
#>	n_#>	0.099
ə	a	0.091
n	oː	0.077
n	n_θ	0.077
ə	i	0.061
