Old Frisian	Nynorsk Norwegian	probability
ˈu_ŋ	ɲ	1.0
ˈo_l	l	1.0
ˈiː	ˈiː	1.0
ˈeː_r	ɾ	1.0
ˈe_r	ɾ	1.0
ˈe_d	ˈɑː	1.0
ʦ	ç	1.0
ʣ	-	1.0
ɣ	ɡ	1.0
ɡː	ɡː	1.0
ɡ_ə	e	1.0
ɡ	j	1.0
ə_r	ɾ	1.0
ə_d	ʉ	1.0
ŋ_k	ʰkː	1.0
ŋ	ŋː	1.0
ð	ˈøː	1.0
z	s	1.0
x_t	ʰtː	1.0
v	ʋ	1.0
s_ˈa	s_ˈɑ	1.0
s_w	s	1.0
s_k	ʂ	1.0
r	ɾ	1.0
pː	p	1.0
nː	nː	1.0
n_d	nː	1.0
mː	m_j	1.0
lː	lː	1.0
l_d	lː	1.0
k_ˈi	ˈiː	1.0
j_ə	ɑ	1.0
iː_n	tː	1.0
f	f	1.0
e	-	1.0
dː	-	1.0
bː	-	1.0
b	b	1.0
a	ɑ	1.0
l	l	0.931
m	m	0.911
ˈoː	ˈuː	0.845
θ	tʰ	0.819
s	s	0.815
t	t	0.814
h	h	0.812
p	p	0.803
ˈu	ˈʉ	0.802
n	n	0.753
k	k	0.719
ˈuː	ˈʉː	0.673
w	ʋ	0.673
ˈɛː	ˈæɪ̯	0.671
ˈa	ˈɑ	0.607
d	d	0.576
ˈeː	ˈoː	0.568
ˈi	ˈɪ	0.557
ˈi̯uː	-	0.534
ˈaː	ˈæʉ̯	0.481
j	ɡ	0.481
ˈi̯uː	ˈyː	0.466
ˈɔː	ˈɑ	0.448
ˈo	ˈɔ	0.431
d	-	0.424
ˈi̯aː	ˈʉː	0.385
ˈi̯aː	ˈyː	0.374
ˈaː	ˈoː	0.34
ə	ɑ	0.34
ˈe	ˈɛ	0.316
ˈeː	ˈøː	0.31
ˈa	ˈɑː	0.297
ə	e	0.274
ə	-	0.27
ˈɔː	ˈʊ	0.242
ˈi̯aː	-	0.241
ˈo	-	0.238
j	-	0.238
k	ç	0.211
ˈu	-	0.198
ˈɛː	-	0.192
ˈuː	ˈɔ	0.192
j	j	0.187
n	-	0.184
ˈo	ˈoː	0.183
θ	ç	0.181
w	-	0.181
ˈaː	-	0.179
s	ʂ	0.175
ˈɔː	ˈuː	0.161
ˈoː	-	0.155
ˈe	ˈʏ	0.151
ˈɔː	ˈoː	0.149
ˈo	ˈʉː	0.148
w	v	0.146
ˈi	ˈʏ	0.143
p	pʰ	0.138
ˈɛː	ˈœʏ̯	0.137
ˈuː	ˈʉ	0.135
ˈe	ˈɑ	0.127
ˈeː	-	0.121
t	-	0.119
ˈi	ˈiː	0.117
ə	ə	0.106
h	j	0.101
ˈa	ˈɔ	0.097
ˈi	ˈeː	0.095
j	ˈʏ	0.095
ˈe	ˈɑː	0.091
m	mː	0.089
ˈi	ˈɛ	0.087
h	kʰ	0.087
ˈe	-	0.083
ˈe	ˈeː	0.081
k	ɡ	0.07
l	lː	0.069
t	ʰtː	0.067
p	ʰpː	0.06
ˈe	ˈæː	0.056
ˈe	j_ˈœ	0.056
n	nː	0.05
