Insular North Frisian	Dutch	probability
ˈɛ_ɾ	ˈeː	1.0
ˈɛ_l	ɫ	1.0
ˈuː_n	ˈaː_n	1.0
ˈiː_n	ˈeː_n	1.0
ˈaʊ̯	ˈoː_v	1.0
ʃ	z	1.0
ɪ	ɪ	1.0
ɐ_x	ɾ	1.0
ŋ	ŋ	1.0
ç	χ	1.0
z	z	1.0
x_t	d̥	1.0
tʲ	d	1.0
tʰ	d	1.0
s_l	s_ɫ	1.0
s_k	s	1.0
r_ˈœ	ɾ	1.0
pʰ	p	1.0
p	p	1.0
n_t	n_t	1.0
m	m	1.0
lʲ	ɫ_d̥	1.0
k_ˈɛ	χ_ˈɪ	1.0
j	j	1.0
h	ɦ	1.0
f	v	1.0
e	ɫ	1.0
b	b	1.0
aɪ̯	i	1.0
t	t	0.94
v	ʋ	0.938
l	ɫ	0.931
n	n	0.92
r	ɾ	0.914
ˈa	ˈɑ	0.898
ˈɔː	ˈaː	0.872
d	d	0.816
k	k	0.774
x	χ	0.707
ɐ	ɾ	0.706
ˈøː	ˈu	0.667
ɾ	d̥	0.608
ˈaɪ̯	χ	0.589
ˈɔa̯	ˈoː	0.584
ˈuː	ˈoː	0.58
s	z	0.554
ˈoː	ˈoː	0.506
ˈɛː	ˈɛ	0.5
ˈɛː	-	0.5
ɪ_ç	χ	0.5
ɪ_ç	ə_χ	0.5
nʲ	n_d̥	0.5
nʲ	n_d	0.5
ˈɔ	ˈɔ	0.496
ˈiː	ˈi	0.482
ˈɪ	ˈɪ	0.475
ˈœ	ˈɔ	0.466
ˈyː	ˈyː	0.457
ə	ə	0.446
s	s	0.446
ˈuː	n	0.42
ˈaɪ̯	-	0.411
ˈʏ	ˈœy̯	0.402
ɾ	d_ə	0.392
ˈɪ	ˈɛi̯	0.354
ˈeː	ˈeː	0.35
ˈʊ	ˈɔ	0.335
ˈøː	ˈøː	0.333
ə	-	0.31
ˈiː	ˈɛi̯	0.306
ˈʏ	ˈɔ	0.303
ˈyː	ˈœy̯	0.297
x	ɾ	0.293
ˈoː	ˈu	0.278
ˈɔa̯	-	0.255
ˈɔ	ˈɛ	0.252
ˈɔ	ˈu	0.252
ˈyː	-	0.246
k	χ	0.226
ˈʊ	ˈɪ	0.222
ˈoː	-	0.215
ˈeː	-	0.21
ɐ	ə_ɾ	0.205
ˈɛ	-	0.195
ˈʊ	-	0.194
ˈɛ	ˈɛ	0.192
ə	ə_n	0.189
ˈœ	ˈɑ	0.185
ˈœ	ˈoː	0.185
ˈɛ	ˈɪ	0.183
ˈɛ	ˈʏ	0.176
ˈœ	-	0.165
ˈɔa̯	ˈoː_ɾ	0.161
ˈʏ	ˈɑ	0.145
ˈɔː	-	0.128
ˈʊ	ˈu	0.126
ˈʊ	ˈɑ	0.122
ˈeː	ˈu	0.121
ˈeː	ˈɑ	0.12
ˈeː	ˈaː	0.12
ˈɛ	ˈeː	0.106
ˈiː	ˈeː	0.106
ˈiː	ˈaː	0.106
d	t	0.105
ˈɛ	ˈi	0.102
ˈa	-	0.102
ˈɪ	ˈi	0.098
ɐ	ə	0.089
r	ɾ_ˈʏ	0.086
ˈʏ	ˈɛi̯	0.08
n	n_d	0.08
ˈeː	ˈi	0.079
d	t_ə	0.078
ˈɪ	-	0.073
ˈʏ	ˈoː	0.071
v	-	0.062
t	d̥	0.06
ə	ɫ	0.055
