Nuorese	Western Lombard	probability
β_a	ẽ	1.0
ˈɛ_n	ˈẽ	1.0
ˈɔ_n	ˈũ	1.0
ˈu_p	ˈuː	1.0
ˈu_n	ˈỹ	1.0
ˈo_s	ˈɔ_s	1.0
ˈi_n	ˈĩ	1.0
ˈe_t	ˈɛ_ʧ	1.0
ˈe_n	ˈẽ	1.0
ˈa_p	ˈa_v	1.0
ˈa_n	ˈã	1.0
ʣ	-	1.0
ɲ	ɲ	1.0
ɛ̆	-	1.0
ɖː	l	1.0
ɔ̆	-	1.0
ð_a	a	1.0
z_u	s	1.0
t_u	s	1.0
t_a	d_a	1.0
s	s	1.0
r_u	r_n	1.0
r	r	1.0
p_ɾ	p_j	1.0
p	p	1.0
o	-	1.0
nː_u	t	1.0
n_ʣ	ɲ	1.0
n_t	t	1.0
l	l	1.0
k_ɾ	ʧ	1.0
k_ɛ	s	1.0
j	-	1.0
i_s	s	1.0
f	f	1.0
d	-	1.0
a_l	a_l	1.0
a	a	0.952
t	t	0.912
ˈe	ˈɛ	0.802
m	m	0.792
ɾ_u	r	0.743
a_t	a_d	0.737
ɾ_a	r_a	0.724
e	e	0.723
ŋ	-	0.719
z	-	0.715
n	n	0.709
ʦ	s	0.706
ɾ	r	0.696
ð	d	0.667
k	k	0.65
ɔ	-	0.619
nː	n	0.6
ɣ	ʧ	0.58
b	v	0.512
b	b	0.488
ˈa	ˈa	0.474
ɡ	ɡ	0.431
i	-	0.43
ɛ	-	0.421
ɣ	ɡ	0.42
ˈa	ˈɑː	0.41
ˈɛ	ˈeː	0.409
ˈu	ˈyː	0.403
i	e	0.401
nː	ɲ	0.4
β	v	0.393
ˈo	-	0.392
ɛ	e	0.388
ɔ	u	0.381
ˈɛ	ˈɛ	0.377
ˈi	ˈiː	0.373
ð	-	0.333
ˈɔ	ˈɔ	0.297
ʦ	-	0.294
z	z	0.285
ŋ	ˈũ	0.281
e	-	0.277
ɾ_a	a	0.276
ɡ	ʒ	0.271
u	u	0.265
ˈi	ˈi	0.263
a_t	ɛ	0.263
ˈo	ˈøː	0.258
ɾ_u	e_r	0.257
β	f	0.255
u	y	0.247
n	-	0.247
β	b	0.227
ˈɔ	ˈøː	0.226
ˈɛ	ˈe	0.214
m	-	0.2
ˈu	ˈu	0.197
ˈo	ˈɔ	0.19
k	-	0.18
ˈɔ	ˈuː	0.176
i	i	0.168
ɡ	ʤ	0.166
u	-	0.164
u	l	0.162
u	k	0.162
ˈo	ˈu	0.161
ˈi	ˈeː	0.144
ɛ	ˈɛ	0.134
ɡ	-	0.132
β	-	0.125
ˈɔ	ˈu	0.125
ˈu	-	0.103
ɾ	ˈi	0.103
ˈe	ˈeː	0.099
ˈe	-	0.099
ˈa	ˈã	0.096
t	d	0.088
ˈu	ˈuː	0.084
ˈu	ˈɔ	0.081
ˈu	ˈũ	0.08
k	s	0.078
ˈi	ˈe	0.076
ɾ	ʧ	0.072
ˈɔ	ˈyː	0.067
ˈɔ	u	0.067
ˈi	ˈɛ	0.062
k	ɡ	0.06
ɛ	f	0.058
ˈu	ˈy	0.052
