Nuorese	Nuorese	probability
β_ɛ	w	1.0
ˈɛ_ɣ	ʝ	1.0
ˈu_ɾ	ˈu_ɾ	1.0
ʦ	-	1.0
ʣ	ʎ	1.0
ɾ_ˈa	l_ˈa	1.0
ɾ_u	ɾ_e	1.0
ɾ_k	ɾ_k	1.0
ɾ_b	ɾ_β	1.0
ɾ_a	ɾ_a	1.0
ɲ	ɲ	1.0
ɣ_ɛ_#>	j_#>	1.0
ɔ̆	-	1.0
z_ɛ̆	s	1.0
z_u	z	1.0
ŭ	-	1.0
u_z	o	1.0
u_#>	#>	1.0
o_ɾ	o_ɾ	1.0
o_j	u	1.0
o	o	1.0
n_ʣ	ɲ	1.0
n_ɛ_#>	n_#>	1.0
n_ɛ	e	1.0
n_u	n	1.0
n_t	ˈe_n	1.0
l_ɛ_#>	l_#>	1.0
l	l	1.0
k_ˈi	θ_ˈi	1.0
j_u	o	1.0
i_n	b_ɾ	1.0
f	f	1.0
b	b	1.0
a_#>	#>	1.0
<#_ˈɔ	<#_w	1.0
<#_ˈo	<#_w	1.0
<#_ˈi	<#_ˈe	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʣ	<#_ʧ	1.0
<#_ɾ	<#_r	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_b	<#	1.0
<#	<#_ɡ	1.0
#>	a_#>	1.0
ɛ_#>	#>	0.957
a	a	0.938
n	n	0.914
u	o	0.907
ˈa	ˈa	0.9
d	d	0.857
m	m	0.84
p	p	0.821
<#_i	<#_e	0.818
ɾ	ɾ	0.81
β	β	0.786
s	s	0.778
z	s	0.714
ˈo	w_ˈe	0.706
ˈu	ˈu	0.69
ɔ	o	0.688
ð	ð	0.667
ɛ_ɾ	ˈe_ɾ	0.636
ɣ	ɣ	0.6
ŋ	-	0.6
j	j	0.6
k	k	0.593
t	t	0.592
ˈi	ˈi	0.568
ɖː	ʎ	0.556
nː	n	0.556
ˈe	j_ˈe	0.5
r	r	0.5
k_ɾ	ˈe_ʎ	0.5
k_ɾ	ʎ	0.5
e	e	0.5
e	-	0.5
ˈɛ	ˈe	0.48
ˈɔ	ˈo	0.462
i	e	0.45
ɖː	-	0.444
nː	ɲ	0.444
ɡ	ʧ	0.429
ɡ	ɡ	0.429
ɣ	-	0.4
ŋ	ŋ	0.4
j	-	0.4
ˈe	ˈe	0.375
ɛ_ɾ	ɾ	0.364
ˈi	ˈe	0.351
ˈɔ	w_ˈe	0.346
ɛ	e	0.344
ð	-	0.333
ɔ	-	0.312
ˈu	ˈo	0.31
r	ɾ_n	0.3
ˈo	ˈo	0.294
z	-	0.286
ˈɛ	j_ˈe	0.28
ˈɛ	j	0.24
t	ð	0.224
k	θ	0.22
β	-	0.214
r	ɾ	0.2
i	ˈi	0.2
i	-	0.2
<#_i	<#	0.182
p	β	0.179
m	ŋ	0.16
ɛ	ˈe	0.156
ɛ	ɾ	0.156
i	i	0.15
s	ʃ	0.148
ɾ	l	0.143
ɡ	-	0.143
d	-	0.143
ˈe	ˈe_j	0.125
ɛ	o	0.125
k	ɣ	0.119
ˈɔ	w	0.115
ˈa	-	0.1
ɛ	i	0.094
n	-	0.086
t	-	0.082
ˈi	e	0.081
ˈɔ	ˈu_j	0.077
s	-	0.074
ɛ	ˈi	0.062
ɛ	j	0.062
t	j_t	0.061
u	-	0.053
