West Flemish	West Flemish	probability
ˈɪ	ˈɪ	1.0
ˈɛː_n	ˈaː	1.0
ˈɛː_m	ɪ	1.0
ˈøː	ˈoː	1.0
ˈuə̯_t	ˈiː_s	1.0
ˈi	ˈaɪ̯	1.0
ʃ_h	ʃ	1.0
ɾ_ˈœ	r_ˈɪ	1.0
ɾ_ə	ɐ	1.0
ɾ_d̥	ɐ_d̥	1.0
ɪ	i	1.0
ɦ̥_#>	#>	1.0
ɦ_ɾ	ɡ̊_r	1.0
ɦ_n	ŋ	1.0
ɦ	-	1.0
ə_ɾ	ɐ	1.0
ŋ	ŋ	1.0
ç	i	1.0
z̥	s	1.0
w	l	1.0
v̥	b̥	1.0
v_n	m	1.0
t_#>	s_#>	1.0
s_t	ʃ_d̥	1.0
p_#>	f_#>	1.0
n_d	n	1.0
m	m	1.0
l	l	1.0
k_#>	#>	1.0
j	j	1.0
iə̯	eː	1.0
h_ˈæ	ˈa	1.0
h_t	x_d̥	1.0
h	ç	1.0
d̥	d̥	1.0
d	d̥	1.0
b	b̥	1.0
<#_ˈɒː	<#_ˈɒ	1.0
<#_ɾ	<#_r	1.0
<#_ɦ	<#	1.0
<#_t	<#_ʦ	1.0
<#_n	<#_n	1.0
<#	<#_h	1.0
ʋ	v	0.905
v	f	0.897
ˈuə̯	ˈuː	0.846
n	n	0.811
p	b̥͡v̥	0.75
ˈɑ	ˈɒ	0.739
ˈyː	ˈaʊ̯	0.727
z	s	0.72
ˈɛ	-	0.714
ˈiə̯	ˈiː	0.706
s	ʃ	0.706
ˈɒː	ˈoː	0.625
ˈu	ˈʊ	0.625
ˈæ	ˈɛ	0.615
ɾ	ɐ	0.605
ˈɛː	-	0.6
ɦ̥	x	0.6
k	ɡ̊	0.6
ə	-	0.531
ɦ_ə	ɡ̊_n	0.5
ɦ_ə	x	0.5
ˈɔ	ˈɔ	0.455
ˈɛː	ˈaː	0.4
ɦ̥	ç	0.4
ˈu	ˈɒ_l	0.375
ˈɔ	ˈʊ	0.364
t	ʦ	0.35
t	d̥	0.35
ˈœ	ˈʊ	0.333
ˈœ	ˈɔ	0.333
ˈœ	-	0.333
ˈoː	ˈuː	0.333
ˈiə̯	ˈaɪ̯	0.294
ˈɛ	ˈɛ	0.286
ˈeː	ˈɛ	0.286
ˈeː	ˈeː	0.286
ˈeː	ˈaː	0.286
ɾ	r	0.279
ˈyː	ˈaɪ̯	0.273
ˈɒː	-	0.25
ˈoː	ˈaː	0.25
ə	a	0.25
t	z̥	0.25
p	v̥	0.25
ˈæ	-	0.231
ə	n	0.219
z	ʃ	0.2
k	ç	0.2
k	x	0.2
ˈɔ	ˈɒ	0.182
s	s	0.176
ˈɑ	ˈoː	0.174
ˈoː	ˈɔ	0.167
ˈæ	ˈɪ	0.154
ˈuə̯	ˈiː	0.154
ˈeː	-	0.143
ˈɒː	ˈɒ	0.125
s	ɡ̊_s	0.118
v	β	0.103
ʋ	-	0.095
n	a	0.094
n	-	0.094
ˈɑ	ˈɔ	0.087
ˈoː	ˈʊ	0.083
ˈoː	ˈɘ	0.083
ˈoː	ˈeː	0.083
z	-	0.08
ɾ	ɾ_ɐ	0.07
