Slovak	Kashubian	probability
a	a	1.0
b	b	1.0
d	d	1.0
f	p	1.0
iː	i	1.0
j	j	1.0
n	n	1.0
s	s	1.0
t	t	1.0
v	v	1.0
ɛ	ɛ	1.0
ɟ	ʣ	1.0
ɪ̯ɛ	e	1.0
ɫ	w	1.0
ɲ	ɲ	1.0
ʃ	ʃ	1.0
ʎ	l	1.0
ʒ	ʒ	1.0
ʦ	ʦ	1.0
ʧ	ʧ	1.0
ˈaː	ˈɞ	1.0
ˈr̩	ˈɛ_r	1.0
ˈu	ˈõ	1.0
l	w	0.271
ɦ	ʤ	0.131
ˈa	ˈɔ	0.291
ˈɛ	ˈɔ	0.1
ˈɛ	ˈa	0.221
z	z	0.942
ɔ	u̯ɛ	0.382
ʋ	v_j	0.222
ʋ	v	0.672
c	ʦ	0.753
k	k	0.923
x	k	0.333
ɪ̯ˈɛ	j_ˈa	0.073
ˈa	ˈa	0.433
i	i	0.204
p	p_j	0.314
ɪ̯ˈɛ	j_ˈɞ	0.114
ˈi	ˈi	0.324
m	m_j	0.455
m	m	0.545
r	ʐ	0.35
r	r	0.65
ˈɔ	u̯ˈɛ	0.565
ˈɫ̩	w_ˈu	0.345
ˈɫ̩	ˈɞ_w	0.495
i	ə	0.796
p	p	0.686
ɪ̯ˈɛ	ˈɞ	0.426
ʋ	f_j	0.076
ˈi	ˈə	0.676
ˈɛ	ˈɛ	0.46
ˈɫ̩	<#_w	0.16
k	-	0.077
x	x	0.667
ɪ̯ˈɛ	ˈe	0.387
ˈa	ˈɞ	0.097
ˈɔ	ˈɔ	0.207
c	ŋ_ʦ	0.168
z	ŋ_z	0.058
ɔ	ɔ	0.618
ˈɛ	ˈe	0.218
c	ʧ	0.079
l	l	0.729
ɦ	ɡ	0.869
ˈa	ˈɛ	0.179
ˈɔ	ˈu	0.229
