Macedonian	Kashubian	probability
b	b	1.0
i	ə	1.0
j	j	1.0
k	k	1.0
l	l	1.0
p	p	1.0
ʃ	ʃ	1.0
ʒ	ʒ	1.0
ʦ	ʦ	1.0
ʧ	ʧ	1.0
ˈu	w_ˈʉ	1.0
f	f	0.351
o	i	0.091
r	ˈa_r	0.101
ˈi	ˈə	0.491
ˈo	u̯ˈɛ	0.461
ˈɛ	j_ˈɞ	0.051
ˈɛ	-	0.051
n	ɲ	0.292
n	n	0.542
t	ŋ_ʦ	0.062
ɛ	ɛ	0.512
ˈo	ˈɔ	0.172
ˈr̩	r	0.712
ˈɛ	ˈa_ŋ	0.062
d	ʣ	0.353
m	m	0.623
r	ʐ	0.273
ˈɛ	ˈɛ	0.153
v	v	0.594
z	ŋ_z	0.154
ɛ	j	0.104
ɫ	w_i	0.084
ˈa	ˈɛ	0.094
ˈɛ	ˈɔ	0.064
a	-	0.055
a	a	0.945
n	n_i	0.165
o	ɔ	0.655
s	<#_x	0.065
s	s	0.935
t	ʦ	0.255
ɡ	ʦ_#>	0.065
ɡ	ɡ	0.85
ˈa	ˈa	0.135
ˈo	ˈu	0.285
ˈɛ	ˈa	0.225
o	-	0.066
r	r	0.626
z	z	0.846
ɛ	-	0.236
ˈa	ˈõ	0.136
ˈa	ˈɔ	0.366
ˈɛ	ˈe	0.236
d	d	0.647
m	m_j	0.377
t	t	0.637
ɡ	i_#>	0.07
ɫ	l	0.127
o	u̯ɛ	0.188
v	v_j	0.328
ɛ	a	0.148
ɫ	w	0.788
ˈr̩	ˈɛ_r	0.288
ˈɛ	j_ˈɛ	0.058
f	x	0.649
v	f	0.079
ˈa	-	0.269
ˈi	ˈi	0.509
ˈɛ	ˈɞ	0.099
