Venetian	Ligurian	probability
f	f	1.0
i	i	1.0
k	k	1.0
m	m	1.0
p	p	1.0
t	t	1.0
w	w	1.0
ŋ	ŋ	1.0
ɲ	ɲ	1.0
ʤ	ʤ	1.0
ʧ	ʤ	1.0
b	b	0.871
j	-	0.841
n	n	0.601
v	v	0.871
ˈe	ˈe	0.691
ˈi	ˈi	0.781
ˈɛ	ˈɛː	0.251
e	i	0.102
o	u	0.822
s	s	0.882
z	ʒ	0.362
ˈa	ˈaː	0.142
ˈɔ	ˈøː	0.052
ˈɛ	ˈe	0.172
ˈu	ˈy	0.743
ˈɔ	ˈø	0.203
ˈɛ	ˈɛ	0.143
e	e	0.824
l	r	0.414
r	j	0.374
ɡ	-	0.144
ˈe	ˈeː	0.134
ˈe	l_ˈe	0.154
ˈi	ˈiː	0.174
d	-	0.235
d	d	0.765
ɰ	-	0.275
ˈo	ˈøː	0.085
ˈɛ	ˈeː	0.255
a	-	0.126
l	l	0.586
o	-	0.116
z	z	0.56
ɡ	ɡ	0.856
ˈo	ˈuː	0.296
ˈɔ	ˈɔː	0.496
r	-	0.117
ɰ	j	0.057
ˈa	ˈɛː	0.27
ˈu	ˈyː	0.257
r	r	0.478
s	ʃ	0.118
ɰ	l	0.668
ˈo	ˈu	0.598
ˈɛ	ˈe_l	0.178
a	a	0.829
b	ʤ	0.129
j	j	0.159
n	ŋ	0.399
v	-	0.129
ˈa	ˈa	0.589
ˈɔ	ˈɔ	0.249
