Pennsylvania German	Pennsylvania German	probability
ˈɔː_ɑ	ˈaː	1.0
ˈaː_ɾ	ˈuː	1.0
ˈaː	ˈaː	1.0
ʦ	ʦ	1.0
ʃ	ʃ	1.0
ɾ_ɪ	ɐ	1.0
ɪ	ə	1.0
ɣ	ə	1.0
ə_m	ɐ_m	1.0
ɑ	ɐ	1.0
ŋ	ŋ	1.0
ç	ɕ	1.0
t	t	1.0
p	p	1.0
n_ɑ	n_ɐ	1.0
n	n	1.0
m	m	1.0
h	h	1.0
eː	e_ŋ	1.0
d̥_#>	#>	1.0
d_ɑ	t_ɐ	1.0
b̥	v̥	1.0
b	b	1.0
<#_ˈa	<#_ˈaː	1.0
<#_n	<#_n	1.0
#>	n_#>	1.0
d	d	0.974
f	f	0.946
ɾ	ʀ	0.938
ɡ	ɡ	0.875
l	l	0.855
d̥	d̥	0.8
ə	ə_n	0.76
ˈiː	ˈɜɪ̯	0.75
ʋ	v	0.676
ˈɔ	ˈo	0.667
ɡ̊	-	0.667
n_#>	ʀ_#>	0.667
ˈeː	ˈeː	0.625
ˈɔː	ˈaː	0.579
ˈoː	ˈəʊ̯	0.571
ˈaʊ̯	ˈæːʊ̯	0.545
x	χ	0.545
ˈaɪ̯	ˈæːɪ̯	0.522
k	kʰ	0.5
ˈaʊ̯	ˈɑʊ̯	0.455
x	ɕ	0.455
ˈʊ	ˈo	0.444
ˈɛː	ˈiː	0.444
ˈa	ˈɑ	0.444
ˈɪ	ˈə	0.419
k	k	0.417
ˈuː	ˈu	0.4
j	j	0.4
j	-	0.4
s	s	0.388
ˈa	ˈaː	0.37
s	z	0.347
ˈɛː	ˈɛː	0.333
ɡ̊	ɕ	0.333
n_#>	#>	0.333
ˈaɪ̯	ˈɑɪ̯	0.304
ˈuː	ˈʊ	0.3
ˈuː	ˈəʊ̯	0.3
ˈeː	ˈɜɪ̯	0.292
ˈɪ	ˈɑ	0.29
ˈoː	ˈoː	0.286
ʋ	w	0.235
ˈɛ	ˈiə̯	0.227
ˈɪ	ˈe	0.226
ˈʊ	-	0.222
ˈɛː	-	0.222
ˈɔː	ˈoː	0.211
s	z̥	0.204
j	ʑ	0.2
d̥	t	0.2
ˈɛ	ˈɛ	0.182
ˈɛ	ˈə	0.182
ˈaɪ̯	-	0.174
ˈʊ	ˈɔ	0.167
ˈʊ	ˈu	0.167
ˈɔ	ˈuə̯	0.167
ˈɔ	-	0.167
l	l_ə	0.145
ˈoː	-	0.143
ə	-	0.14
ˈɛ	ˈæ	0.136
ˈiː	ˈiː	0.125
ˈiː	ˈi	0.125
ɡ	-	0.125
ˈa	-	0.111
ˈɔː	ˈuə̯	0.105
ˈɔː	-	0.105
ə	n	0.1
ˈɛ	ˈiː	0.091
ˈɛ	ˈeː	0.091
ˈɛ	-	0.091
ʋ	-	0.088
ˈeː	ˈiː	0.083
k	-	0.083
ˈa	ˈuə̯	0.074
ˈɪ	ˈiː	0.065
ɾ	ə_ʀ	0.062
s	-	0.061
f	-	0.054
