Westphalian	German	probability
aɪ̯	eː	1.0
b	b	0.987
d	t	0.483
d	tʰ	0.272
d	d	0.234
f	f	0.944
f	p	0.056
h	h	1.0
j	j	1.0
k	kʰ	0.343
k	k	0.251
k	ç	0.199
k	x	0.165
l	l	0.996
m	m	0.962
n	n	0.981
p	f	0.837
p	p͡f	0.094
p	p	0.069
r	ʁ	0.976
s	z	0.565
s	s	0.41
t	s	0.352
t	t	0.301
t	ʦ	0.26
t	ɐ_ʦ	0.059
v	b	0.437
v	p	0.259
v	v	0.17
v	f	0.135
w	v	1.0
x	ɡ	0.679
x	x	0.285
z	ʁ	0.545
z	z	0.455
ç	ç	0.697
ç	k	0.264
ŋ	ŋ	0.836
ŋ	ɡ	0.164
ɐ	ɐ	0.939
ɐ	ə	0.061
ə	ə	1.0
ɡ	ɡ	0.805
ɡ	k	0.195
ɣ	-	0.574
ɣ	ɡ	0.426
ɪ	ɪ	1.0
ʃ	ʃ	1.0
ˈa	ˈa	0.849
ˈa	ˈaː	0.091
ˈa	ˈoː	0.06
ˈaɪ̯	ˈiː	0.521
ˈaɪ̯	ˈeː	0.287
ˈaɪ̯	ˈaɪ̯	0.076
ˈaɪ̯	ˈɔʏ̯	0.063
ˈaɪ̯	ˈɛː	0.052
ˈaʊ̯	ˈaʊ̯	0.542
ˈaʊ̯	ˈoː	0.369
ˈaʊ̯	ˈa	0.06
ˈaː	ˈaː	0.534
ˈaː	ˈa	0.466
ˈeː	ˈaɪ̯	0.827
ˈeː	ˈiː	0.101
ˈeː	ˈeː	0.072
ˈiə̯	ˈɪ	1.0
ˈiɛ̯	ˈɔ	0.33
ˈiɛ̯	ˈiː	0.286
ˈiɛ̯	ˈaɪ̯	0.192
ˈiɛ̯	ˈœ	0.192
ˈiː	ˈaɪ̯	0.692
ˈiː	ˈiː	0.108
ˈiː	ˈɔʏ̯	0.103
ˈiː	ˈʏ	0.06
ˈoː	ˈuː	0.787
ˈoː	ˈʊ	0.127
ˈoː	ˈoː	0.087
ˈuə̯	ˈɔ	0.781
ˈuə̯	ˈoː	0.109
ˈuə̯	ˈuː	0.109
ˈuː	ˈaʊ̯	0.695
ˈuː	ˈʊ	0.156
ˈuː	ˈɔʏ̯	0.114
ˈuːə̯	ˈʊ	0.585
ˈuːə̯	ˈoː	0.359
ˈuːə̯	ˈɔ	0.056
ˈyə̯	ˈœ	1.0
ˈyː	ˈɔʏ̯	0.709
ˈyː	ˈɔ	0.215
ˈyː	ˈʏ	0.076
ˈyːœ̯	ˈyː	1.0
ˈø	ˈɔʏ̯	0.572
ˈø	ˈɛ	0.428
ˈøː	ˈyː	0.624
ˈøː	ˈuː	0.205
ˈøː	ˈøː	0.172
ˈœː	ˈøː	0.439
ˈœː	ˈɛː	0.37
ˈœː	ˈɔ	0.191
ˈɒː	ˈaː	1.0
ˈɔ	ˈa	0.507
ˈɔ	ˈʊ	0.2
ˈɔ	ˈɔ	0.156
ˈɔ	ˈaʊ̯	0.137
ˈɔː	ˈaː	0.555
ˈɔː	ˈoː	0.269
ˈɔː	ˈeː	0.148
ˈɛ	ˈɛ	0.585
ˈɛ	ˈɪ	0.193
ˈɛ	ˈaː	0.111
ˈɛ	ˈa	0.079
ˈɛː	ˈɛ	0.801
ˈɛː	ˈaː	0.131
ˈɛː	ˈɛː	0.068
ˈɪ	ˈɪ	0.875
ˈɪ	ˈaɪ̯	0.064
ˈɪ	ˈa	0.061
ˈɪə̯	ˈeː	0.296
ˈɪə̯	ˈɔʏ̯	0.296
ˈɪə̯	ˈiː	0.227
ˈɪə̯	ˈaː	0.182
ˈɪɛ̯	ˈɛ	0.486
ˈɪɛ̯	ˈeː	0.333
ˈɪɛ̯	ˈɪ	0.181
ˈʊ	ˈʊ	0.662
ˈʊ	ˈɔ	0.195
ˈʊ	ˈaʊ̯	0.143
ˈʏ	ˈʏ	0.82
ˈʏ	ˈɔ	0.121
ˈʏ	ˈɛ	0.059
