Western Lombard	Western Lombard	probability
ˈɛ_ʧ	ˈe_t	1.0
ˈɔ_s	ˈo_s	1.0
ˈɑː_d	ˈa_t	1.0
ˈɑː	ˈa	1.0
ˈœ	ˈɔ	1.0
ˈỹ	ˈu_n	1.0
ˈy	ˈu	1.0
ˈoː	-	1.0
ˈĩ	ˈi_n	1.0
ˈiː	ˈi	1.0
ˈa_v	ˈa_p	1.0
ˈa	ˈa	1.0
z	-	1.0
w	-	1.0
s_#>	k_ɛ_#>	1.0
r_n	r_u	1.0
r_a	ɾ_a	1.0
p_j	p_ɾ	1.0
p	p	1.0
o	-	1.0
m	m	1.0
ĩ	-	1.0
ẽ	β_a	1.0
d_a	t_a	1.0
ã	-	1.0
a_l	a_l	1.0
a_d	a_t	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʧ	<#_k	1.0
<#_v	<#	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k	<#	1.0
k	k	0.952
t	t	0.897
b	b	0.889
a	a	0.845
s	s	0.824
<#	<#_i	0.818
f	f	0.806
v	b	0.789
r	ɾ	0.762
ˈyː	ˈu	0.75
ʧ	k_ɾ	0.75
n	n	0.7
ʤ	-	0.667
j	-	0.667
ˈã	ˈa_n	0.636
ˈũ	ˈɔ_n	0.6
ˈuː	ˈu	0.6
ˈẽ	ˈe_n	0.6
y	u	0.6
ˈu	ˈu	0.583
ˈe	ˈɛ	0.571
ɲ	n_ʣ	0.571
i	i	0.571
<#_r	<#_r	0.571
ˈeː	ˈɛ	0.533
l	l	0.515
d	d	0.5
ˈɛ	ˈe	0.481
ˈøː	ˈɔ	0.462
ˈi	ˈi	0.455
u	-	0.455
ˈɔ	ˈɔ	0.438
#>	u_#>	0.438
ˈe	ˈi	0.429
ɲ	nː	0.429
i	-	0.429
e_r	ɾ	0.429
<#_r	<#_ɾ	0.429
ˈuː	ˈɔ	0.4
ˈẽ	ˈɛ_n	0.4
ɡ	ɡ	0.4
ɡ	-	0.4
y	-	0.4
ˈøː	ˈo	0.385
ʒ	ʣ	0.375
ʒ	ɡ	0.375
#>	ɛ_#>	0.37
e	ɛ	0.35
ˈɛ	ˈɛ	0.333
ˈeː	ˈi	0.333
ʤ	ɡ	0.333
j	ɾ	0.333
e	i	0.3
d	ð	0.3
e_r	ɾ_u	0.286
e_r	u	0.286
ˈi	ˈi_ɾ	0.273
ˈi	ɛ_ɾ	0.273
u	ɔ	0.273
u	u	0.273
ˈu	ˈɔ	0.25
ʧ	ɣ	0.25
ʒ	-	0.25
v	β	0.211
ˈũ	n	0.2
ˈũ	-	0.2
ɡ	ɣ	0.2
n	nː	0.2
ˈɔ	ˈu	0.188
ˈã	ˈa_m	0.182
ˈã	ˈa	0.182
l	ɖː	0.182
<#	<#_a	0.182
ˈu	ˈo	0.167
ˈøː	-	0.154
e	e	0.15
r	ɾ_u	0.143
ˈeː	ˈe	0.133
f	β	0.129
ˈɔ	ˈo	0.125
ˈɔ	ɾ	0.125
ˈɔ	-	0.125
ˈyː	ˈɔ	0.125
ˈyː	-	0.125
l	ɾ	0.121
ˈɛ	-	0.111
b	-	0.111
n	-	0.1
e	i_k	0.1
e	-	0.1
d	t	0.1
d	-	0.1
#>	ɾ_ɛ_#>	0.096
r	r	0.095
ˈɛ	ɾ	0.074
a	-	0.069
f	ɛ	0.065
l	ˈi	0.061
l	ˈa	0.061
l	-	0.061
s	ʦ	0.059
a	ɾ_a	0.052
t	nː_u	0.051
t	d	0.051
