Ripuarian	Old English	probability
b	b	1.0
d	d	0.493
d	θ	0.443
e	iːy̯	1.0
f	f	0.79
f	p	0.12
h	h	1.0
j	ɡ	0.477
j	j	0.452
j	ɣ	0.071
k	ʧ	0.251
k	d	0.207
k	k	0.204
k	ʤ	0.183
k	ɡ	0.051
l	l	0.643
l	ɫ	0.291
m	m	0.854
m	-	0.125
n	n	0.718
n	-	0.103
n	nː	0.071
p	p	0.521
p	v	0.291
p	pː	0.188
s	t	0.517
s	s	0.325
s	z	0.111
t	d	0.412
t	t	0.278
t	θ	0.189
t	r_d	0.064
v	v	0.802
v	-	0.116
v	ʍ	0.055
x	x	0.355
x	ç	0.325
x	j	0.116
x	k	0.098
x	ɣ	0.063
z	s	0.957
ŋ	n	0.494
ŋ	ŋ	0.439
ɐ	r	0.444
ɐ	e	0.323
ɐ	o	0.12
ɐ	ˈeː	0.065
ɕ	j	0.24
ɕ	ʧ	0.238
ɕ	k	0.139
ɕ	x	0.134
ɕ	ç	0.134
ɕ	ɣ	0.074
ə	ɑ	0.726
ə	-	0.072
ə	e	0.069
ɣ	ɣ	0.587
ɣ	ʤː	0.254
ɣ	k	0.159
ɪ	i	0.886
ɪ	-	0.114
ʀ	r	0.831
ʀ	r̥	0.083
ʃ	ʃ	0.506
ʃ	s	0.413
ʃ	ʃː	0.081
ʋ	w	0.896
ʋ	ʍ	0.104
ʦ	t	0.751
ʦ	r_t	0.181
ˈa	ˈɑ	0.508
ˈa	ˈæɑ̯	0.167
ˈa	ˈæ	0.095
ˈa	ˈoː	0.09
ˈa	ˈeː	0.07
ˈa	ˈi	0.07
ˈaʊ̯	ˈuː	0.377
ˈaʊ̯	ˈæːɑ̯	0.355
ˈaʊ̯	ˈu	0.175
ˈaʊ̯	e	0.093
ˈaː	ˈæ	0.368
ˈaː	ˈæɑ̯	0.158
ˈaː	ˈi	0.154
ˈaː	ˈɑ	0.142
ˈaː	ˈiy̯	0.068
ˈaː	ˈo	0.064
ˈe	ˈi	0.901
ˈe	ˈiy̯	0.051
ˈeɪ̯	ˈeːo̯	0.483
ˈeɪ̯	ˈæː	0.28
ˈeɪ̯	ˈiː	0.237
ˈeː	ˈeːo̯	0.505
ˈeː	ˈɑː	0.346
ˈeː	ˈiːy̯	0.069
ˈiː	ˈiː	0.419
ˈiː	ˈɑː	0.263
ˈiː	ˈeːo̯	0.1
ˈiː	ˈiːy̯	0.088
ˈiː	w	0.065
ˈiː	ˈi	0.057
ˈo	ˈu	0.871
ˈo	ˈoː	0.083
ˈoʊ̯	ˈeː	0.5
ˈoʊ̯	ˈu	0.5
ˈoː	ˈæːɑ̯	0.293
ˈoː	ˈoː	0.222
ˈoː	ˈɑː	0.17
ˈoː	ˈo	0.164
ˈoː	ˈæː	0.074
ˈu	ˈu	0.853
ˈu	ˈo	0.147
ˈuː	ˈuː	0.486
ˈuː	ˈæːɑ̯	0.442
ˈuː	ˈyː	0.071
ˈyː	ˈiːy̯	0.324
ˈyː	ˈyː	0.196
ˈyː	ˈuː	0.188
ˈyː	ˈo	0.161
ˈyː	ˈæː	0.071
ˈøː	ˈeː	0.774
ˈøː	ˈeːo̯	0.1
ˈøː	ˈiːy̯	0.074
ˈøː	ˈæː	0.052
ˈœ	ˈy	0.563
ˈœ	ˈiː	0.254
ˈœ	ˈu	0.094
ˈœ	ˈeːo̯	0.059
ˈɔ	ˈo	0.577
ˈɔ	ˈu	0.234
ˈɔ	ˈuː	0.111
ˈɔʏ̯	ˈiːy̯	1.0
ˈɛ	ˈe	0.322
ˈɛ	ˈi	0.192
ˈɛ	ˈeo̯	0.137
ˈɛ	ˈiy̯	0.079
ˈɛ	ˈiː	0.068
ˈɛ	ˈɑː	0.068
ˈɛ	ˈæ	0.054
ˈɛ	ˈɛ	0.051
ˈɛː	ˈe	0.403
ˈɛː	ˈeo̯	0.344
ˈɛː	ˈæɑ̯	0.109
ˈɛː	ˈi	0.095
ˈɪ	ˈi	0.725
ˈɪ	ˈiː	0.196
ˈʊ	ˈu	0.346
ˈʊ	ˈuː	0.346
ˈʊ	ˈy	0.309
ˈʏ	ˈi	0.257
ˈʏ	ˈy	0.257
ˈʏ	ˈyː	0.257
ˈʏ	ˈo	0.135
ˈʏ	ˈeːo̯	0.093
