Gothic	East Franconian	probability
θ_iː	d̥	1.0
β_a	m	1.0
β	m	1.0
ˈɛː	ˈaː	1.0
ˈuː	ˈaʊ̯	1.0
ˈoː	ˈuː	1.0
ˈiː	ˈaɪ̯	1.0
ˈi_l	ˈɛ_l	1.0
ʍ	-	1.0
ɣ_a	ŋ	1.0
ɡʷː	ˈaɪ̯	1.0
ɡʷ	-	1.0
ɔː	-	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
x	-	1.0
u	-	1.0
t_s	s	1.0
t_a	z̥	1.0
s_t	ʃ_d̥	1.0
s_k	ʃ	1.0
n_θ	n	1.0
n_t	n_d̥	1.0
m	m	1.0
lː	l	1.0
l	l	1.0
kʷ	-	1.0
k_ˈa	ˈa	1.0
j_a	n	1.0
i	-	1.0
f_s	b̥	1.0
f	f	1.0
e	-	1.0
d	d̥	1.0
b	b̥	1.0
aː	-	1.0
a_x	i	1.0
a_r	ɐ	1.0
w	v	0.891
n	n	0.866
ˈɔ	ˈɔ	0.801
ˈeː	ˈoː	0.763
r	ɐ	0.759
ɡ	-	0.743
θ	d̥	0.723
ˈɛ	ˈɛ	0.72
p	f	0.697
j	-	0.693
ˈi	ˈɪ	0.629
ˈiu̯	ˈiː	0.611
oː	-	0.595
ˈa	ˈɒ	0.583
k	ç	0.573
ð	d̥	0.559
ˈu	ˈʊ	0.528
s	ʃ	0.519
h	h	0.506
ð	-	0.441
k	-	0.427
ˈɔː	ˈuː	0.41
ˈiu̯	ˈaɪ̯	0.389
a	n	0.372
a	a	0.356
t	ʦ	0.35
h	-	0.33
j	j	0.307
p	v̥	0.303
t	z̥	0.301
ˈɛ	-	0.28
θ	-	0.277
ɡ	ɣ	0.257
t	d̥	0.253
r	r	0.241
ˈeː	-	0.237
s	ɐ	0.236
ˈi	ˈiː	0.223
ˈɔː	ˈɘ	0.218
ˈɔː	-	0.218
oː	n	0.206
ˈa	ˈoː	0.201
ˈɔ	ˈuː	0.199
oː	a	0.199
ˈu	ˈɔ	0.187
ˈu	-	0.185
a	ɐ	0.17
h	x	0.164
ˈɔː	ˈaː	0.155
n	-	0.134
s	z̥	0.122
s	s	0.122
ˈa	-	0.117
w	-	0.109
a	ˈiː	0.102
ˈu	ˈuː	0.101
ˈi	-	0.098
t	s	0.095
