Eastphalian	Pennsylvania German	probability
h	h	1.0
w	ʋ	1.0
ɒː	eː	1.0
ɪ	ɪ	1.0
ˈaɪ̯	ˈeː	1.0
ˈyː	ˈaɪ̯	1.0
ˈɛə̯	ˈɔː	1.0
j	ɣ	0.201
p	f	0.631
s	ʃ	0.741
ˈɒː	ˈoː	0.341
ˈʏ	ˈɪ	0.381
j	ɡ	0.602
ç	ç	0.942
ʃ	s	0.062
ˈa	ˈɛː	0.062
ˈeː	ˈɛ	0.542
ˈiː	ˈɪ	0.052
ˈoː	ˈeː	0.062
ˈœ	ˈɛ	0.542
ˈɔ	ˈɔ	0.372
ˈɔʏ̯	ˈiː	0.392
ˈɔʏ̯	ˈuː	0.452
ˈɛ	ˈɪ	0.212
ˈɛ	ˈɛ	0.492
ˈʊ	ˈʊ	0.862
f	b̥	0.173
p	p	0.343
t	s	0.403
ŋ	ɡ	0.093
ŋ	ŋ	0.843
ɐ	ɾ	0.093
ə	ɑ	0.243
ˈaʊ̯	ˈa	0.083
ˈeː	ˈeː	0.153
ˈiː	ˈɛ	0.053
ˈoː	ˈaː	0.153
ˈɒː	ˈa	0.163
ˈɒː	ˈɔː	0.253
ˈɛː	ˈɔː	0.203
k	ç	0.254
r	ɾ	0.934
v	ʋ	0.684
z	-	0.074
ŋ	j	0.064
ˈaː	ˈaː	0.294
ˈeː	ˈɔ	0.104
ˈeː	ˈaɪ̯	0.104
ˈiː	ˈaɪ̯	0.894
ˈoː	ˈɛ	0.104
ˈoː	ˈa	0.104
ˈœ	ˈaː	0.114
ˈœ	ˈʊ	0.344
ˈɔ	ˈaː	0.074
ˈɔ	ˈa	0.224
ˈɛː	ˈɛ	0.394
ˈʏ	ˈʊ	0.224
t	ʦ	0.205
x	ɡ̊	0.125
x	x	0.875
ɡ	-	0.435
ˈa	ˈa	0.795
ˈeo̯	ˈaʊ̯	0.065
ˈeo̯	ˈɔː	0.385
ˈøː	ˈʊ	0.055
ˈøː	ˈɔː	0.295
ˈøː	ˈeː	0.295
ˈɔʏ̯	ˈeː	0.155
ˈɪ	ˈa	0.105
ˈʊ	ˈɔ	0.095
n	ə	0.36
r	-	0.066
z	s	0.926
ɐ	-	0.076
ə	-	0.16
ə	ə	0.586
ˈaː	ˈɔː	0.706
ˈuː	ˈɔ	0.086
ˈɒː	ˈɛː	0.126
ˈɔ	ˈʊ	0.286
ˈɛ	ˈa	0.06
ˈɛɪ̯	ˈeː	0.476
b	f	0.057
b	b	0.907
d	d̥	0.347
f	f	0.827
k	x	0.147
k	kʰ	0.387
l	l	0.997
t	t	0.157
t	d̥	0.177
ɐ	ɑ	0.807
ɡ	j	0.067
ˈeː	ˈɪ	0.067
ˈoː	ˈʊ	0.187
ˈoː	ˈoː	0.187
ˈɒː	ˈeː	0.117
ˈɛ	ˈɔː	0.097
ˈɪ	ˈaɪ̯	0.07
ˈʏ	ˈaɪ̯	0.297
j	j	0.198
k	k	0.168
m	ə	0.078
m	m	0.88
ç	ɡ̊	0.058
ɡ	k	0.498
ɣ	-	0.128
ɣ	ɡ	0.688
ʃ	ʃ	0.938
ˈaʊ̯	ˈuː	0.658
ˈoː	ˈɔ	0.098
ˈøː	ˈiː	0.318
ˈɛ	ˈeː	0.138
ˈɛː	ˈɛː	0.368
ˈɪ	ˈɪ	0.768
ˈʏ	ˈɛ	0.098
d	d	0.639
n	n	0.569
s	s	0.259
v	v	0.259
ɣ	k	0.119
ˈa	ˈaː	0.089
ˈaʊ̯	ˈʊ	0.259
ˈeo̯	ˈoː	0.549
ˈoː	ˈɪ	0.069
ˈuː	ˈaʊ̯	0.819
ˈɛɪ̯	ˈiː	0.439
