Eastphalian	Pennsylvania German	probability
b	b	0.863
b	f	0.082
b	v	0.054
d	d	0.581
d	t	0.398
d	-	0.031
f	f	0.898
f	p	0.092
h	h	1.0
j	ɡ	0.381
j	j	0.351
j	ɣ	0.174
k	kʰ	0.357
k	ç	0.22
k	k	0.208
k	x	0.137
k	ɡ	0.046
l	l	0.993
l	-	0.03
m	m	0.875
m	ə	0.084
m	v	0.044
n	n	0.597
n	ə	0.315
n	-	0.086
p	f	0.576
p	p	0.412
r	ɾ	0.929
r	-	0.066
s	ʃ	0.694
s	s	0.301
t	t	0.397
t	s	0.299
t	ʦ	0.19
t	d	0.063
v	ʋ	0.778
v	v	0.154
v	f	0.058
w	ʋ	1.0
x	x	0.696
x	k	0.293
z	s	0.921
z	ɾ	0.079
ç	ç	0.874
ç	k	0.111
ŋ	ŋ	0.921
ŋ	j	0.077
ɐ	ɑ	0.747
ɐ	ə	0.092
ɐ	ɾ_ɪ	0.063
ɐ	-	0.055
ɐ	ɾ	0.036
ə	-	0.855
ə	ə	0.075
ə	ɑ	0.048
ə	ɪ	0.03
ɡ	j	0.494
ɣ	ɡ	0.562
ɣ	k	0.231
ɣ	-	0.146
ɣ	ɣ	0.054
ɪ	ɪ	1.0
ʃ	ʃ	0.979
ʃ	s	0.038
ˈa	ˈa	0.79
ˈa	ˈɛː	0.066
ˈa	ˈɔː	0.05
ˈa	ˈɛ	0.05
ˈa	ˈaː	0.045
ˈa_ɐ	ˈaː	0.494
ˈaʊ̯	ˈuː	0.71
ˈaʊ̯	ˈa	0.141
ˈaʊ̯	ˈʊ	0.141
ˈaː	ˈɔː	0.715
ˈaː	ˈaː	0.28
ˈeo̯	ˈoː	0.702
ˈeo̯	ˈɔː	0.223
ˈeo̯	ˈaʊ̯	0.063
ˈeː	ˈɛ	0.464
ˈeː	ˈɛː	0.168
ˈeː	ˈaɪ̯	0.119
ˈeː	ˈeː	0.114
ˈeː	ˈɪ	0.081
ˈiː	ˈaɪ̯	0.852
ˈiː	ˈɪ	0.121
ˈoː	ˈaː	0.372
ˈoː	ˈoː	0.127
ˈoː	ˈɔː	0.127
ˈoː	ˈɪ	0.127
ˈoː	ˈa	0.09
ˈuː	ˈaʊ̯	0.63
ˈuː	ˈuː	0.09
ˈuː	ˈaɪ̯	0.085
ˈuː	ˈɔː	0.085
ˈuː	ˈɔ	0.064
ˈyː	ˈaɪ̯	1.0
ˈøː	ˈeː	0.28
ˈøː	ˈɛː	0.28
ˈøː	ˈʊ	0.28
ˈøː	ˈɔː	0.106
ˈœ	ˈɛ	1.0
ˈɒː	ˈoː	0.399
ˈɒː	ˈa	0.261
ˈɒː	ˈɔː	0.246
ˈɒː	ˈɛː	0.074
ˈɔ	ˈɔ	0.391
ˈɔ	ˈa	0.23
ˈɔ	ˈʊ	0.224
ˈɔ	ˈaː	0.078
ˈɔ	ˈɔː	0.058
ˈɔʏ̯	ˈiː	0.742
ˈɔʏ̯	ˈeː	0.253
ˈɛ	ˈɛ	0.412
ˈɛ	ˈɪ	0.226
ˈɛ	ˈeː	0.125
ˈɛ	ˈa	0.109
ˈɛ	ˈɔː	0.074
ˈɛə̯	ˈɔː	0.494
ˈɛɪ̯	ˈiː	0.455
ˈɛɪ̯	ˈeː	0.413
ˈɛɪ̯	ˈɛː	0.072
ˈɛɪ̯	ˈaɪ̯	0.06
ˈɛɪ̯_n	ˈeː	1.0
ˈɛː	ˈɛ	0.372
ˈɛː	ˈɛː	0.276
ˈɛː	ˈɔː	0.24
ˈɛː	ˈa	0.076
ˈɪ	ˈɪ	0.662
ˈɪ	ˈaɪ̯	0.135
ˈɪ	ˈa	0.105
ˈɪ	ˈɛ	0.053
ˈɪ	ˈiː	0.047
ˈʊ	ˈʊ	0.576
ˈʊ	ˈɔ	0.227
ˈʊ	ˈuː	0.092
ˈʊ	ˈaʊ̯	0.072
ˈʏ	ˈɪ	0.656
ˈʏ	ˈaɪ̯	0.289
ˈʏ	ˈʊ	0.043
