Dutch	Gothic	probability
b	b	0.956
d	θ	0.433
d	d	0.401
d	ð	0.166
f	f	0.755
f	b	0.134
f	β	0.111
j	j	1.0
k	k	0.956
m	m	0.928
m	-	0.072
n	n	0.932
p	p	0.987
s	s	0.932
s	i_s	0.051
t	t	0.611
t	θ	0.225
t	d	0.109
v	f	0.787
v	β	0.162
w	i	0.5
w	w	0.5
z	s	1.0
ŋ	ŋ	0.798
ŋ	h	0.202
ə	a	0.568
ə	-	0.255
ə	j_a	0.051
ɦ	h	1.0
ɫ	l	0.879
ɫ	lː	0.077
ɾ	r	0.868
ɾ	-	0.085
ʋ	w	0.954
ˈaː	ˈa	0.513
ˈaː	ˈeː	0.453
ˈeː	ˈɛː	0.466
ˈeː	ˈi	0.255
ˈeː	ˈɛ	0.112
ˈeː	ˈa	0.104
ˈeː	ˈiu̯	0.063
ˈi	ˈiu̯	0.48
ˈi	ˈɛ	0.23
ˈi	ˈi	0.095
ˈi	ˈeː	0.094
ˈi	j	0.065
ˈoː	ˈɔː	0.424
ˈoː	ˈɔ	0.274
ˈoː	ˈu	0.152
ˈoː	ˈiu̯	0.054
ˈoː	ˈi	0.052
ˈu	ˈoː	1.0
ˈyː	ˈoː	1.0
ˈœy̯	ˈuː	0.737
ˈœy̯	ˈiu̯	0.132
ˈœy̯	ˈu	0.131
ˈɑ	ˈa	0.879
ˈɑ	ˈu	0.063
ˈɑ	ˈɛ	0.058
ˈɑu̯	ˈa	0.8
ˈɑu̯	l	0.114
ˈɑu̯	oː	0.086
ˈɔ	ˈu	0.667
ˈɔ	ˈɔ	0.194
ˈɔ	ˈuː	0.096
ˈɛ	ˈa	0.331
ˈɛ	ˈɛ	0.326
ˈɛ	ˈi	0.225
ˈɛ	ˈɛː	0.118
ˈɛi̯	ˈiː	0.69
ˈɛi̯	ˈi	0.114
ˈɛi̯	ˈɛː	0.09
ˈɛi̯	ˈuː	0.076
ˈɪ	ˈi	0.842
ˈɪ	ˈiː	0.084
ˈɪ	ˈɛː	0.074
ˈʏ	ˈu	0.604
ˈʏ	w	0.396
χ	ɡ	0.43
χ	h	0.203
χ	k	0.164
χ	ɣ	0.125
