Swabian	Afrikaans	probability
a	n	0.495
a	j	0.256
a	ə	0.198
a	-	0.051
b	b	0.665
b	f	0.149
b	-	0.101
b	v	0.07
b̥͡f	p	0.921
b̥͡f	f	0.079
d	t	0.531
d	d	0.386
d	-	0.082
e	ə	1.0
eə̯	i	1.0
f	f	0.67
f	p	0.276
h	ɦ	0.957
i	ə	1.0
j	j	1.0
kʰ	k	0.977
l	ɫ	0.931
l	-	0.069
m	m	0.91
m	-	0.09
n	n	0.936
s	s	0.67
s	t	0.317
t	-	0.595
t	t	0.405
x	χ	0.741
x	k	0.259
ç	k	0.656
ç	χ	0.344
ŋ	ŋ	0.774
ŋ	n	0.226
ɡ	χ	0.74
ɡ	-	0.108
ɡ	k	0.091
ɡ	ŋ	0.061
ɪ	ə	1.0
ʁ	r	0.955
ʃ	s	1.0
ʋ	v	0.719
ʋ	w	0.226
ʋ	-	0.054
ʌ	ə	0.658
ʌ	r	0.261
ʕ	r	0.906
ʕ	-	0.094
ʣ	t	1.0
ʦ	t	1.0
ˈa	ˈa	0.605
ˈa	ˈɑː	0.183
ˈa	ˈɪ	0.071
ˈa	ˈœu̯	0.065
ˈae̯	ˈi	0.239
ˈae̯	ˈəɪ̯	0.223
ˈae̯	ˈɪə̯	0.2
ˈae̯	ˈʊə̯	0.166
ˈae̯	ˈœɪ̯	0.118
ˈae̯	-	0.054
ˈao̯	ˈœɪ̯	0.421
ˈao̯	ˈʊə̯	0.308
ˈao̯	ˈœu̯	0.118
ˈao̯	ˈyː	0.08
ˈao̯	ˈɔ	0.074
ˈaː	ˈa	0.512
ˈaː	ˈɑː	0.231
ˈaː	ˈɔː	0.153
ˈaː	ˈɛː	0.104
ˈe	ˈə	0.735
ˈe	ˈɛ	0.144
ˈe	ˈɑː	0.072
ˈeə̯	ˈi	0.719
ˈeə̯	ˈɪə̯	0.165
ˈeə̯	ˈu	0.116
ˈeː	ˈʊə̯	0.44
ˈeː	ˈi	0.238
ˈeː	ˈɛ	0.135
ˈeː	ˈə	0.117
ˈeː	ˈɪə̯	0.07
ˈi	ˈə	0.457
ˈi	ˈæ	0.155
ˈi	-	0.083
ˈi	ˈi	0.083
ˈi	ˈəɪ̯	0.067
ˈi	ˈɪə̯	0.067
ˈi	ˈɪ	0.065
ˈiə̯	ˈi	0.729
ˈiə̯	ˈu	0.271
ˈiː	ˈi	0.442
ˈiː	j	0.221
ˈiː	ˈɪə̯	0.158
ˈiː	ˈu	0.09
ˈiː	ˈɛː	0.09
ˈo	ˈɔ	0.721
ˈo	ˈʊə̯	0.132
ˈo	ˈɑː	0.081
ˈoː	ˈʊə̯	0.557
ˈoː	ˈɪø̯	0.232
ˈoː	ˈɑː	0.17
ˈu	ˈœ	0.369
ˈu	ˈɔ	0.27
ˈu	ˈu	0.132
ˈu	ˈɔː	0.132
ˈu	ˈɪø̯	0.098
ˈuə̯	ˈu	1.0
ˈuː	ˈu	1.0
ˈɔ	ˈɔ	0.712
ˈɔ	ˈʊə̯	0.288
ˈɔe̯	ˈəɪ̯	0.52
ˈɔe̯	ˈɪə̯	0.48
ˈɔə̯	ˈɔ	1.0
ˈɔː	ˈɑː	0.832
ˈɔː	ˈa	0.087
ˈɔː	ˈɪø̯	0.081
ˈəi̯	ˈəɪ̯	0.565
ˈəi̯	ˈə	0.185
ˈəi̯	ˈyː	0.148
ˈəi̯	ˈœɪ̯	0.082
ˈɛ	ˈa	0.182
ˈɛ	ˈɑː	0.172
ˈɛ	ˈəɪ̯	0.145
ˈɛ	ˈɛ	0.145
ˈɛ	ˈæ	0.138
ˈɛ	ˈɪə̯	0.119
ˈɛ	ˈœ	0.06
ˈɛː	ˈɪə̯	0.464
ˈɛː	ˈɑː	0.426
ˈɛː	ˈæ	0.11
ˈɪ	ˈə	0.835
ˈɪ	ˈɛ	0.165
ˈʌ	ˈæː	0.66
ˈʌ	ˈæ	0.34
