Faroese	North Frisian	probability
ˈʏ	ˈʊ	1.0
ˈʊ_ʤ̊ː	ˈiː	1.0
ˈʉːu̯	ˈyː	1.0
ˈɛːa̯_ɹ_#>	ˈeː_#>	1.0
ˈɛ_ɡ̊	ˈœi̯	1.0
ˈɔːi̯	ˈiː	1.0
ˈɔ_t	ˈɔ	1.0
ˈoː_ɹ	r_d	1.0
ˈeː	ˈeː	1.0
ˈaːi̯	ˈiː	1.0
ˈai̯	ˈiː	1.0
ʰt	d_ə	1.0
ʰkː	ŋ_k	1.0
ʰk	k	1.0
ʧʰ	ʃ	1.0
ʧ	k	1.0
ʊ_ɹ_#>	#>	1.0
ʊ_#>	n_#>	1.0
ʊ	ə	1.0
ɹ_ˈɪ	r	1.0
ɹ_ɪ	r	1.0
ɹ_m	r_m	1.0
ɹ_#>	#>	1.0
ɹ	r	1.0
ɪ_ɹ	ə_r	1.0
ŋ_ɡ̊	ŋ	1.0
w	dʲ	1.0
tʰ	t	1.0
t_ʊ	tʲ	1.0
t_l̥	l	1.0
sː	s	1.0
s_k	ʃ	1.0
s_#>	s_#>	1.0
s	s	1.0
p	p	1.0
n_#>	ə_n_#>	1.0
mː	m	1.0
m	m	1.0
l̥	l	1.0
l_d̥	lʲ	1.0
kʰ	k	1.0
k	k	1.0
j_ˈœ	ˈɔː	1.0
j_ʊ	dʲ	1.0
h	h	1.0
f	f	1.0
d̥_ɹ	d_r	1.0
b̥	b	1.0
a_#>	#>	1.0
<#_ɹ	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_kʰ	<#	1.0
<#_d̥	<#_d	1.0
a	ə	0.939
l	l	0.92
v	v	0.88
n	n	0.857
t	t	0.812
j	-	0.778
ʰtː	x_t	0.75
ʃ	ʃ	0.75
n_d̥	n	0.75
ɪ	-	0.714
nː	n	0.714
ˈʊ̯iː	ˈi	0.692
ˈɔ̯aː	ˈuː	0.667
ˈøː	ˈɛ	0.667
ɡ̊_ʊ	ŋ	0.667
v_ʊ	ə_v	0.667
ˈɛ	ˈa	0.6
ˈœ	ˈeː	0.6
ˈiː	ˈaː	0.6
ŋ	i	0.6
n̥	n	0.6
<#	<#_v	0.6
ɡ̊	ɡ	0.583
ˈʊ	ˈʊ	0.571
ˈɛːi̯	ˈyː	0.5
ˈɛːi̯	ˈuː	0.5
ˈɔːu̯	ˈœ	0.5
ˈɔːu̯	ˈiː	0.5
ʤ̊	ˈiː	0.5
ʤ̊	j	0.5
v̥	j	0.5
v̥	f	0.5
t_a	ə	0.5
t_a	t_ə	0.5
#>	d_#>	0.5
ˈɪ	ˈʏ	0.4
ˈɛ	ˈiː	0.4
ˈœ	ˈɔː	0.4
ˈiː	ˈa	0.4
ŋ	ŋ	0.4
n̥	r_n	0.4
<#	<#_d	0.4
ˈɛːa̯	ˈɒː	0.333
ˈɔ̯aː	ˈɔu̯	0.333
ˈøː	j_ˈa	0.333
ɡ̊_ʊ	ə	0.333
v_ʊ	ə	0.333
ˈʊ̯iː	ˈiː	0.308
ˈa	ˈœ	0.308
ˈa	ˈa	0.308
ˈɪ	ˈi	0.3
ˈɪ	ˈa	0.3
ɪ	ə	0.286
nː	s	0.286
ˈɔ	ˈɔ	0.25
ˈɔ	ˈɒ	0.25
ˈɔ	ˈuː	0.25
ˈɔ	-	0.25
ʰtː	t	0.25
ʃ	s	0.25
ɡ̊	ˈøː	0.25
n_d̥	nʲ	0.25
ˈa	ˈɒ	0.231
ˈɛːa̯	ˈɒː_z	0.222
ˈɛːa̯	ˈeː	0.222
ˈɛːa̯	-	0.222
j	ˈeː	0.222
ˈʊ	ˈøː	0.214
ˈʊ	ˈyː	0.214
#>	n_#>	0.214
t	r	0.188
ɡ̊	j_ə	0.167
ˈa	ˈʊ	0.154
n	nʲ	0.143
#>	ə_#>	0.143
#>	s_#>	0.143
v	f	0.12
l	lʲ	0.08
a	-	0.061
