Westphalian	Middle High German	probability
ˈɛː	ˈɛ_r	1.0
ˈɒː	ˈɑ	1.0
ˈœː	-	1.0
ˈøː	ˈyə̯	1.0
ˈø	-	1.0
ˈyːœ̯	ˈy	1.0
ˈyə̯	ˈy	1.0
ˈuː	ˈuː	1.0
ˈuə̯	-	1.0
ˈoː	ˈuə̯	1.0
ˈiː_ɐ	ˈiə̯_r	1.0
ˈiː	ˈiː	1.0
ˈeː	ˈei̯	1.0
ˈaː	ˈɑ	1.0
ˈa	ˈɑ	1.0
ʃ_t	ʃ_t	1.0
ʃ_p	p	1.0
ɣ	-	1.0
ɡ	ɡ_ə	1.0
ə	ə	1.0
x_t	x_t	1.0
v̥	b̥	1.0
s	s	1.0
r_ˈɪ	r_ˈi	1.0
r	r	1.0
l	l	1.0
j	j	1.0
h	h	1.0
f	v	1.0
b	b	1.0
aɪ̯	ɛ	1.0
m	m	0.959
n	n	0.854
ˈɪ	ˈi	0.842
ʋ	w	0.841
v	w	0.763
ˈɪɛ̯	ˈɛ	0.749
ʃ	ʃ	0.747
x	ɡ	0.739
ˈyː	ˈyː	0.726
ˈʏ	ˈy	0.712
d	d	0.678
ɪ	ə	0.667
ˈɔː	ˈɑː	0.651
ˈuːə̯	ˈu_r	0.622
ˈɔ	ˈɑ	0.6
ˈiɛ̯	-	0.6
ˈʊ	ˈu	0.596
ˈaɪ̯	ˈiə̯	0.557
z	s	0.556
d̥	t	0.521
ˈɪə̯	ˈi	0.5
ˈɪə̯	-	0.5
ç	ɡ̊	0.5
ˈaʊ̯	ˈou̯	0.497
ŋ	ŋ	0.479
d̥	d̥	0.479
z	s_ə	0.444
ɐ	r	0.437
ɐ	ə_r	0.422
ˈɔ	ˈo	0.4
ˈiɛ̯	ˈe	0.4
ˈɛ	ˈe	0.382
ˈuːə̯	ˈu	0.378
ˈaʊ̯	ˈoː	0.378
t	ʦ	0.364
k	kʰ	0.362
ɪ	i	0.333
p	p͡f	0.311
ŋ	ŋ_ɡ	0.308
p	f	0.305
p	f_ə	0.289
ˈʏ	-	0.288
ˈyː	rː	0.274
x	-	0.261
ʃ	ʃː	0.253
ˈɪɛ̯	-	0.251
ç	ə	0.25
ç	x_t	0.25
t	s̻	0.25
ˈɔː	ˈɑ	0.247
d	t	0.247
ˈɛ	ˈɑ	0.23
ˈɛ	ˈɛ	0.227
ŋ	ɡ	0.213
ˈaɪ̯	-	0.205
ˈʊ	ˈo	0.202
ˈʊ	ˈuː	0.201
ˈaɪ̯	ˈɛ_h	0.193
v	b_ə	0.18
ˈɛ	-	0.161
ʋ	b̥	0.159
k	kː_ə	0.157
k	xː_ə	0.149
t	t	0.145
k	xː	0.145
ɐ	r_ə	0.142
ˈaʊ̯	-	0.125
ˈɔː	-	0.102
ˈɪ	-	0.096
t	s̻ː_ə	0.096
t	s̻_ə	0.096
p	fː	0.095
d	tː	0.074
n	n_d	0.068
k	k_ə	0.068
n	nː	0.066
k	k	0.065
ˈɪ	ˈiː	0.062
v	b	0.057
k	ə	0.053
