Old West Norse	Nynorsk Norwegian	probability
ˈɛi̯	ˈæɪ̯	1.0
ˈɛ	ˈɛ	1.0
ˈɔː	ˈuː	1.0
ˈɑu̯	ˈæʉ̯	1.0
ˈɑ_ð	ˈɑː	1.0
ˈøː	ˈøː	1.0
ˈøy̯	ˈœʏ̯	1.0
ˈuː	ˈʉː	1.0
ˈiː	ˈiː	1.0
ˈa	-	1.0
ʦ	s	1.0
ʝː	j	1.0
ɾ	ɾ	1.0
ɣ	ɡ	1.0
ɡː	ɡː	1.0
ɟ	j	1.0
ɑː	e	1.0
ç	j	1.0
x	kʰ	1.0
w	ʋ	1.0
v_n	m_n	1.0
u_ð	ʉ	1.0
u	e	1.0
tʰ	tʰ	1.0
s_j	ʂ	1.0
s_c	ʂ	1.0
s	s	1.0
r̥ː	ɾ	1.0
r_ɑ	ɾ_ɑ	1.0
r	ɾ	1.0
pː	ʰpː	1.0
pʰ	pʰ	1.0
p	p	1.0
n̥	n_ˈœ	1.0
nː	nː	1.0
n_d	nː	1.0
mː	-	1.0
m	m	1.0
l̥	-	1.0
l_d	lː	1.0
l	l	1.0
kː	ʰkː	1.0
kʰ	kʰ	1.0
j_ˈoː	ˈyː	1.0
i_ŋ	ɪ	1.0
h	h	1.0
e	ɛ	1.0
cː	çː	1.0
cʰ	ç	1.0
c	ç	1.0
b	b	1.0
n	n	0.921
d	d	0.911
f	f	0.908
tː	ʰtː	0.905
ð	-	0.903
k	k	0.902
v	ʋ	0.869
ŋ	ŋː	0.852
t	t	0.841
θ	tʰ	0.823
ˈɑː	ˈoː	0.815
ɑ	ɑ	0.814
sː	s	0.743
ˈeː	ˈeː	0.72
ˈoː	ˈuː	0.703
ˈu	ˈʉ	0.699
i	e	0.686
ˈi	ˈɪ	0.662
ˈɑ	ˈɑ	0.647
a	ɑ	0.625
lː	lː	0.624
r̥	ɾ	0.606
ˈɛː	ˈøː	0.572
ˈyː	ˈyː	0.561
ɡ	-	0.553
j	j	0.528
ˈy	ˈʏ	0.504
j	-	0.472
ɡ	ɡ	0.447
ˈo	ˈɔ	0.438
ˈɛː	ˈɛ	0.428
ˈe	ˈɛ	0.402
r̥	e_ɾ	0.394
lː	l	0.376
a	e	0.375
ˈy	-	0.351
ˈo	-	0.311
ˈoː	-	0.297
ˈyː	ˈʉː	0.28
ˈeː	ˈɛ	0.28
ˈɔ	ˈœ	0.271
sː	sː	0.257
ˈo	ˈʊ	0.252
ˈɔ	ˈɑ	0.248
ˈɔ	-	0.248
ˈe	-	0.238
ˈɔ	ˈuː	0.233
i	-	0.223
ˈɑ	ˈɑː	0.201
ˈe	ˈæː	0.196
ɑ	e	0.186
θ	ç	0.177
ˈi	ˈeː	0.17
ˈi	-	0.167
ˈe	ˈeː	0.164
ˈyː	ˈʏ	0.159
t	-	0.159
ˈɑ	ˈɛ	0.153
ŋ	ɲ	0.148
ˈy	ˈʉ	0.146
ˈu	-	0.117
ˈɑː	-	0.11
k	-	0.098
ð	d	0.097
ˈu	ˈʉː	0.096
tː	tː	0.095
f	-	0.092
i	ə	0.091
ˈu	ˈʏ	0.089
d	-	0.089
n	ə_n	0.079
v	-	0.077
ˈɑː	ˈɔ	0.076
v	v	0.054
