Upper Sorbian	Ukrainian	probability
b	b	1.0
d	d	1.0
e	ˈɛ	1.0
j	j	1.0
kʲ	k	1.0
m	m	1.0
xʲ	x	1.0
z	z	1.0
ɲ	nʲ	1.0
ʒ	ʒ	1.0
ʤ	d	1.0
ʦ	ʦʲ	1.0
ˈi	ˈɪ	1.0
ˈɪ	ˈɪ	1.0
i	ˈɪ_j	0.781
p	b	0.381
pʲ	pʲ	0.221
ɦ	ɦ_ˈɔ	0.081
ʧ	tʲ	0.471
ˈa	ɐ	0.551
ˈe	i	0.1
mʲ	mʲ	0.292
t	d	0.2
x	ɦ	0.382
ɔ	ˈɔ	0.052
ʀʲ	rʲ	0.212
ʧ	t_e	0.282
ˈe	ˈi	0.642
ˈɔ	ˈi	0.142
β	ʋʲ	0.122
ɔ	ˈɑ	0.073
ɔ	ɛ	0.183
ɔ	ɔ	0.693
ʃ	ʒ	0.443
ˈo	ɔ	0.083
ˈo	ˈɔ	0.203
ˈɔ	ɔ	0.303
ˈɛ	ˈi	0.213
β	-	0.073
k	k	0.944
s	s	0.764
ɛ	ˈi	0.374
ɥ	ʋ_j	0.224
ɪ	e_j	0.94
ˈo	ˈi	0.714
ˈɛ	ˈɔ	0.174
a	ɐ	0.45
a	ˈɑ	0.55
n	nʲ	0.245
n	n	0.755
ɦ	-	0.05
ˈu	ʊ	0.155
ˈu	ˈu	0.845
ˈɛ	ɐ	0.205
k	kʲ	0.056
s	sʲ	0.236
w	-	0.06
ɛ	i	0.626
ɪ	ˈɪ_j	0.06
ˈɔ	ˈɛ	0.166
β	ʋ	0.496
ɥ	ʋ	0.137
ʃ	-	0.557
ʧ	ʧ	0.057
l	ɫ	0.28
l	lʲ	0.698
mʲ	m	0.708
t	t	0.8
w	ɫ	0.748
x	x	0.618
ɦ	ɦ	0.868
ʀʲ	r	0.788
ˈe	ˈɔ	0.258
ˈɛ	ɛ	0.408
i	j	0.219
p	p	0.619
pʲ	p	0.779
w	ɔ_ɫ	0.169
ɥ	ʋʲ	0.639
ʀ	r	0.909
ʧ	t	0.19
ˈa	ˈɑ	0.449
ˈɔ	ˈɔ	0.389
β	w	0.309
