Brazilian Portuguese	Occitan	probability
<#_a	<#_a	1.0
<#_b	<#_b	1.0
<#_d	<#_d	1.0
<#_e	<#_e	1.0
<#_f	<#_f	1.0
<#_h	<#_r	1.0
<#_k	<#_k	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_o	<#_u	1.0
<#_p	<#_p	1.0
<#_s	<#_s	1.0
<#_t	<#_t	1.0
<#_v	<#_v	1.0
<#_ɡ	<#_ɡ	1.0
<#_ʃ	k_l	1.0
<#_ʒ	<#_ʤ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ˈɐ̃	<#_ˈa	1.0
a_d	a_ð	1.0
a_ɾ	ˈa	1.0
b_ɾ	β_ɾ	1.0
d	ð	1.0
d_u_#>	t_#>	1.0
e	e	1.0
ẽ	e	1.0
h_k	r_k	1.0
ĩ	i	1.0
j_#>	j_#>	1.0
j_t	ʧ	1.0
j_ʃ_#>	ʦ_#>	1.0
j_ʧ	ʧ	1.0
j̃_#>	#>	1.0
j̃_u_#>	ɲ_#>	1.0
k	k	1.0
l	l	1.0
l_u_#>	l_#>	1.0
m_i_#>	m_#>	1.0
n	n	1.0
o	u	1.0
õ	u_n	1.0
s_k	s_k	1.0
z	z	1.0
z_ˈe	ɾ	1.0
ɐ_#>	ɔ_#>	1.0
ɐ̃	a	1.0
ɡ_w	ɡ	1.0
ɦ	r	1.0
ɦ_n	r	1.0
ɾ_u_#>	r_#>	1.0
ʃ_p	s_p	1.0
ʃ_t	s_t	1.0
ʎ	ʎ	1.0
ʎ_u	ˈɛ_l	1.0
ʎ_u_#>	l_#>	1.0
ʒ	ʤ	1.0
ˈa	ˈa	1.0
ˈa_b	ˈa_β	1.0
ˈa_h_#>	ˈa_#>	1.0
ˈa_w	ˈa_l	1.0
ˈe_h_#>	e_#>	1.0
ˈe_k	ˈe_k	1.0
ˈe_l	ˈe_l	1.0
ˈi_h_#>	ˈi_#>	1.0
ˈi_l	ˈi_l	1.0
ˈĩ	ˈi	1.0
ˈo_j	ˈa_w	1.0
ˈo_w	ˈa_w	1.0
ˈõ_#>	ˈu_#>	1.0
ˈũ	ˈy	1.0
ˈɐ̃_#>	ˈa_n	1.0
ˈɐ̃_j̃	ˈa_ɲ	1.0
ˈɔ_h	ˈɔ_r	1.0
ˈɛ	ˈɛ	1.0
ˈɛ_l	ˈɛ_l	1.0
s	r_s	0.111
ʤ	t	0.571
ˈe_j	j_ˈɛ	0.571
ˈo	ˈu	0.441
ˈu	ˈi	0.111
ˈu	ˈy	0.611
<#	<#_f	0.2
s	s	0.722
w_#>	w_#>	0.222
ʃ	l	0.462
ˈe	ˈɛ	0.062
ˈɐ̃	ˈa_ŋ	0.2
<#_ˈo	<#_ˈa	0.333
a	ˈa_j	0.143
m	m	0.833
u_#>	e_#>	0.123
ɾ	ɾ	0.763
ʃ_#>	#>	0.133
ˈẽ	ˈɛ	0.583
ˈo	ˈɔ	0.353
ˈɐ̃_w̃_#>	ˈu_#>	0.3
<#	<#_p	0.4
<#	<#_a	0.4
h	ɾ	0.4
h_#>	e_#>	0.474
i	e	0.714
i_#>	#>	0.774
j	-	0.444
j̃	n	0.4
t	n_t	0.154
u	u	0.4
v	β	0.4
ɡ	ɣ	0.474
ˈe	e	0.094
ˈe	j_ˈɛ	0.094
ˈɔ	ˈu	0.444
t_u_#>	ʧ_#>	0.375
t_u_#>	n_#>	0.625
v	v	0.15
v	w	0.45
w	-	0.375
w	w	0.625
ɐ	-	0.5
ɐ	a	0.5
ʧ	n	0.5
ʧ	t	0.5
ˈe	ɾ	0.125
ˈe	ˈe	0.625
ˈẽ	ˈe	0.25
ˈi	-	0.15
ˈi	ˈi	0.85
ˈĩ_j̃	ˈi	0.5
ˈĩ_j̃	ˈi_n	0.5
ˈõ	ˈu_n	0.25
ˈõ	ˈɔ	0.375
ˈõ	ˈu	0.375
b	m_b	0.286
b	w	0.286
h	-	0.6
i	i	0.286
i_#>	e_#>	0.226
j	j	0.556
j̃	ɲ	0.6
t	t	0.846
u	i_#>	0.6
ɡ	k	0.526
<#_ˈo	<#_ɥ	0.667
a	a	0.857
m	-	0.167
s	ʦ	0.167
u_#>	#>	0.807
ʃ_#>	s_#>	0.867
ˈẽ	ˈi	0.167
ˈɐ̃_w̃_#>	ˈa_#>	0.7
ˈɔ	ˈa	0.167
h_#>	ˈi_#>	0.158
h_#>	#>	0.368
w_#>	l_#>	0.778
ɾ	-	0.158
ʃ	s	0.538
ˈo	ˈu_n	0.088
ˈo	ɥ_ˈɛ	0.118
ˈu	ˈu	0.278
ˈɐ̃	ˈa	0.8
b	β	0.429
ɾ	l	0.079
ʤ	d	0.429
ˈe_j	ˈe	0.429
ˈɔ	ˈɔ	0.389
