Asturian	Asturian	probability
β_u_#>	p_#>	1.0
ˈu	ˈu	1.0
ˈe_β	w	1.0
ˈe_ʝ	k_ʎ	1.0
ˈe_u	k	1.0
ˈe_s	s	1.0
ˈe_n	ˈi_n	1.0
ˈe_#>	ˈi_#>	1.0
ˈa_ð	ˈa_t	1.0
ʝ_a	k	1.0
ɾ_β	r_b	1.0
ɾ_n	r_n	1.0
ɣ_u_#>	k_#>	1.0
ɡ	-	1.0
ɟ͡ʝ	j	1.0
ð	t	1.0
u_#>	#>	1.0
t	t	1.0
r	r	1.0
p_j	k_e̯ˈa	1.0
l_u_#>	r_#>	1.0
l_#>	e_#>	1.0
k_ɾ	k_r	1.0
k_a	k	1.0
i	-	1.0
e_s	s	1.0
b_e	j_i	1.0
a_#>	#>	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʎ	<#_ʎ	1.0
<#_ɡ_w	<#_ˈo	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_k	<#	1.0
#>	i_#>	1.0
ʎ	l	0.895
m	m	0.88
k	k	0.88
p	p	0.875
ˈi	ˈi	0.833
n	n	0.792
s	s	0.789
ɾ	r	0.776
<#_a	<#_a	0.75
β	-	0.727
<#_θ	<#_ʦ	0.714
u	u	0.697
a	ə	0.688
ɣ	k	0.667
w	ˈo	0.667
<#	<#_a	0.667
ˈa	ˈa	0.639
θ	ʦ	0.636
d	d	0.636
ˈo	ˈu	0.615
f	f	0.615
ʧ	p_t	0.6
e	i	0.594
b	b	0.588
l	r	0.571
w_ˈe	ˈo	0.556
ʃ	ʤ	0.5
ʃ	ʣ	0.5
ɲ	n	0.5
ŋ	n_i	0.5
ŋ	n	0.5
s_#>	j_#>	0.5
s_#>	#>	0.5
w_ˈe	o̯ˈa	0.444
o	u	0.444
ʝ	-	0.429
l	-	0.429
ʧ	t	0.4
j_ˈe	ˈe	0.4
o	-	0.389
f	ç	0.385
d	ʣ	0.364
ɣ	-	0.333
w	-	0.333
<#	<#_ʣ	0.333
ˈe	e̯ˈa	0.318
j_ˈe	ˈi	0.3
j_ˈe	ˈa	0.3
j	i	0.3
j	-	0.3
b	v	0.294
ʝ	ʤ	0.286
ʝ	ʎ	0.286
<#_θ	<#	0.286
β	p	0.273
ˈa	ˈɨ	0.25
ɲ	m	0.25
ɲ	-	0.25
<#_a	<#	0.25
ˈe	ˈe	0.227
e	-	0.219
s	ʃ	0.211
j	ˈe	0.2
j	e̯ˈa	0.2
ˈo	ˈo	0.192
e	ə	0.188
θ	ʃ_t	0.182
θ	ʃ	0.182
u	ə	0.182
ɾ	i	0.172
ˈi	-	0.167
o	i	0.167
ˈe	ˈa	0.136
p	k	0.125
n	-	0.125
m	ɲ	0.12
k	ʦ	0.12
b	j	0.118
ˈo	o̯ˈa	0.115
ˈa	-	0.111
ʎ	-	0.105
ˈe	ˈi	0.091
ˈe	r	0.091
ˈe	i_r	0.091
n	m	0.083
a	i	0.083
ˈo	ˈa_v	0.077
a	ˈa	0.062
a	ʎ_i	0.062
a	a	0.062
u	ʎ	0.061
u	r	0.061
ɾ	-	0.052
