Bulgarian	Bulgarian	probability
ˈ	ˈ	1.0
ʧ	ʧ	1.0
ʦʲ	ʦʲ	1.0
ʦ	ʦ	1.0
ʒ̊	ʒ̊	1.0
ʒ	ʒ	1.0
ʃ	ʃ	1.0
ɫ	ɫ	1.0
ɤ	ɤ	1.0
ɡ̊	ɡ̊	1.0
ɡ	ɡ	1.0
ɛ_ˈ	ɛ_ˈ	1.0
ɛ	ɛ	1.0
ɔ	ɔ	1.0
ɐ	ɐ	1.0
z̥	z̥	1.0
z	z	1.0
x	x	1.0
vʲ	vʲ	1.0
v	v	1.0
u	u	1.0
tʲ	tʲ	1.0
t	t	1.0
s	s	1.0
rʲ	rʲ	1.0
r	r	1.0
pʲ	pʲ	1.0
p	p	1.0
o	o	1.0
nʲ	nʲ	1.0
n	n	1.0
mʲ	mʲ	1.0
m	m	1.0
lʲ	lʲ	1.0
l	l	1.0
k	k	1.0
j	j	1.0
i	i	1.0
f	f	1.0
d̥	d̥	1.0
dʲ	dʲ	1.0
d	d	1.0
b̥	b̥	1.0
bʲ	bʲ	1.0
b	b	1.0
a	a	1.0
