Westphalian	Westphalian	probability
ˈɪɛ̯_l	ˈeː_l	1.0
ˈɛː	-	1.0
ˈɒː	ˈɔː	1.0
ˈœː	-	1.0
ˈyːœ̯	-	1.0
ˈyː	ˈaɪ̯	1.0
ˈyə̯	ˈɛ	1.0
ˈeː	ˈeː	1.0
ˈa_ɐ	ˈaː	1.0
ʃ	ʃ	1.0
ɪ	ɪ	1.0
ɣ	-	1.0
ɡ_n	ə	1.0
ɡ	ɣ	1.0
z̥	s	1.0
v̥	b̥	1.0
v_n	ə	1.0
t_n	s_ə	1.0
r	ɾ	1.0
p_n	f_ə	1.0
n_n	n_ə	1.0
n_#>	#>	1.0
k_ə	x	1.0
k_#>	#>	1.0
j	j	1.0
h	h	1.0
f	f	1.0
d̥	d̥	1.0
d	d	1.0
aɪ̯	eː	1.0
l	l	0.956
m	m	0.929
b	b	0.913
ŋ	ŋ	0.846
ɐ	ɑ	0.829
ə	-	0.824
s	s	0.818
ˈuː	ˈaʊ̯	0.778
ˈɪ	ˈɪ	0.76
ˈa	ˈa	0.76
ˈoː	ˈuː	0.75
ʋ	ʋ	0.75
ç	ç	0.75
<#_n	<#_n	0.75
ˈiː	ˈaɪ̯	0.733
v	ʋ	0.731
ˈʏ	ˈɪ	0.667
ˈɔː	ˈoː	0.667
ˈaː	ˈa	0.667
z	s	0.667
ˈɛ	ˈɛ	0.636
ˈʊ	ˈʊ	0.625
ˈɪɛ̯	ˈɛ	0.625
ˈɪə̯	ʋ	0.6
ˈɔ	ˈa	0.6
ˈiɛ̯	-	0.6
ˈaɪ̯	ˈiː	0.6
x	ɡ	0.6
p	f	0.6
k	k	0.571
n	n	0.509
ˈøː	ˈiː	0.5
ˈuːə̯	ˈɔ	0.5
ˈuːə̯	ˈaː_ɾ	0.5
ˈuə̯	ˈʊ	0.5
ˈuə̯	-	0.5
#>	ə_#>	0.455
ˈaʊ̯	ˈoː	0.429
ˈɪə̯	n	0.4
ˈɔ	ˈɔ	0.4
ˈiɛ̯	ˈiː	0.4
p	p	0.4
n	ə	0.4
ˈɪɛ̯	ˈɛː	0.375
ˈaʊ̯	ˈɔː	0.357
ˈʏ	-	0.333
ˈɔː	ˈɔː	0.333
ˈaː	-	0.333
z	-	0.333
t	ʦ	0.333
t	s	0.31
x	x	0.3
ˈøː	ˈuː	0.25
ˈøː	-	0.25
ˈoː	ˈʊ	0.25
ʋ	b̥	0.25
ç	k	0.25
k	ç	0.25
<#_n	<#	0.25
t	t	0.238
ˈuː	-	0.222
ˈaʊ̯	-	0.214
ˈaɪ̯	ˈeː	0.2
ˈaɪ̯	-	0.2
ˈʊ	ˈɔ	0.188
ˈʊ	ˈaʊ̯	0.188
ˈɛ	ˈɪ	0.182
ˈɛ	ˈa	0.182
s	ʃ	0.182
#>	ˈuː_#>	0.182
#>	f_#>	0.182
#>	d̥_#>	0.182
ə	ə	0.176
ˈɪ	ˈaɪ̯	0.16
ˈa	ˈɔː	0.16
ŋ	-	0.154
v	-	0.154
ˈiː	ˈeː_ɑ	0.133
ˈiː	-	0.133
v	b̥	0.115
k	x	0.107
x	ɡ̊	0.1
b	-	0.087
ɐ	d_ɑ	0.086
ɐ	-	0.086
ˈɪ	ˈa	0.08
ˈa	-	0.08
t	d	0.071
m	ə	0.071
k	-	0.071
n	ˈeː	0.055
