Aragonese	Aragonese	probability
θ	θ	1.0
ˈo_ʝ	ˈo	1.0
ˈo_ɾ	ˈo_ɾ	1.0
ˈo	ˈo	1.0
ˈi	ˈi	1.0
ˈe_ʎ	x	1.0
ˈe_t	ˈe_t	1.0
ˈe_m	ˈe_m	1.0
ˈe_l	ˈe_l	1.0
ˈe	ˈe	1.0
ˈa_t	ˈo_t	1.0
ˈa_m	ˈa_m	1.0
ʧ	θ	1.0
ʝ_ˈe	ˈe	1.0
ʝ	-	1.0
ɾ_ˈe	ɾ_ˈe	1.0
ɾ_ˈa	ɾ_ˈa	1.0
ɾ_t	ɾ_t	1.0
ɾ_o	ɾ_o	1.0
ɾ_k	ɾ_k	1.0
ɾ_a	ɾ_a	1.0
ɾ	ɾ	1.0
ɲ	ɲ	1.0
ŋ	ŋ	1.0
ð_ˈa	ð_ˈa	1.0
z	s	1.0
w_ˈe	ˈo	1.0
u_s	o_s	1.0
t_#>	ð_#>	1.0
s_ˈe	s_ˈe	1.0
s_a	θ_a	1.0
s	s	1.0
r	r	1.0
p_l	ɟ͡ʝ	1.0
o	o	1.0
m	m	1.0
k_ɾ	k_ɾ	1.0
k_l	ɟ͡ʝ	1.0
k	k	1.0
j_ˈe	ˈi	1.0
j_t	ʧ	1.0
j_#>	ð_ɾ_e_#>	1.0
f	f	1.0
d	d	1.0
b	b	1.0
a_ɾ	a_ɾ	1.0
a	a	1.0
<#_ˈa	<#_ˈa	1.0
<#_w	<#_ˈo	1.0
<#_o	<#_o	1.0
<#_f_ˈi	<#_ˈi	1.0
<#_f	<#	1.0
#>	o_#>	1.0
n	n	0.972
ˈa	ˈa	0.967
w	w	0.941
t	t	0.935
β	β	0.929
e	e	0.922
p	p	0.914
l	l	0.913
ɣ	ɣ	0.875
ˈu	ˈu	0.857
ɡ	ɡ	0.857
ð	ð	0.75
<#_a	<#_a	0.75
j	j	0.735
w_#>	β_e_#>	0.667
u	u	0.667
<#_ʧ	<#_x	0.6
ʎ	x	0.571
i	i	0.5
i	e	0.5
ʎ	ʝ	0.429
ʃ	θ	0.429
<#_ʧ	<#	0.4
w_#>	o_#>	0.333
u	o	0.333
ʃ	x	0.286
ʃ	-	0.286
<#_a	<#	0.25
j	-	0.206
ˈu	ˈo	0.143
ɡ	-	0.143
ɣ	-	0.125
ð	ʝ	0.125
ð	-	0.125
p	β	0.086
e	-	0.078
β	-	0.071
t	ð	0.065
w	-	0.059
j	ʧ_e	0.059
