Lower Sorbian	Standard Croatian	probability
ʨ	t	1.0
ʒ	ʒ	1.0
ʑ	d	1.0
ʐ̊	ʒ	1.0
ʐ	ʒ	1.0
ʂ	r	1.0
ɡ	ɡ	1.0
ɕ_i	r_iː	1.0
z̥	-	1.0
z	z	1.0
x	x	1.0
w_a	l_a	1.0
v_a	ʋ_a	1.0
v	ʋ	1.0
t͡ʂ	ʦ	1.0
t_ɔ	t_oː	1.0
t_a	t_a	1.0
t	t	1.0
rʲ	r	1.0
r_ɨ	a_r	1.0
pʲ	p	1.0
p	p	1.0
nʲ	n_j	1.0
n	n	1.0
mʲ	m	1.0
m	m	1.0
kʲ_i	a_k	1.0
f	ʋ	1.0
d_w	l	1.0
bʲ	b	1.0
b	b	1.0
a_r	r̩ː	1.0
s	s	0.979
k	k	0.955
a	a	0.763
d	d	0.752
ɲ	n	0.695
ʦ	ʦ	0.683
r	r	0.66
i	i	0.585
ɕ	t_i	0.58
ɪ	eː	0.528
vʲ	ʋ	0.508
vʲ	ʋ_j	0.492
ɔ	o	0.462
l	l	0.444
u	uː	0.426
i	i_̂	0.415
l	l_j	0.409
w	l	0.406
r	-	0.34
ɕ	t	0.338
ʦ	ʧ	0.317
ɪ	e	0.313
u	uː_̌	0.31
ɲ	ɲ	0.305
ɨ	iː	0.289
e	e	0.277
u	u	0.264
d	d_a	0.248
ɛ	o_̌	0.242
e	eː	0.236
ɛ	e	0.234
w	a	0.203
ɛ	o	0.201
e	-	0.185
ɨ	i_̂	0.18
w	-	0.175
ɪ	j_eː	0.159
ɨ	a	0.155
e	e_̌	0.153
e	r̩_̂	0.149
l	ʎ	0.147
ɨ	-	0.135
w	o	0.132
a	e_̂	0.129
ɨ	iː_̌	0.123
ɨ	i	0.118
ɔ	oː	0.113
ɔ	aː	0.113
ɛ	-	0.111
ɔ	e	0.109
a	aː	0.108
ɛ	a	0.085
w	uː	0.084
ɕ	a_t	0.082
ɛ	oː	0.064
ɛ	j	0.063
ɔ	eː	0.054
ɔ	a_̂	0.053
