Standard Croatian	Latvian	probability
̌	-	1.0
̂	-	1.0
ʨ	k_t	1.0
ʧ	-	1.0
ʦ	-	1.0
ʒ	ʣ	1.0
ʃ	-	1.0
ɲ	n_s	1.0
ɡ	ɡ	1.0
uː_̌	uɔ̯	1.0
uː_̂	l	1.0
uː	au̯	1.0
u_̂	uɔ̯	1.0
u	i_l	1.0
t_i	t	1.0
t_a	j	1.0
s_eː	e	1.0
s	s	1.0
r̩ː	r_t	1.0
r̩_̂	i_r	1.0
p	p	1.0
o_̂	a	1.0
m	m	1.0
l_o	l̩	1.0
l	l	1.0
j_e	ɛː	1.0
iː	iː	1.0
i_̂	uː	1.0
eː_̌	ai̯	1.0
eː_̂	æː	1.0
e_̌	ɛ	1.0
b	b	1.0
aː	-	1.0
a_̂	aː	1.0
a_r	r̩_s	1.0
n	n	0.827
r	r	0.761
j	-	0.76
t	t	0.72
ʋ	v	0.71
z	z	0.647
k	s	0.567
ʎ	l	0.562
oː	-	0.549
d	d	0.532
o	a	0.52
eː	-	0.512
a	-	0.489
o	s	0.48
oː	aː	0.451
ʎ	-	0.438
k	k	0.433
e	ɛ	0.396
z	z̥	0.353
e	-	0.339
eː	iɛ̯	0.299
ʋ	v_i	0.29
t	-	0.28
e	æ	0.265
j	uɔ̯	0.24
r	r_s	0.239
d	-	0.209
d	d̥	0.193
eː	æ	0.19
a	u	0.182
n	-	0.173
a	i	0.136
a	k	0.116
a	s	0.078
d	d_u	0.066
