Western Lombard	Bellunese	probability
a	a	1.0
b	b	1.0
ĩ	i_ŋ	1.0
n	n	1.0
o	o	1.0
p	p	1.0
u	o	1.0
w	w	1.0
z	z	1.0
ʃ	θ	1.0
ʋ	v	1.0
ˈaː	ˈa	1.0
ˈãː	ˈa_ŋ	1.0
ˈeː	ˈe	1.0
ˈẽː	ˈe_ŋ	1.0
ˈĩː	ˈi_ŋ	1.0
ˈũː	ˈo_ŋ	1.0
ˈøː	ˈo	1.0
k	ɡ_o	0.101
r	r	0.901
t	t	0.931
ˈa	ˈa	0.751
ˈe	j_ˈe	0.151
ˈy	ˈe	0.781
i	e	0.282
j	j	0.752
ɲ	ŋ	0.552
ˈi	e_r	0.072
ˈɛ	ˈɛ	0.702
d	d	0.833
e	-	0.13
s	s	0.93
ˈu	ˈo	0.833
ˈø	ˈɔ	0.583
ˈɔ	ˈo	0.183
ˈɛ	ˈe	0.083
e	ˈe	0.134
e	e	0.554
f	f	0.914
ʤ	ð	0.664
ʦ	θ	0.574
ʧ	ʧ_o	0.274
ʧ	θ	0.364
ˈi	ˈi_r	0.254
ˈi	ˈi	0.674
ˈyː	ˈu	0.404
ˈɛ	ˈe_r	0.084
l	l	0.915
m	ŋ	0.075
m	m	0.925
ɡ	ɡ	0.965
ʧ	ʧ	0.065
e	a	0.056
ʤ	-	0.336
ʦ	ð	0.426
ˈyː	ˈo	0.596
d	-	0.167
e	o	0.127
ʧ	t	0.297
ˈu	ˈɔ	0.167
ˈø	ˈo	0.417
ˈɔ	ˈɔ	0.817
i	i	0.718
j	-	0.248
l	-	0.068
ɲ	ɲ	0.448
k	k	0.899
r	r_o	0.099
t	t_o	0.069
ˈa	ˈa_r	0.229
ˈe	ˈɛ	0.139
ˈe	ˈe	0.709
ˈy	ˈu	0.219
