Štokavian	Belarusian	probability
â	ˈo	1.0
ǎː	a	1.0
eː	æ	1.0
iː	ɨ	1.0
îː	ˈɨ	1.0
ôː	ˈo	1.0
ǒ	a	1.0
r	r	1.0
r̂ː	ˈɵ_r	1.0
r̩̂ː	r	1.0
r̩̂	ˈe_r	1.0
û	ˈo	1.0
ɲ	nʲ	1.0
ʎ	lʲ	1.0
ʧ	ʧ	1.0
ʨ	ʧ	1.0
âː	a	0.351
b	b	0.491
d	t	0.141
êː	ˈæ	0.41
k	k_a	0.201
l	lʲ	0.411
ô	ˈo	0.591
s	sʲ	0.431
ɡ	ɣ_ˈo	0.081
ɡ	x	0.241
d	-	0.062
d	d	0.362
e	ˈe	0.242
m	mʲ	0.382
t	t	0.362
a	ˈo	0.053
a	-	0.183
ê	ˈo	0.103
p	p	0.323
z	z	0.363
ʒ	ʐ	0.673
ʦ	-	0.103
b	bʲ	0.164
e	a	0.354
ě	a	0.254
i	ˈɨ	0.74
î	ˈɨ	0.14
l	ɫ	0.544
ô	a	0.074
ûː	ˈu	0.394
x	x	0.864
a	a	0.195
b	p	0.345
d	ʣʲ	0.435
n	nʲ	0.355
n	n	0.455
o	ˈo	0.095
ô	v_ˈo	0.335
a	ˈa	0.46
e	ˈæ	0.146
ě	æ	0.746
i	ˈi	0.26
î	ˈi	0.86
o	a	0.876
ûː	ˈo_w	0.606
x	xʲ	0.136
ê	ˈe	0.897
p	pʲ	0.677
z	zʲ	0.637
ʒ	ʂ	0.327
ʦ	ʦ	0.897
k	k	0.768
m	m	0.618
t	ʦʲ	0.638
ɡ	ɣ	0.678
ʋ	vʲ	0.528
a	e	0.109
âː	ˈo	0.649
e	e	0.259
êː	ˈɛ	0.59
j	-	0.99
n	n_ɨ	0.189
s	s	0.569
ʋ	v	0.419
