East Franconian	Danish	probability
β	-	1.0
ˈɛː	ˈœ	1.0
ˈɘ	ɐ	1.0
ˈɒː	ˈʌ_j	1.0
ˈɒ_ɾ	ˈɑː	1.0
ˈiː_ç	ˈyˀ	1.0
ˈeː	-	1.0
ˈaː_ɣ̊	j	1.0
ˈa	ɡ̊_ˈɑ	1.0
ʦ_v	ʦʰ	1.0
ɾ_ɐ	ɐ	1.0
ɪ	e	1.0
ɣ̊	-	1.0
ɣ	jˀ	1.0
ɐ_n	ɐˀ_n	1.0
ɐ_d̥	ɐˀ	1.0
z̥_n	ð̞ˠ_ə	1.0
x_d̥	d̥	1.0
v_ˈɪ	ʋ	1.0
r	ʁ	1.0
n_ˈiː	n_ˈeˀ	1.0
m_ˈʊ	m	1.0
l_d̥	lˀ	1.0
kʰ	kʰ	1.0
f_ˈiː	f	1.0
eː	ə_n	1.0
b̥͡v̥	pʰ	1.0
b̥	b̥	1.0
a	ə	1.0
ɡ̊	ɡ̊	0.927
v	ʋ	0.896
h	h	0.858
f	f	0.832
m	m	0.771
l	l	0.738
n_d̥	nˀ	0.728
ɐ	ɐ	0.656
ˈʊ	ˈu	0.651
ʃ	s	0.606
s	s	0.595
ʦ	ʦʰ	0.588
ˈaʊ̯	ˈuˀ	0.55
ˈɪ	ˈe	0.477
n	n	0.472
ˈaʊ̯	-	0.45
ˈɒ	ˈæ	0.433
ˈaː	-	0.431
ç	ŋ	0.414
ʦ	d̥	0.412
ˈuː	ˈoˀ	0.403
d̥	d̥	0.403
ˈaː	ˈeˀ	0.386
ˈaɪ̯	ˈiˀ	0.378
ˈɛ	-	0.375
ˈɔ	ˈu	0.375
ç	-	0.362
ʃ	s_ɡ̊	0.327
s	ð̞ˠ	0.32
ˈiː	ˈyː	0.296
ˈiː	-	0.296
ˈuː	-	0.294
ˈɔ	-	0.292
d̥	ð̞ˠ	0.286
n_d̥	n_ə	0.272
ŋ	ŋ	0.27
ˈiː	ˈyˀ	0.263
ˈoː	-	0.262
l	lˀ	0.262
ˈɛ	ˈe	0.261
ˈɒ	ˈɑ	0.261
ˈɪ	ˈø	0.236
ŋ	ŋˀ	0.23
ˈɛ	ˈɛ	0.229
ç	w	0.224
n	ə	0.223
ˈaɪ̯	-	0.213
ŋ	ə	0.21
d̥	ʦʰ	0.205
ˈɔ	ˈo	0.2
ˈoː	ˈɔˀ	0.189
ˈʊ	-	0.183
ˈoː	ˈɔː	0.183
ˈaː	j	0.182
ɐ	-	0.18
ˈʊ	ˈʌ	0.166
ɐ	ɐˀ	0.164
ˈaɪ̯	ˈiː	0.163
ˈoː	ˈɒˀ	0.147
ˈiː	ˈeˀ	0.146
ŋ	w_ə	0.145
ŋ	jˀ_n	0.145
h	j	0.142
ˈɔ	ˈœ	0.133
ˈaɪ̯	ˈyˀ	0.125
ˈaɪ̯	ˈɑ	0.121
ˈɒ	ˈʌ	0.114
ˈɒ	ˈɔˀ	0.114
ˈoː	ˈæ	0.111
v	-	0.104
m	w_ə	0.104
ˈuː	ˈœˀ	0.102
ˈuː	ˈøˀ	0.102
ˈɪ	ˈœ	0.098
ˈɪ	-	0.098
ˈuː	ˈuˀ	0.098
n	nˀ	0.095
ˈɪ	ˈɛ	0.091
m	mˀ	0.091
f	b̥_ə	0.087
n	n_ə	0.082
f	ʋ	0.082
n	-	0.079
ˈɒ	-	0.078
ˈoː	ˈæ_nˀ	0.074
ɡ̊	-	0.073
ˈɛ	ˈœː	0.069
ˈɛ	j_ˈɛ	0.067
ʃ	ɡ̊	0.067
s	ˈøˀ_ð̞ˠ	0.051
