Swabian	Swabian	probability
ˈɔə̯	ˈoː	1.0
ˈɔ_ʕ	ˈoə̯	1.0
ˈɔ	ˈɔ	1.0
ˈuː	-	1.0
ˈiː	ˈiə̯	1.0
ˈeː	-	1.0
ˈeə̯	ˈiə̯_n	1.0
ˈaː_ɡ	ˈɛi̯	1.0
ˈaː	-	1.0
ʦ	t	1.0
ʣ	t	1.0
ʃ_d	s_t	1.0
ɪ	ə	1.0
ɡ_#>	χ_#>	1.0
t	-	1.0
s_#>	s_#>	1.0
p͡f	p	1.0
n_#>	#>	1.0
n	n	1.0
m	m	1.0
l_d	d̥	1.0
l	l	1.0
i	ɪ	1.0
h	h	1.0
f_#>	p_#>	1.0
eə̯	j_ɪ	1.0
e	ə	1.0
d_a	ə	1.0
d_#>	#>	1.0
b_#>	#>	1.0
<#_ˈa	<#_ˈaː	1.0
<#_ʁ	<#_r	1.0
<#_ɡ	<#_ɡ	1.0
<#_l	<#_l	1.0
<#_kʰ	<#_k	1.0
<#_j	<#_j	1.0
ŋ	ŋ	0.818
f	f	0.815
ʁ	r	0.81
ˈu	-	0.778
a	ə	0.765
ʕ	r	0.75
b	b	0.72
ç	k	0.714
ˈuə̯	ˈuə̯	0.667
ʃ	s	0.652
ʋ	ʋ	0.64
ˈɔː	-	0.625
#>	n_#>	0.615
ˈɪ	ˈɪ	0.6
ˈɛː	-	0.6
ʌ	ə_r	0.6
ˈɔe̯	-	0.583
ˈe	ˈɪ	0.571
ˈae̯	-	0.571
x	χ	0.556
ˈoː	ˈɪə̯	0.545
ˈiə̯	-	0.5
<#_ˈɛ	<#_ˈa	0.5
<#_ˈɛ	<#	0.5
s	t	0.483
ˈɛ	-	0.471
ˈo	ˈɔ	0.467
ˈao̯	ˈuː	0.467
ˈoː	-	0.455
s	s	0.448
ɡ	ɣ	0.438
ˈe	-	0.429
ˈi	ˈɪ	0.417
ˈa	ˈa	0.417
ˈɪ	-	0.4
ˈɛː	ˈɪə̯	0.4
ˈao̯	-	0.4
ʌ	r	0.4
#>	k_#>	0.385
ˈɔː	ˈiə̯	0.375
ˈəi̯	ˈiː	0.357
d	d	0.356
ˈɛ	ˈɛ	0.353
ʃ	s_k	0.348
ˈuə̯	-	0.333
ˈo	-	0.333
ˈiə̯	j_ˈɪ	0.333
ˈi	-	0.333
d	t	0.288
ˈae̯	ˈɛ	0.286
ç	-	0.286
ʋ	v	0.28
ˈɔe̯	ˈiə̯_n	0.25
ˈi	ˈi	0.25
ʕ	-	0.25
ɡ	k	0.25
ˈu	ˈɔ	0.222
x	k_ə	0.222
x	k	0.222
ˈəi̯	ˈi	0.214
ˈa	ˈɪə̯	0.208
ˈo	ˈu	0.2
ʁ	-	0.19
ɡ	ˈɛi̯	0.188
ŋ	-	0.182
ˈɛ	ˈɪ	0.176
d	d̥	0.169
ˈɔe̯	ˈaː	0.167
ˈiə̯	ˈu̯o	0.167
ˈa	-	0.167
a	j_ə	0.147
ˈəi̯	j_ˈuə̯	0.143
ˈəi̯	j	0.143
ˈəi̯	-	0.143
ˈae̯	ˈøə̯	0.143
ˈao̯	ˈɪə̯	0.133
ˈa	ˈɔː	0.125
ɡ	z	0.125
b	-	0.12
f	p	0.111
d	-	0.102
a	-	0.088
ˈa	ˈaː	0.083
ʋ	-	0.08
b	v	0.08
b	f	0.08
f	v_ə	0.074
s	ˈi_t	0.069
d	n	0.051
