Zeelandic	Zeelandic	probability
ˈʊə̯_ɾ	r	1.0
ˈɒː	-	1.0
ˈɑu̯	-	1.0
ˈɑ_ɾ	ˈa_r̥	1.0
ˈyː	ˈuː	1.0
ˈuːə̯	-	1.0
ˈoː	ˈɔ	1.0
ˈiːə̯	j_ˈɑːu̯	1.0
ə_ɾ	ɪ_r̥	1.0
z̥_#>	s_#>	1.0
z	s	1.0
x_ə	a	1.0
w	-	1.0
v̥_#>	f_#>	1.0
v̥	v_ʏ	1.0
v_ˈɔ	f	1.0
v_ə	v_a	1.0
t_#>	#>	1.0
s_x	s_k	1.0
n_z̥	sː	1.0
n_d	nː	1.0
n_#>	#>	1.0
m	m	1.0
l	l	1.0
iː	aːu̯	1.0
i	ɑu̯	1.0
b	b̥	1.0
<#_ˈɑ	<#_ˈɛ	1.0
<#_ʋ	<#	1.0
<#_ɾ	<#_r̥	1.0
<#_ɫ	<#_l	1.0
<#_x	<#_ɡ̊	1.0
<#_t	<#_tʰ	1.0
<#_n	<#_n	1.0
<#_k	<#_kʰ	1.0
<#_j	<#	1.0
ŋ	ŋ	0.9
v	f	0.875
s	s	0.789
t	t	0.788
p	p	0.7
<#	<#_h	0.684
ˈæi̯	-	0.667
ˈi	ˈiː	0.667
ʋ	v	0.667
ˈuː	ˈoːu̯	0.6
ˈu	ˈu	0.6
d̥	ð	0.56
#>	ʏ_r̥_#>	0.542
ˈɔ	ˈʏ	0.529
ɾ	r	0.52
ˈʊə̯	ˈœːy̯	0.5
ɫ_ə	ˈau̯_l	0.5
ɫ_ə	l	0.5
n	n	0.5
d	d̥	0.5
ɫ	l	0.48
#>	r̥_#>	0.458
ə	a	0.446
ˈɪ	ˈɪ	0.438
ˈʏ	-	0.429
ˈɪə̯	j	0.4
ˈuː	-	0.4
ˈu	-	0.4
d	θ	0.4
ˈeː	ˈɪː	0.375
ˈeː	-	0.375
k	k	0.375
ˈɔ	-	0.353
ˈøː	ˈʏː	0.333
ˈøː	ˈɔː	0.333
ˈøː	-	0.333
ˈæi̯	ˈeːi̯	0.333
ˈi	ˈi	0.333
ɾ	r̥	0.32
ˈɪ	-	0.312
ˈæ	ˈɛ	0.308
ˈæ	ˈa	0.308
ə	-	0.297
ˈʏ	ˈɪ	0.286
ˈʏ	ˈɔ	0.286
ɫ	t͡l̥	0.28
ˈɛː	ˈɑːu̯	0.278
ˈɑ	ˈaː	0.278
ˈɑ	ˈa	0.278
ˈeː	ˈɛː	0.25
ɫ	l̥	0.24
ˈiː	ˈiː	0.235
ˈiː	j_ˈuː	0.235
ˈæ	j	0.231
ˈɛː	ˈaː	0.222
ʋ	kʰ_v	0.222
ˈʊə̯	ˈɛːi̯	0.214
s	s_k	0.211
ˈɪə̯	ˈɛːi̯	0.2
ˈɪə̯	ˈɛi̯	0.2
ˈɪə̯	-	0.2
p	ʰp	0.2
t	ʰt	0.182
ˈiː	j_ˈoːu̯	0.176
ˈiː	-	0.176
ə	ʏ	0.176
ˈɛː	-	0.167
ˈɑ	ˈɑu̯	0.167
ˈɑ	ˈœ	0.167
k	ɡ̊_ʏ	0.167
d̥	d̥_ʏ	0.16
d̥	d̥	0.16
x	ɣ	0.158
x	ɡ̊	0.158
x	ɟ̊	0.158
<#	<#_ç	0.158
<#	<#_j	0.158
ˈæ	-	0.154
n	nː	0.15
n	-	0.15
ˈʊə̯	r	0.143
ˈʊə̯	-	0.143
ˈɪ	ˈɪː	0.125
ˈɪ	ˈɛː	0.125
v	v	0.125
n	t͡n̥	0.125
k	ʰk	0.125
k	ɡ̊	0.125
k	cʰ	0.125
d̥	-	0.12
ˈɔ	ˈɔ	0.118
ˈiː	j	0.118
ˈɛː	ˈœ	0.111
ˈɛː	ˈaːu̯	0.111
ˈɛː	ˈa	0.111
ˈɑ	ˈaːi̯	0.111
ʋ	-	0.111
x	ˈɔu̯	0.105
x	ɟ̊ː	0.105
x	j	0.105
x	c	0.105
x	-	0.105
ŋ	ɲ	0.1
p	pʰ	0.1
d	-	0.1
k	c	0.083
n	n̥	0.075
ˈiː	i	0.059
