Insular North Frisian	Insular North Frisian	probability
ˈɛ_n	n	1.0
ˈɔa̯	ˈoː	1.0
ˈœ_n	n	1.0
ˈiː_#>	ˈɛɪ̯_#>	1.0
ˈaɪ̯	ˈaːi̯	1.0
ʃ	s	1.0
ɾ_ɐ	r	1.0
ɾ	d	1.0
ɡ	ɣ	1.0
ə_l	ə_l	1.0
ə_f	v_ə	1.0
ə_#>	j_ə_#>	1.0
ə	ə	1.0
ɐ_x_t	d	1.0
z	z	1.0
x_t	t	1.0
x_#>	#>	1.0
tʲ	t_j	1.0
tʰ	-	1.0
s_l	s_l	1.0
s_#>	z_ə_#>	1.0
s	s	1.0
r_ə	r	1.0
p	p	1.0
nʲ	n_d	1.0
n	n	1.0
m	m	1.0
lʲ	l_d	1.0
l_ˈeː	l	1.0
l	l	1.0
k	k	1.0
h	h	1.0
e	-	1.0
d	t	1.0
b	b	1.0
aɪ̯	i	1.0
<#_ɡ	<#	1.0
<#_tʰ	<#_t	1.0
<#_r	<#_r	1.0
<#_pʰ	<#_p	1.0
<#_kʰ	<#_k	1.0
<#_d	<#_d	1.0
#>	x_#>	1.0
v	v	0.929
f	f	0.926
t	t	0.911
r	r	0.9
ŋ	ŋ	0.857
x	x	0.8
ˈyː	ˈuː	0.75
ˈuː	ˈoːu̯	0.75
ɪ	ɪ	0.667
ˈʏ	ˈuː	0.6
<#_j	<#_j	0.571
ç	x	0.562
ˈoː	ˈoː	0.556
ˈɔː	ˈɔː	0.533
ˈɛː	ˈɛː	0.5
ˈɛː	-	0.5
<#	<#_v	0.5
<#	<#_d	0.5
ɐ	ə_r	0.452
ç	ɣ	0.438
<#_j	<#	0.429
ˈʊ	ˈʊ	0.4
ˈɪ	ˈi	0.4
ˈœ	ˈoːu̯	0.4
ɐ	r	0.387
ˈɔ	ˈoːu̯	0.333
ˈøː	ˈɛɪ̯	0.333
ˈøː	ˈoː	0.333
ˈøː	-	0.333
ˈa	ˈaː	0.333
ɪ	-	0.333
ˈeː	-	0.312
ˈœ	-	0.3
ˈiː	ˈeː	0.294
ˈɪ	ˈiː	0.28
ˈʏ	-	0.25
ˈʊ	ˈoːu̯	0.25
ˈɔ	ˈɔː	0.25
ˈɔ	-	0.25
ˈyː	-	0.25
ˈuː	ˈoːu̯_d	0.25
ˈeː	ˈeː	0.25
ˈɪ	ˈɪ	0.24
ˈoː	ˈoː_ɣ	0.222
ˈoː	-	0.222
ˈʊ	-	0.2
ˈɔː	ˈɛɪ̯	0.2
ˈœ	ˈuː	0.2
x	r	0.2
ˈeː	ˈɛɪ̯	0.188
ˈɛ	ˈɪ	0.179
ˈiː	ˈiː	0.176
ˈiː	ˈi	0.176
ˈɔ	ˈʊ	0.167
ˈʊ	ˈɪ	0.15
ˈɛ	ˈeː	0.143
ŋ	-	0.143
ˈɔː	ˈoː	0.133
ˈɔː	-	0.133
ˈa	ˈɛː	0.133
ˈa	ˈɛ	0.133
ˈa	ˈɔː	0.133
ˈa	ˈɔ	0.133
ˈa	ˈa	0.133
ˈeː	ˈɛː	0.125
ˈeː	ˈiː	0.125
ˈiː	ˈɛɪ̯	0.118
ˈiː	j_ˈoː	0.118
ˈiː	j	0.118
ˈɛ	ˈɛː	0.107
ˈɛ	ˈɛ	0.107
ˈɛ	ˈiː	0.107
ˈʏ	ˈu	0.1
ˈœ	ˈœː	0.1
r	r_j	0.1
ɐ	ə	0.097
t	d	0.089
ˈɪ	k	0.08
f	w	0.074
ˈɛ	ˈʊ	0.071
ˈɛ	ˈɛɪ̯	0.071
ˈɛ	ˈɔ	0.071
ˈɛ	ˈa	0.071
ˈɛ	j_ˈoː	0.071
v	-	0.071
ɐ	ˈiː_r	0.065
