Fuzhounese	Fuzhounese	probability
⁵	⁴	1.0
ʦʰ_j	ʨʰ	1.0
ʦʰ	ʦʰ	1.0
ʦ	ʦ	1.0
ɥ_ʔ	k̚	1.0
ɥ_ŋ	ŋ	1.0
ɥ	-	1.0
ɛ_j	i	1.0
ɔ_ɥ	a	1.0
ŋ_⁵³	⁵⁵	1.0
³³	⁵²	1.0
²⁴	²	1.0
²¹³	²¹³	1.0
y	-	1.0
w_ɔ	o	1.0
w_ŋ	ŋ	1.0
w_a	w_e	1.0
tʰ	tʰ	1.0
s_w	ʦ_j	1.0
s	s	1.0
pʰ	pʰ	1.0
p	p	1.0
kʰ	kʰ	1.0
j_ʔ	k̚	1.0
j_ɛ	j	1.0
j_e	i	1.0
j_a	ĩ	1.0
i_ŋ	i_m	1.0
h	h	1.0
e_w	e	1.0
a_w	a_w	1.0
<#_ʦ	<#	1.0
<#_ŋ	<#_ɡ	1.0
<#_w	<#_w	1.0
⁵³	⁵⁵	0.973
⁵⁵	³³	0.972
k	k	0.889
t	t	0.857
ɔ	-	0.8
ø	a	0.778
l̃	l	0.714
ŋ	ŋ	0.645
ʔ	ʔ	0.625
ɑ	a	0.615
i	i	0.6
a_ŋ	a_m	0.6
o_ŋ	ŋ	0.556
m	m	0.556
ɛ	-	0.5
²⁴²	¹¹	0.5
²⁴²	³⁵	0.5
w	w	0.5
o_w	ɯ	0.5
o_w	u	0.5
j	j	0.5
e	w	0.5
e	-	0.5
a	e	0.5
u	u	0.462
o_ŋ	a_ŋ	0.444
o	o	0.444
m	b	0.444
a_ŋ	ẽ	0.4
u	w	0.385
ʔ	k̚	0.333
nˡ	ʣ	0.333
nˡ	n	0.333
nˡ	l	0.333
l̃	n	0.286
a	a	0.286
ɛ	j	0.25
ɛ	i	0.25
ɑ	-	0.231
ø	-	0.222
o	e	0.222
o	a	0.222
a	ũ	0.214
ɔ	õ	0.2
w	u	0.2
j	e	0.2
j	-	0.2
i	a_j	0.2
i	-	0.2
ŋ	ã	0.194
ɑ	e	0.154
u	-	0.154
t	-	0.143
w	-	0.133
o	-	0.111
k	-	0.111
w	o	0.1
j	ĩ	0.1
ŋ	-	0.097
w	ɯ	0.067
ŋ	a_ŋ	0.065
