Icelandic	East Low German	probability
aːu̯	ae̯	1.0
cʰ	kʰ	1.0
f	f	1.0
i	n	1.0
l̥	l	1.0
pʰ	pʰ	1.0
rː̥	ˈɔʏ̯	1.0
sː	s	1.0
ç	h	1.0
ɑu̯	ɪ	1.0
ɲ	ŋ	1.0
ʏ	-	1.0
ʰc	k	1.0
ʰp	p	1.0
ˈɑu̯	ˈa	1.0
ˈɛi̯	ˈae̯	1.0
r	-	0.221
r	r	0.451
x	ç	0.671
ɟ̊ː	ç	0.671
ɡ̊	ç	0.1
ˈa	ˈoː	0.061
ˈai̯	ˈɔʏ̯	0.181
ˈiː	ˈœː	0.051
ˈoːu̯	ˈaɪ̯	0.051
ˈoːu̯	ˈaʊ̯	0.351
ˈu	ˈyː	0.051
ˈu	ˈʊ	0.871
ˈuː	-	0.291
ˈœ	ˈɪ	0.061
ˈœː	ˈɔ	0.111
ˈɔː	ˈɒː	0.521
ˈɛː	ˈaɪ̯	0.081
ˈɛːi̯	ˈɛ	0.291
ˈɪ	ˈuː	0.081
ˈɪ	ˈɪ	0.531
ˈɪː	ˈae̯	0.281
θ	d	0.971
c	ç	0.082
c	k	0.42
j	ˈiː	0.052
m	m	0.912
n	-	0.092
s	ʃ	0.372
ð	t	0.432
ɟ̊	-	0.202
ɡ̊	ɡ	0.252
ɡ̊ː	ç	0.252
ɡ̊ː	ɡ	0.252
ˈa	ˈɪ	0.062
ˈau̯	ˈɛ	0.182
ˈau̯	ˈa	0.182
ˈaː	ˈɛ	0.092
ˈaː	ˈɒː	0.112
ˈaːi̯	ˈa	0.102
ˈi	ˈɪ	0.832
ˈiː	ˈae̯	0.072
ˈɑːu̯	ˈoː	0.312
ˈɔ	ˈoː	0.102
ˈʏː	ˈɔ	0.582
b̥	-	0.053
h	h	0.943
n̥	kʰ_n	0.173
s	z	0.413
t	t	0.73
tʰ	tʰ	0.963
ð	d	0.183
ɡ̊	k	0.113
ʰt	ç	0.13
ˈa	ˈa	0.423
ˈau̯	ˈɒː	0.143
ˈaːi̯	ˈɔʏ̯	0.53
ˈaːu̯	ˈeː	0.323
ˈaːu̯	ˈɒː	0.543
ˈiː	ˈyː	0.103
ˈiː	ˈaʊ̯	0.103
ˈiː	ˈiː	0.463
ˈou̯	ˈøː	0.163
ˈœː	ˈœ	0.063
ˈœː	ˈae̯	0.183
ˈœːy̯	ˈaʊ̯	0.813
ˈɔ	ˈuː	0.643
ˈɛ	ˈa	0.063
ˈɛː	ˈɪ	0.083
ˈɪ	ˈʏ	0.173
ˈʏ	v_ˈʊ	0.103
ˈʏ	ˈʊ	0.353
d̥	d	0.824
k	k	0.764
r̥	æ	0.114
v	v	0.544
ɡ̊	j	0.084
ɡ̊	-	0.394
ɣ	x	0.514
ɪ	-	0.064
ʰk	k	0.444
ʰt	x	0.204
ˈau̯	ˈʏ	0.494
ˈaːi̯	ˈaʊ̯	0.064
ˈaːi̯	ˈɛ	0.304
ˈaːu̯	ˈaʊ̯	0.134
ˈeːi̯	ˈɔʏ̯	0.374
ˈɑːu̯	ˈeː	0.074
ˈɑːu̯	ˈɒː	0.254
ˈɔu̯	ˈa	0.374
ˈɪː	ˈɛː	0.144
j	-	0.625
kʰ	-	0.245
l	l	0.975
nː	n	0.955
p	m	0.145
p	p	0.855
r̥	-	0.835
u	ɪ	0.5
u	-	0.5
v	-	0.075
v	b	0.115
ð	-	0.125
