Icelandic	East Low German	probability
a	-	0.564
a	n	0.312
a	m	0.064
a	ŋ	0.045
b̥	b	0.959
b̥	-	0.047
c	ç	0.66
c	k	0.158
cʰ	kʰ	1.0
d̥	d	0.95
d̥	-	0.053
d̥_ʏ	d	0.776
d̥_ʏ	t	0.12
f	f	1.0
h	h	1.0
i	n	0.24
j	-	0.594
j	ˈiː	0.143
j	ˈɔ	0.07
j	ˈae̯	0.068
j	ˈɪ	0.059
j_a	n	1.0
j_ˈoːu̯	ˈae̯	1.0
j_ˈuː	ˈae̯	1.0
k	k	0.776
k	-	0.22
kʰ	kʰ	0.501
kʰ	-	0.402
kʰ	f	0.077
l	l	0.969
l	-	0.041
l_ʏ	l	1.0
l̥	l	1.0
m	m	0.983
m	-	0.035
m_ʏ	m	1.0
n	n	0.912
n	-	0.059
n	t	0.036
nː	n	0.835
nː	l	0.16
n̥	n	0.397
n̥	-	0.323
n̥	m	0.226
p	p	0.582
p	-	0.407
p_ʏ	p	1.0
r	r	0.531
r	æ	0.305
r	-	0.095
r	s	0.038
r	ɾ	0.038
r_a	æ	1.0
rː̥	ç	0.49
r̥	-	0.842
r̥	æ	0.106
r̥	ç	0.031
s	z	0.35
s	s	0.345
s	ʃ	0.255
s	ç	0.035
s	-	0.031
s_c	ʃ	1.0
s_j	z	0.49
s_k	ʃ	1.0
sː	s	0.49
t	-	0.551
t	t	0.447
t_ʏ	t	1.0
tʰ	tʰ	1.0
u	-	0.5
u	ɪ	0.5
v	v	0.59
v	-	0.155
v	w	0.106
v	b	0.07
v	s	0.061
v_ʏ	f	1.0
x	k	0.66
x	-	0.158
ç	h	1.0
ð	t	0.53
ð	ɾ	0.227
ð	-	0.146
ð	d	0.075
ð_ʏ	d	0.415
ð_ʏ	t	0.315
ð_ʏ	ɾ	0.192
ŋ	ŋ	0.708
ŋ	-	0.178
ŋ	ɪ	0.087
ɑu̯	ɪ	1.0
ɛ	m	0.66
ɛ	-	0.158
ɟ̊	ɡ	0.359
ɟ̊	-	0.245
ɟ̊	j	0.172
ɟ̊	ç	0.091
ɡ̊	-	0.464
ɡ̊	ɡ	0.278
ɡ̊	j	0.069
ɡ̊	ç	0.052
ɡ̊	k	0.052
ɡ̊_ʏ	k	0.683
ɡ̊_ʏ	ç	0.221
ɣ	ç	0.661
ɣ	x	0.315
ɪ	-	0.771
ɪ	æ	0.175
ɪ_r̥	æ	1.0
ɲ	ŋ	0.49
ʏ	-	0.97
ʏ	ɪ	0.039
ʏ_r̥	æ	1.0
ʰk	k	0.53
ʰk	ŋ_k	0.461
ʰp	p	0.49
ʰt	x	0.533
ʰt	ç	0.221
ʰt	t	0.221
ˈa	ˈa	0.574
ˈa	ˈaʊ̯	0.146
ˈa	ˈɒː	0.099
ˈa	ˈɔ	0.096
ˈa	ˈɪ	0.059
ˈa_r	ˈaː	0.683
ˈa_r	æ	0.221
ˈa_r̥	ˈaː	1.0
ˈai̯	ˈʏ	0.74
ˈai̯	ˈɔʏ̯	0.135
ˈaː	ˈa	0.647
ˈaː	ˈaː	0.129
