Old West Norse	Swabian	probability
θ	d	1.0
ˈɛi̯	ˈɔe̯	1.0
ˈɔː	ˈɔə̯	1.0
ˈɒu̯	ˈoː	1.0
ˈøy̯	-	1.0
ˈuː	ˈao̯	1.0
ˈeː_r̥	ˈi_ʌ	1.0
ˈa	ˈa	1.0
ʦ	d	1.0
ʝː	ɡ	1.0
ɾ	ʌ	1.0
ɣ	ɡ	1.0
ɡː	ɡ	1.0
ɡ_r̥	ʌ	1.0
ɡ	ɡ	1.0
ɟː	ɡ	1.0
ɟ	ɡ	1.0
ɑː	eə̯	1.0
ŋ_ɡ	ŋ	1.0
ŋ_ɟ	ŋ	1.0
ŋ	ŋ	1.0
ç	h	1.0
x_w	ʋ	1.0
u_ŋ	i	1.0
u	-	1.0
tʰ	ʦ	1.0
t_ɑ	s_a	1.0
sː	s	1.0
s_t	ʃ_d	1.0
s_k	ʃ	1.0
s_c	ʃ	1.0
r̥ː	ʌ	1.0
r̥	ʌ	1.0
r_t	ʕ_ʦ	1.0
r_i	ʌ	1.0
pː	ˈu_f	1.0
pʰ	b̥͡f	1.0
p	f	1.0
n̥	n	1.0
nː	n	1.0
mː	m	1.0
m	m	1.0
l̥	l	1.0
l	l	1.0
kʰ	kʰ	1.0
k	ç	1.0
j_ˈɔ	ˈɛː	1.0
j_ˈɑ	ˈɛ	1.0
j_ˈuː	ˈiə̯	1.0
j_ɑ	a	1.0
i_r̥	ʌ	1.0
i_r	ʌ	1.0
i	-	1.0
h	h	1.0
f	f	1.0
d	d	1.0
cː	ɡ	1.0
cʰ	kʰ	1.0
c	n_ʃ	1.0
b	b	1.0
t	s	0.869
ɑ	a	0.846
ˈu	ˈo	0.807
ð	d	0.787
lː	l	0.783
n	n	0.773
ˈɑ	ˈa	0.76
a	a	0.714
ˈɛ	ˈɛ	0.713
j	-	0.667
ˈɔ	-	0.638
kː	ɡ	0.61
ˈiː	ˈəi̯	0.602
v_r̥	b_ʌ	0.578
ˈɛː	-	0.56
ˈɑu̯	ˈao̯	0.55
ˈøː	-	0.545
s	s	0.541
tː	x_d	0.507
ˈyː	ˈəi̯	0.501
ˈyː	-	0.499
r	ʕ	0.499
tː	ʦ	0.493
v	ʋ	0.489
ˈoː	-	0.477
ˈɑu̯	ˈoː	0.45
ˈɛː	ˈae̯	0.44
v_r̥	b	0.422
r	ʁ	0.416
ˈiː	ˈae̯	0.398
kː	ŋ_ɡ	0.39
ˈo	ˈo	0.385
ˈe	ˈɛ	0.366
s	ʃ	0.34
ˈy	-	0.337
j	a	0.333
ˈy	ˈi	0.329
ˈɑː	-	0.318
ˈoː	ˈuə̯	0.313
ˈɑː	ˈɔː	0.294
ˈɛ	ˈa	0.287
a	-	0.286
ˈi	ˈi	0.272
ˈe	-	0.268
ˈi	ˈe	0.254
ˈøː	ˈuə̯	0.227
ˈøː	ˈiə̯	0.227
ˈɔ	ˈaː	0.22
lː	l_e	0.217
v	f	0.213
v	b	0.21
ˈo	-	0.209
ˈo	ˈoː	0.207
ˈo	ˈu	0.199
ˈu	-	0.193
ˈy	ˈu	0.18
ˈi	-	0.175
ˈi	ˈɛ	0.169
ˈe	ˈeː	0.164
ˈy	ˈɔ	0.154
ɑ	-	0.154
ˈɑː	ˈeː	0.149
ˈɔ	ˈa	0.143
ˈɑ	ˈɛ	0.135
t	ʦ	0.131
ˈi	ˈɪ	0.13
ˈoː	ˈu	0.128
ˈɑː	ˈa	0.124
s	ˈɪ	0.119
ˈɑː	ˈaː	0.115
ð	t	0.11
ˈɑ	ˈaː	0.105
n	a	0.105
ð	-	0.103
ˈe	ˈɛː	0.101
ˈe	ˈe	0.101
n	-	0.09
v	-	0.089
r	ʌ	0.084
ˈoː	ˈuː	0.081
