Afrikaans	Gothic	probability
b	b	1.0
d	d	0.48
d	θ	0.459
d	ð	0.06
f	f	0.653
f	i_f	0.094
f	β	0.094
f	f_s	0.071
f	b	0.062
j	j	1.0
k	k	0.91
k	ɡ	0.089
l	l	0.639
l	h_l	0.339
m	m	0.724
m	m_s	0.261
n	n	0.815
n	n_s	0.099
n	nː	0.05
n	-	0.034
p	p	1.0
r	r	0.867
r	-	0.07
r	n	0.041
r	z	0.035
r_ə	r	1.0
s	s	0.887
s	k_s	0.061
s	s_k	0.044
s	i_s	0.037
t	t	0.546
t	θ	0.116
t	d_s	0.088
t	-	0.075
t	θ_s	0.044
v	w	0.81
v	ʍ	0.127
v	β	0.062
w	w	1.0
ŋ	ŋ	0.641
ŋ	n	0.194
ŋ	h	0.147
ə	a	0.369
ə	-	0.236
ə	u	0.088
ə	e	0.082
ə	ˈi	0.082
ə_r	r	0.132
ɦ	h	1.0
ɫ	l	0.654
ɫ	l_s	0.155
ɫ	lː_s	0.115
ɫ	lː	0.066
ˈa	ˈa	0.916
ˈa	ˈɛ	0.054
ˈa	ˈu	0.047
ˈi	ˈiu̯	0.349
ˈi	ˈɛ	0.177
ˈi	ˈi	0.102
ˈi	ˈiː	0.102
ˈi	ˈɛː	0.102
ˈoːi̯	ˈɔ	0.509
ˈu	ˈoː	1.0
ˈuː	ˈoː	1.0
ˈyː	ˈoː	1.0
ˈæ	ˈa	0.574
ˈæ	ˈi	0.292
ˈæː	ˈɛ	1.0
ˈœ	ˈɔ	0.574
ˈœ	w	0.292
ˈœu̯	ˈa_l	0.699
ˈœu̯	l	0.188
ˈœu̯	oː	0.051
ˈœɪ̯	ˈuː	0.715
ˈœɪ̯	ˈiu̯	0.137
ˈœɪ̯	ˈu	0.051
ˈɑː	ˈa	0.474
ˈɑː	ˈeː	0.404
ˈɑː	ˈɛ	0.115
ˈɔ	ˈu	0.746
ˈɔ	ˈoː	0.114
ˈɔ	ˈɔː	0.092
ˈɔ	ˈuː	0.054
ˈɔː	ˈa	0.443
ˈɔː	-	0.115
ˈə	ˈi	0.875
ˈə	ˈiː	0.121
ˈəɪ̯	ˈiː	0.509
ˈəɪ̯	ˈɛː	0.279
ˈəɪ̯	ˈi	0.195
ˈɛ	ˈi	0.437
ˈɛ	ˈɛ	0.219
ˈɛ	ˈa	0.147
ˈɛ	ˈɛː	0.147
ˈɛː	ˈa	0.509
ˈɪ	ˈɛː	1.0
ˈɪø̯	ˈu	0.259
ˈɪə̯	ˈi	0.372
ˈɪə̯	ˈɛː	0.372
ˈɪə̯	ˈɛ	0.095
ˈɪə̯	ˈiu̯	0.074
ˈɪə̯	ˈa	0.07
ˈʊə̯	ˈɔː	0.438
ˈʊə̯	ˈɔ	0.389
ˈʊə̯	ˈu	0.129
ˈʊə̯	ˈa	0.048
χ	ɡ	0.423
χ	h	0.31
χ	ɣ	0.118
χ	x_s	0.09
χ	-	0.051
