Afrikaans	Gothic	probability
b	b	0.963
d	d	0.549
d	θ	0.437
f	f	0.714
f	f_s	0.092
f	i_f	0.054
j	j	1.0
k	k	0.897
k	ɡ	0.06
m	m	0.68
m	m_s	0.173
m	m_a	0.109
n	n	0.784
n	n_s	0.095
n	nː	0.075
p	p	1.0
r	r	0.86
r	-	0.064
s	s	0.837
s	z	0.086
t	t	0.511
t	θ	0.138
t	-	0.087
t	d_s	0.079
v	w	0.748
v	ʍ	0.205
w	w	1.0
ŋ	ŋ	0.859
ŋ	h	0.141
ə	-	0.439
ə	a	0.368
ə	u	0.07
ə	i	0.064
ɦ	h	1.0
ɫ	l	0.72
ɫ	i_l	0.106
ɫ	lː	0.102
ɫ	l_s	0.071
ˈa	ˈa	0.849
ˈa	ˈɛ	0.081
ˈa	ˈu	0.069
ˈi	ˈiu̯	0.313
ˈi	ˈɛ	0.267
ˈi	ˈeː	0.133
ˈi	ˈi	0.133
ˈi	j	0.065
ˈi	ˈɛː	0.055
ˈoːi̯	ˈɔ	1.0
ˈu	ˈoː	1.0
ˈuː	ˈoː	1.0
ˈyː	ˈoː	1.0
ˈæ	ˈi	1.0
ˈæː	ˈɛ	0.602
ˈæː	ˈa	0.398
ˈœ	w	0.594
ˈœ	ˈɔ	0.406
ˈœu̯	ˈa_l	0.575
ˈœu̯	l	0.334
ˈœu̯	oː	0.091
ˈœɪ̯	ˈuː	0.48
ˈœɪ̯	ˈiu̯	0.345
ˈœɪ̯	ˈu	0.176
ˈɑː	ˈeː	0.528
ˈɑː	ˈa	0.364
ˈɑː	ˈɛ	0.108
ˈɔ	ˈu	0.695
ˈɔ	ˈi	0.107
ˈɔ	ˈoː	0.082
ˈɔ	ˈuː	0.061
ˈɔː	ˈa	0.607
ˈɔː	-	0.393
ˈə	ˈi	0.771
ˈə	ˈiː	0.129
ˈə	ˈɔː	0.1
ˈəɪ̯	ˈiː	0.475
ˈəɪ̯	ˈɛː	0.32
ˈəɪ̯	ˈi	0.143
ˈəɪ̯	ˈuː	0.062
ˈɛ	ˈa	0.41
ˈɛ	ˈi	0.331
ˈɛ	ˈɛː	0.16
ˈɛ	ˈɛ	0.099
ˈɛː	ˈa	1.0
ˈɪ	ˈɛː	0.714
ˈɪ	ˈi	0.286
ˈɪø̯	ˈu	1.0
ˈɪə̯	ˈi	0.379
ˈɪə̯	ˈɛː	0.253
ˈɪə̯	ˈɛ	0.247
ˈɪə̯	ˈiu̯	0.071
ˈɪə̯	ˈa	0.05
ˈʊə̯	ˈɔ	0.384
ˈʊə̯	ˈɔː	0.311
ˈʊə̯	ˈɔː_s	0.101
ˈʊə̯	ˈu	0.083
ˈʊə̯	ˈiu̯	0.071
χ	h	0.331
χ	ɡ	0.321
χ	x	0.187
χ	ɣ	0.069
χ	ɡ_s	0.065
