Alsatian	American English	probability
b̥	b	0.906
b̥	f	0.047
b̥	v	0.047
b̥	tʰ	0.033
d̥	d	0.621
d̥	θ	0.152
d̥	ð	0.146
d̥	-	0.057
e	-	0.49
f	f	0.784
f	p	0.122
f	v	0.09
f_ə	p	1.0
h	h	1.0
i	i	0.361
i	ŋ	0.176
i	-	0.131
i	n	0.124
i	oʊ̯	0.119
j	j	0.418
j	ˈeɪ̯	0.418
j	-	0.135
k	k	0.464
k	ʤ	0.404
k	-	0.089
kʰ	kʰ	0.606
kʰ	ʧ	0.29
kʰ	-	0.075
l	ɫ	0.557
l	l	0.406
l	-	0.032
l	θ	0.031
m	m	0.904
m	-	0.083
m_ə	m	1.0
n	n	0.728
n	-	0.225
n	v	0.029
n	ɫ	0.028
p	p	1.0
p͡f	p	0.209
p͡f	d	0.209
s	s	0.635
s	t	0.224
s	z	0.085
s	ɾ	0.05
s_ə	t	1.0
t	d	0.565
t	t	0.186
t	-	0.121
t	ð	0.099
t	θ	0.035
v	-	0.594
v	v	0.392
w	w	0.667
w	-	0.333
x	t	0.496
x	ʧ	0.194
x	f	0.194
x	-	0.085
ŋ	ŋ	0.752
ŋ	ŋ_ɡ	0.182
ə	-	0.874
ə	ə	0.08
ə	ˈaɪ̯	0.051
ə_ʁ	ɚ	1.0
ɡ̊	ɡ	0.699
ɡ̊	-	0.178
ɡ̊	j	0.097
ʁ	ɹ	0.708
ʁ	-	0.282
ʁ	ʧ	0.03
ʁ_ə	ɚ	0.49
ʃ	s	0.514
ʃ	ʃ	0.241
ʃ	k	0.151
ʃ	-	0.05
ʃ	d	0.043
ʃ_t	t	1.0
ʋ	w	0.858
ʋ	-	0.141
ʦ	tʰ	0.569
ʦ	t	0.428
ˈai̯	ˈi	0.49
ˈaː	ˈeɪ̯	1.0
ˈe	ˈɪ	0.488
ˈe	ˈɛ	0.361
ˈe	ˈɑ	0.114
ˈei̯	ˈi	0.644
ˈei̯	ˈu	0.341
ˈeː	ˈi	0.525
ˈeː	ˈoʊ̯	0.312
ˈeː	ˈɛ	0.126
ˈi	ˈɪ	0.663
ˈi	ˈaɪ̯	0.146
ˈi	ˈɛ	0.141
ˈi	ˈaʊ̯	0.04
ˈiː	ˈaɪ̯	0.574
ˈiː	ˈi	0.237
ˈiː	ˈɔ	0.079
ˈiː	ˈɪ	0.061
ˈiː	ˈɝ	0.033
ˈo	ˈʊ	0.33
ˈo	ˈʌ	0.208
ˈo	ˈɔ	0.161
ˈo	ˈɝ	0.084
ˈo	ˈɑ	0.065
ˈoː	ˈi	0.381
ˈoː	ˈɛ	0.258
ˈoː	ˈɑ	0.088
ˈoː	ˈu	0.088
ˈoː	ˈʌ	0.072
ˈu	ˈʌ	0.471
ˈu	ˈɪ	0.173
ˈu	ˈɛ	0.114
ˈu	-	0.064
ˈu	ˈɑ	0.064
ˈyː	ˈaʊ̯	0.768
ˈyː	ˈaɪ̯	0.173
ˈæ	-	0.322
ˈæ	ˈi	0.322
ˈæ	ˈæ	0.181
ˈæ	ˈɪ	0.067
ˈæː	ˈi	0.403
ˈæː	ˈɛ	0.246
ˈæː	-	0.232
ˈø	ˈaʊ̯	0.24
ˈøi̯	ˈaʊ̯	0.49
ˈøː	ˈʌ	0.5
ˈøː	ˈu	0.5
ˈœ	ˈaɪ̯	1.0
ˈɒ	ˈæ	0.318
ˈɒ	ˈɑ	0.19
ˈɒ	ˈeɪ̯	0.174
ˈɒ	ˈoʊ̯	0.085
ˈɒ	ˈʌ	0.085
ˈɒː	ˈæ	0.189
ˈɒː	ˈeɪ̯	0.175
ˈɒː	ˈi	0.143
ˈɒː	ˈoʊ̯	0.104
ˈɒː	ˈɔ	0.101
ˈəi̯	ˈoʊ̯	0.612
ˈəi̯	ˈu	0.151
ˈəi̯	ˈɛ	0.102
ˈəi̯	ˈɑ	0.102
ˈɛ	ˈɛ	1.0
ˈʊː	ˈi	0.321
ˈʊː	ˈʊ	0.303
ˈʊː	ˈʌ	0.191
ˈʊː	ˈu	0.085
ˈʊː	ˈaʊ̯	0.079
