Alsatian	American English	probability
b̥	b	0.917
b̥	v	0.067
d̥	d	0.541
d̥	θ	0.312
d̥	ð	0.105
e	-	1.0
eː	i	1.0
f	f	0.646
f	p	0.231
f	v	0.107
h	h	1.0
i	-	0.281
i	i	0.26
i	ŋ	0.245
i	n	0.189
j	j	0.432
j	ˈeɪ̯	0.405
j	-	0.163
k	ʤ	0.488
k	k	0.332
k	ʧ	0.111
k	-	0.068
kʰ	ʧ	0.497
kʰ	kʰ	0.459
l	ɫ	0.59
l	l	0.387
m	m	0.931
m	-	0.069
n	n	0.792
n	-	0.163
p	p	1.0
p͡f	d	0.5
p͡f	p	0.5
s	s	0.543
s	t	0.319
s	z	0.106
t	d	0.727
t	ð	0.112
t	t	0.091
t	θ	0.07
v	-	0.569
v	v	0.431
w	-	0.649
w	w	0.351
x	t	0.488
x	ʧ	0.23
x	k	0.12
x	f	0.103
x	-	0.059
ŋ	ŋ	1.0
ə	ɚ	0.46
ə	-	0.364
ə	ə	0.13
ɡ̊	ɡ	0.751
ɡ̊	-	0.181
ɡ̊	j	0.068
ʁ	ɹ	0.616
ʁ	-	0.348
ʃ	s	0.418
ʃ	ʃ	0.389
ʃ	d	0.1
ʃ	k	0.093
ʋ	w	0.947
ʋ	-	0.053
ʦ	tʰ	0.641
ʦ	t	0.259
ʦ	tː	0.099
ˈai̯	ˈi	1.0
ˈaː	ˈeɪ̯	1.0
ˈe	ˈɛ	0.357
ˈe	ˈɪ	0.306
ˈe	ˈɔ	0.279
ˈe	ˈɑ	0.058
ˈei̯	ˈi	0.672
ˈei̯	ˈu	0.328
ˈeː	ˈi	0.524
ˈeː	ˈoʊ̯	0.286
ˈeː	ˈɛ	0.159
ˈi	ˈɪ	0.6
ˈi	ˈaɪ̯	0.265
ˈi	ˈɛ	0.088
ˈiː	ˈaɪ̯	0.483
ˈiː	ˈi	0.208
ˈiː	ˈɔ	0.104
ˈiː	ˈɝ	0.104
ˈiː	ˈu	0.058
ˈo	ˈɔ	0.4
ˈo	ˈʊ	0.21
ˈo	ˈʌ	0.172
ˈo	ˈɝ	0.09
ˈo	ˈɛ	0.065
ˈo	ˈɑ	0.063
ˈoː	ˈi	0.342
ˈoː	ˈʌ	0.248
ˈoː	ˈɛ	0.195
ˈoː	ˈu	0.124
ˈu	ˈʌ	0.673
ˈu	ˈɪ	0.087
ˈu	ˈaʊ̯	0.081
ˈyː	ˈaʊ̯	0.749
ˈyː	ˈaɪ̯	0.188
ˈyː	ˈʌ	0.063
ˈæ	-	0.496
ˈæ	ˈi	0.269
ˈæ	ˈɛ	0.135
ˈæ	ˈɪ	0.052
ˈæː	ˈi	0.541
ˈæː	ˈɛ	0.314
ˈæː	-	0.145
ˈø	ˈaʊ̯	1.0
ˈøi̯	ˈaʊ̯	1.0
ˈøː	ˈʌ	0.896
ˈøː	ˈu	0.104
ˈœ	ˈaɪ̯	1.0
ˈɒ	ˈæ	0.387
ˈɒ	ˈeɪ̯	0.148
ˈɒ	ˈɑ	0.144
ˈɒ	ˈu	0.082
ˈɒ	ˈʌ	0.069
ˈɒ	ˈɔ	0.063
ˈɒ	ˈoʊ̯	0.062
ˈɒː	ˈɔ	0.267
ˈɒː	ˈeɪ̯	0.172
ˈɒː	ˈu	0.158
ˈɒː	ˈaɪ̯	0.127
ˈɒː	ˈæ	0.118
ˈɒː	ˈoʊ̯	0.058
ˈɒː	ˈɑ	0.056
ˈɔi̯	w	1.0
ˈəi̯	ˈoʊ̯	0.791
ˈəi̯	ˈɛ	0.092
ˈəi̯	ˈɑ	0.062
ˈəi̯	ˈu	0.056
ˈɛ	ˈɛ	1.0
ˈʊː	ˈi	0.503
ˈʊː	ˈu	0.155
ˈʊː	ˈʌ	0.145
ˈʊː	ˈʊ	0.121
ˈʊː	ˈaʊ̯	0.076
