Zeelandic	Zeelandic	probability
ˈʏ_ɾ	ˈuːə̯	1.0
ˈɑu̯	ˈɔ_l	1.0
ˈæi̯	ˈeː	1.0
ˈoː	ˈyːœ̯	1.0
ˈiːə̯	ˈaɪ̯	1.0
ɾ_ə	ɐ	1.0
ɫ	l	1.0
ɪ	ɪ	1.0
ə_ɾ	ɐ	1.0
ə_v̥	ʋ	1.0
ə_#>	#>	1.0
ŋ	ŋ	1.0
z̥	z̥	1.0
z_ə	z	1.0
x_ə	ɡ	1.0
x_#>	ç_#>	1.0
w	-	1.0
v̥_#>	#>	1.0
v_ə	v	1.0
t_#>	#>	1.0
t	t	1.0
s_x	ʃ	1.0
s_#>	ʃ_k_#>	1.0
p	p	1.0
n_ə	n_n	1.0
n_d	n	1.0
m	m	1.0
l	l	1.0
k_ə	k	1.0
k_#>	#>	1.0
k	k	1.0
iː	aɪ̯	1.0
i	ɪ	1.0
d̥	d̥	1.0
d	d	1.0
b	b	1.0
<#_ˈɔ	<#_ˈʊ	1.0
<#_ɾ	<#_r	1.0
<#_n	<#_n	1.0
<#	<#_h	1.0
#>	n_#>	1.0
n	n	0.947
ˈɪ	ˈɪ	0.875
v	f	0.864
ˈɑ	ˈa	0.826
ʋ	v	0.762
z	s	0.75
v̥	v	0.75
x	x	0.692
ˈɪə̯	ˈeː	0.667
ˈøː	-	0.667
s	ʃ	0.667
ˈɛː	ˈɔː	0.6
ˈu	ˈʊ	0.6
ˈi	ˈiː	0.6
ˈʊə̯	ˈaʊ̯	0.588
ˈyː	ˈuː	0.583
ˈeː	ˈɪɛ̯	0.571
ə	n	0.537
ˈiː	ˈaɪ̯	0.529
ˈɒː	ˈa	0.5
ˈɒː	-	0.5
ˈæ	ˈɛ	0.5
ˈuː	ˈøː	0.5
ˈuː	ˈoː	0.5
j	j	0.5
j	-	0.5
ˈeː	ˈɪə̯	0.429
ˈʊə̯	-	0.412
ˈʏ	ˈʏ	0.4
ˈʏ	ˈʊ	0.4
ˈu	-	0.4
ˈi	ˈɪ	0.4
ɾ	ɐ	0.378
ɾ	r	0.378
ˈɔ	ˈʊ	0.357
ˈɪə̯	-	0.333
ˈøː	ˈuə̯	0.333
s	s	0.333
ˈæ	-	0.286
ˈyː	ˈʊ	0.25
v̥	v̥	0.25
ə	ə	0.244
ʋ	ʋ	0.238
ˈɔ	ˈuːə̯	0.214
ˈæ	ˈɪɛ̯	0.214
ˈʏ	ˈyə̯	0.2
ˈɛː	-	0.2
ɾ	-	0.189
ˈiː	ˈyː	0.176
ˈiː	ˈiː	0.176
ˈyː	ˈiː	0.167
x	ɡ	0.154
ˈɛː	ˈaː	0.15
z	z	0.15
ˈɔ	ˈɔ	0.143
ˈɔ	r	0.143
ˈɔ	-	0.143
v	v	0.136
ˈɪ	-	0.125
ˈiː	-	0.118
z	-	0.1
ə	-	0.098
ˈɑ	ˈɛ	0.087
ˈɑ	-	0.087
x	ɣ	0.077
x	ç	0.077
ə	ɐ	0.073
ɾ	ˈɛː	0.054
n	-	0.053
