English	Insular North Frisian	probability
ˈɪ_ə	ˈua̯	1.0
ˈɛ_ə	ɐ	1.0
ˈɛ	-	1.0
ˈɒ	-	1.0
ʧ	k	1.0
ʤ	ç	1.0
ɫ_d	lʲ	1.0
ɡ_ə	ɐ	1.0
ɡ	ɡ	1.0
ɜː	r_ˈœ	1.0
əʊ̯	ɪ_ç	1.0
ŋ	ŋ	1.0
ð	ð	1.0
z	s	1.0
v	v	1.0
tʰ	tʰ	1.0
t_ə	d_ɐ	1.0
s_l	s_l	1.0
s	s	1.0
pʰ	pʰ	1.0
p	p	1.0
n_d	nʲ	1.0
n	n	1.0
m_ˈɐ	m	1.0
l	l	1.0
kʰ	kʰ	1.0
h	h	1.0
f	f	1.0
d_ə	ɐ	1.0
b	b	1.0
ɹ	r	0.917
w	v	0.906
t	t	0.892
m	m	0.892
ʃ	s_k	0.839
k	k	0.823
ˈaʊ̯	ˈʏ	0.773
ˈuː	-	0.746
ə	ɐ	0.683
θ	tʰ	0.675
ˈʊ	ˈʊ	0.6
ɫ	l	0.563
ˈɔː	ˈuː_ɐ	0.556
ˈaɪ̯	ˈə	0.547
ɪ	-	0.545
j	-	0.511
ˈɜː	ʁ̥	0.506
ˈɜː	-	0.494
j	j	0.489
ɪ	ɪ_ç	0.455
ˈɔː	-	0.444
ˈʊ	ˈɔ	0.4
ˈəʊ̯	ˈiː	0.377
d	ɾ	0.376
d	d	0.349
ˈɐ	ˈʊ	0.347
ˈɑː	ˈɔː	0.33
ə	-	0.317
ˈɪ	ˈɛ	0.307
ˈɐ	ˈœ	0.305
ˈɪ	ˈə	0.283
ˈuː	ˈuː	0.254
ˈəʊ̯	-	0.252
ˈeɪ̯	ˈɔː	0.252
ˈe	ˈɛ	0.251
ˈæ	-	0.25
ˈiː	ˈeː	0.244
θ	ɾ	0.24
ˈaʊ̯	ˈyː	0.227
ˈiː	ˈɛ	0.213
ˈæ	ˈɔː	0.206
ˈɑː	-	0.201
ˈæ	ˈʊ	0.196
ˈæ	ˈœ	0.196
ˈɐ	ˈʏ	0.193
ˈeɪ̯	ˈaɪ̯	0.189
ˈeɪ̯	-	0.189
ˈaɪ̯	ˈiː	0.188
ˈiː	ˈoː	0.186
ˈeɪ̯	ˈoː	0.185
ˈeɪ̯	ˈiː	0.185
ˈe	ˈua̯	0.181
d	-	0.179
ˈe	ˈeː	0.178
ˈe	-	0.178
k	-	0.177
ˈɪ	ˈʊ	0.176
ʃ	ʃ	0.161
ˈɑː	ˈua̯_l	0.156
ˈɑː	ˈa_ʁ̥	0.156
ˈɑː	ˈa	0.156
ˈɐ	-	0.155
ˈæ	ˈa	0.152
ɫ	l_ə	0.136
ˈɪ	ˈœ	0.132
ˈəʊ̯	ˈua̯	0.125
ˈəʊ̯	ˈʊ	0.124
ˈəʊ̯	ˈɛ	0.124
ɫ	ə_l	0.124
ˈiː	ˈiː	0.121
ˈiː	-	0.121
m	r_ə	0.108
ˈe	ˈə	0.106
ˈe	ˈɔː	0.106
ˈaɪ̯	ç	0.098
d	t	0.096
w	-	0.094
ɫ	ˈøː_l	0.088
ɫ	ˈa_l	0.088
θ	tʲ	0.084
ɹ	-	0.083
ˈiː	aɪ̯	0.06
t	d	0.06
ˈaɪ̯	ˈʏ	0.058
ˈaɪ̯	ˈa_x	0.058
ˈiː	ˈə	0.056
ˈɪ	ˈɔ	0.052
ˈɪ	ˈiː	0.052
ˈaɪ̯	ˈoː_ɣ̥	0.051
