Mecklenburgisch-Vorpommersch	Northern Low Saxon	probability
ˈʏ	ˈʏ	1.0
ˈʊ	ˈʊ	1.0
ˈɪ	ˈɪ	1.0
ˈɛɪ̯	ˈɛɪ̯	1.0
ˈɛ_l	l	1.0
ˈɔʏ̯	ˈɔʏ̯	1.0
ˈɒː	ˈoː	1.0
ˈœ	ˈœ	1.0
ˈøː	ˈɔʏ̯	1.0
ˈyː	ˈyː	1.0
ˈoː_æ	ˈɔː	1.0
ˈoː	ˈoː	1.0
ˈeː	-	1.0
ˈaʊ̯	ˈaʊ̯	1.0
ˈaɪ̯	ˈaɪ̯	1.0
ˈa_l	ˈaː	1.0
ˈa	ˈa	1.0
ɣ̊	x	1.0
ɣ	-	1.0
ɡ̊	-	1.0
ɡ	ɡ	1.0
ŋ	ŋ	1.0
ç	ç	1.0
æ	ɐ	1.0
z̥	z̥	1.0
z	z	1.0
x	x	1.0
w	v	1.0
v	v	1.0
tʰ	tʰ	1.0
t_n	d_n	1.0
s	s	1.0
r	r	1.0
pʰ	pʰ	1.0
n_n	n_n	1.0
m	m	1.0
l	l	1.0
kʰ	kʰ	1.0
h	h	1.0
f	f	1.0
d̥	d	1.0
d_n	d_n	1.0
d	d	1.0
b_m	m	1.0
b	b	1.0
ae̯	aɪ̯	1.0
n	n	0.985
k	ɡ	0.932
ʃ	ʃ	0.93
ˈae̯	ˈaɪ̯	0.885
p	b	0.836
v̥	f	0.804
ˈaː	ˈaː	0.759
ˈiː	ˈiː	0.755
ˈɛ	ˈɛ	0.754
ɪ	ɪ	0.75
ɾ	d	0.712
ˈœː	ˈøː	0.699
ˈɛː	ˈeː	0.653
ˈuː	ˈuː	0.623
t	d	0.598
ˈɔ	ˈɔ	0.544
j	ɡ	0.493
ˈuː	ˈaʊ̯	0.377
t	t	0.365
ˈœː	-	0.301
ɾ	l	0.288
j	ʒ	0.26
ɪ	i	0.25
j	j	0.247
ˈɛ	ˈeː	0.246
ˈiː	ˈaɪ̯	0.245
ˈaː	ˈa	0.241
ˈɔ	ˈʊ	0.228
ˈɔ	-	0.228
ˈɛː	-	0.218
v̥	v̥	0.196
p	p	0.164
ˈɛː	ˈɛː	0.129
ʃ	s	0.07
k	k	0.068
ˈae̯	ˈeɪ̯	0.058
ˈae̯	-	0.058
