Franco-Provençal	Neapolitan	probability
a	ə	0.707
a	a	0.206
a	ˈa	0.056
b	b	0.497
b	v	0.497
d	d	0.862
d	ɲ	0.136
e	-	0.626
e	e	0.162
e	i	0.162
eː	a	0.349
eː	ə	0.184
f	f	0.804
f	v_ə	0.114
f	-	0.051
f_l	ʃ	1.0
i	k_ə	0.437
i	ə	0.219
i	i	0.153
i	ɲ	0.153
ĩ	a	0.349
ĩ	ŋ	0.349
j	-	0.425
j	j	0.217
j	ɾ	0.106
j	ɲ	0.073
j	m	0.072
j	t	0.063
j	e	0.058
j_ˈɛ	ˈa	0.529
k	k	0.885
k	ʃ_k	0.111
l	l	0.897
m	m	0.945
m	n_n	0.06
n	n	1.0
o	ə	0.757
o	u	0.152
o	o	0.064
oː	a	0.529
p	p	0.888
p	k	0.111
s	s	0.59
s	ʃ	0.254
s	ʦ	0.099
s_j	ʃ	1.0
t	t	0.637
t	s_t	0.132
t	ʃ	0.097
t	k_k	0.078
t	ʦ	0.052
u	a	0.361
u	u	0.361
u	ˈu	0.219
v	v	0.538
v	p	0.368
v	-	0.089
w	-	0.259
w	w	0.223
w	ˈu	0.215
w	ˈo	0.161
w	t	0.057
w_ˈeː	ˈu	1.0
w_ˈɛ	ˈe	1.0
y	-	1.0
z	ʃ	0.447
z	z	0.245
z	ʤ	0.14
z	s	0.122
ð	-	0.179
ð	t	0.179
ð	t_ɾ	0.179
ð	ʤ	0.179
ð	d	0.103
ð	ɾ	0.103
ð	v	0.069
ɔ	o	0.354
ɔ	u	0.268
ɔ	a	0.177
ɔ	ˈo	0.123
ɔ̃	ə	0.574
ɔ̃	u	0.304
ə	ə	0.75
ə	-	0.117
ə	ʤ_ə	0.063
ɛ	i	0.279
ɛ̃	i	1.0
ɡ	ɡ	0.784
ɡ	ɲ	0.136
ɡ	k	0.072
ɲ	ɲ	0.594
ɲ	ʤ	0.392
ʁ	ɾ	0.356
ʁ	r	0.23
ʁ	-	0.167
ʁ	ɾ_ə	0.11
ʁ	ə_ɾ	0.079
ʃ	k	0.655
ʃ	-	0.128
ʃ	ʃ_ə	0.118
ʃ	ʎ	0.055
ʎ	ʎ	0.339
ʎ	j_ə	0.251
ʎ	-	0.122
ʎ	j	0.122
ʎ	ɲ	0.098
ʎ	k_j	0.064
ʒ	j	0.305
ʒ	ʤ	0.275
ʒ	j_u	0.181
ʒ	d	0.12
ʒ	ɲ	0.096
ʦ	ʦ	0.529
ˈa	ˈa	0.869
ˈa	ˈɔ_k	0.078
ˈe	ə	0.248
ˈe	ˈɔ	0.194
ˈe	i	0.097
ˈe	ˈu	0.097
ˈe	ˈɛ	0.097
ˈe	-	0.081
ˈe	ˈo	0.078
ˈe	ʎ	0.066
ˈe	ˈɔ_k	0.056
ˈeː	ˈe	0.575
ˈeː	ˈi	0.162
ˈeː	e	0.079
ˈeː	ˈɛ	0.079
ˈeː	ˈa	0.066
ˈeː_ʁ	ˈɛ	1.0
ˈi	ˈi	0.668
ˈi	ˈɛ	0.08
ˈi	-	0.072
ˈi	ˈi_s	0.072
ˈi	ˈa	0.065
ˈi	ˈe	0.051
ˈĩ	ˈi_n	0.871
ˈĩ	ˈa	0.09
ˈo	ˈɔ	0.351
ˈo	ˈu	0.282
ˈo	ˈu_j	0.167
ˈo	ˈi	0.086
ˈo	-	0.082
ˈoː	ˈɔ	0.703
ˈoː	ˈu	0.195
ˈoː	ˈa_w	0.062
ˈoː	ˈa	0.059
ˈu	ˈu	0.562
ˈu	ˈu_k	0.259
ˈu	ˈo	0.171
ˈy	ˈu	0.279
ˈø	ˈɔ	0.453
ˈø	ˈɛ	0.181
ˈø	ˈo	0.158
ˈø	ʎ	0.087
ˈø	a	0.075
ˈɑ̃	ˈa_n	0.717
ˈɑ̃	ˈa_m	0.273
ˈɔ	ˈa	0.51
ˈɔ	ˈɔ	0.198
ˈɔ	ˈo	0.142
ˈɔ	ˈu	0.097
ˈɔ	a	0.052
ˈɔ̃	ˈu_n	0.422
ˈɔ̃	ˈo_n	0.242
ˈɔ̃	ˈo	0.194
ˈɛ	ˈɛ	0.354
ˈɛ	ˈi	0.197
ˈɛ	ˈa	0.154
ˈɛ	ə	0.067
ˈɛ	ˈe	0.061
ˈɛ	ˈe_k	0.06
ˈɛː	ˈa	0.349
ˈɛː	ˈe	0.349
ˈɛ̃	ˈa_n	0.239
ˈɛ̃	ɲ	0.226
ˈɛ̃	ˈɛ_n	0.119
ˈɛ̃	ŋ	0.107
ˈɛ̃	ə	0.1
ˈɛ̃	ˈi	0.078
