Sassarese	Sassarese	probability
β_i	w	1.0
ˈi_u	ˈi_w	1.0
ˈi_n_u_#>	ˈi_#>	1.0
ˈe_tː	ˈi_t	1.0
ˈa_n_u_#>	ˈa_#>	1.0
ˈa_n_i_#>	ˈa_#>	1.0
ˈa_i	ˈa_t	1.0
ˈa_#>	ˈa_r_#>	1.0
ʧː	ʎ	1.0
ʧ	k_l	1.0
ʦː_u	w	1.0
ʦ_i_#>	#>	1.0
ʦ_i	w	1.0
ʤ	ʤ	1.0
ʣ	ʧ	1.0
ʎː	ʎ	1.0
ʃː	ʃ	1.0
ɲː	ɲ	1.0
ɡ_u	k	1.0
ɔ	ˈo	1.0
ŋ	ŋ	1.0
z_u	s	1.0
z	z	1.0
x	s_k	1.0
w	w	1.0
v	v	1.0
t	t	1.0
sː	s	1.0
r_ˈɛ	ɾ_ˈæ	1.0
r_i_#>	l_#>	1.0
r_i	r	1.0
pː	s_p	1.0
o	o	1.0
nː	n	1.0
n_u_#>	#>	1.0
n_i_#>	#>	1.0
n	n	1.0
mː_i_#>	m_#>	1.0
mː	m	1.0
m	m	1.0
lː	-	1.0
l	ʎ	1.0
kː	k	1.0
k	k	1.0
i_ɡː	e_ɣ	1.0
fː	f	1.0
f_j	f_l	1.0
f	f	1.0
e	-	1.0
dː_u	ʎ	1.0
bː	β	1.0
a_r	ɾ	1.0
a_m	a_m	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_i	<#_e	1.0
<#_a	<#_a	1.0
<#	<#_ɡ	1.0
u_#>	#>	0.941
p	p	0.853
ˈa	ˈa	0.824
ˈu	ˈu	0.75
ɡ	ɣ	0.75
ɡː	k	0.714
ˈɔ	ˈɒ	0.675
b	b	0.667
<#_ˈo	<#_ˈɒ	0.667
tː	t	0.636
ˈo	ˈo	0.619
ʦː	l_s	0.6
rː	r_n	0.6
ˈɛ	ˈe	0.56
ʦ	s	0.556
ʤː	ʤ	0.5
ʤː	-	0.5
ɬ	s	0.5
xː	s_k	0.5
xː	r_k	0.5
r	ɾ	0.5
d	d	0.5
#>	ɐ_#>	0.5
#>	e_#>	0.5
ˈi	ˈi	0.485
j	-	0.476
u	o	0.419
ʦː	s	0.4
rː	r	0.4
dː	ð	0.389
dː	t	0.389
a	ɐ	0.389
i	-	0.385
ˈe	ˈe	0.375
β	w	0.364
β	v	0.364
d	-	0.346
ˈe	ˈæ	0.333
ɬ	l	0.333
<#_ˈo	<#	0.333
ˈɛ	ˈæ	0.32
ˈo	ˈɒ	0.286
ɡː	-	0.286
r	l	0.286
β	β	0.273
ˈu	ˈo	0.25
ɡ	ɡ	0.25
j	l	0.238
b	v	0.238
ʦ	s_i	0.222
ʦ	-	0.222
a	ɞ	0.194
tː	ˈi_t	0.182
tː	j_t	0.182
a	ɜ	0.181
a	a	0.181
ˈɔ	ˈo	0.175
ɬ	r	0.167
u	ɜ	0.161
i	e	0.154
ˈi	ˈi_r	0.152
u	-	0.129
ˈe	ˈæ_r	0.125
ˈɛ	ˈe_j	0.12
r	r	0.119
dː	ʎ	0.111
dː	-	0.111
ˈa	r	0.098
u	ʎ	0.097
u	u	0.097
u	s	0.097
i	i	0.096
ˈo	-	0.095
j	ˈa	0.095
j	z	0.095
j	r	0.095
b	-	0.095
ˈi	ɾ	0.091
ˈi	-	0.091
p	-	0.088
ˈe	ˈi	0.083
ˈe	ɾ_ˈe	0.083
i	ˈi	0.077
i	w	0.077
d	ð	0.077
d	z	0.077
ˈɔ	ˈu	0.075
ˈɔ	-	0.075
ˈi	e_r	0.061
ˈi	e	0.061
ˈi	d_ɾ	0.061
u_#>	e_#>	0.059
p	β	0.059
i	s	0.058
i	l	0.058
i	e_s	0.058
a	e	0.056
