Western Lombard	Campidanese	probability
ˈɛ_r	ˈɛ	1.0
ˈɛ_k	ˈi_k	1.0
ˈɑː	ˈa	1.0
ˈøː_k	ˈo_ɣ	1.0
ˈøː_f	ˈo_u	1.0
ˈøː	ˈɔ	1.0
ˈỹ	ˈu_n	1.0
ˈy	-	1.0
ˈĩ	ˈi_n	1.0
ˈiː	ˈi	1.0
ˈa_s	ˈa_ʃ	1.0
ˈa	ˈa	1.0
ʧ_#>	#>	1.0
ʤ	ɣ	1.0
z	-	1.0
y	-	1.0
w	w	1.0
ũ	-	1.0
t_e	t_u	1.0
t_a	t_a	1.0
r_n	r	1.0
p_#>	p_u_z_ŭ_#>	1.0
p	p	1.0
o	-	1.0
m	m	1.0
l_s	ʧ	1.0
l_a	l_a	1.0
ĩ	-	1.0
i	-	1.0
d_e	i	1.0
ã	-	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʧ	<#	1.0
<#_ʤ	<#_ʤ	1.0
<#_v	<#	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#	<#_a	1.0
k	k	0.897
b	b	0.889
<#_l	<#_l	0.889
a	a	0.864
n	n	0.833
f	f	0.821
t	t	0.8
ˈã	ˈa_n	0.778
ˈyː	ˈu	0.75
ˈũ	ˈɔ_n	0.714
ˈẽ	ˈɛ_n	0.714
ʒ	ʤ	0.714
s	s	0.678
ˈe	ˈɛ	0.667
ˈeː	ˈɛ	0.643
ˈuː	ˈu	0.6
ɲ	n_ʤ	0.6
r	ɾ	0.596
v	b	0.591
ʧ	ʧ	0.583
e	i	0.556
d	d	0.556
ˈu	ˈu	0.538
ɡ	ɡ	0.538
l	l	0.483
#>	i_#>	0.483
ˈɛ	ˈe	0.478
ˈɔ	ˈo	0.467
u	-	0.455
#>	u_#>	0.442
ˈi	ˈi	0.417
ˈuː	ˈɔ	0.4
ɲ	-	0.4
ˈɛ	ˈɛ	0.391
ˈeː	ˈi	0.357
ˈɔ	ˈɔ	0.333
ˈe	-	0.333
j	ɾ	0.312
j	ɭː	0.312
ˈũ	ˈo_n	0.286
ˈẽ	-	0.286
ʒ	-	0.286
d	ð	0.278
v	-	0.273
u	ɔ	0.273
u	u	0.273
ˈi	ˈi_ɾ	0.25
ʧ	t	0.25
j	-	0.25
ˈu	ˈɔ	0.231
ˈu	ˈo	0.231
ɡ	ɣ	0.231
ɡ	-	0.231
ˈã	ˈa	0.222
e	ɛ	0.222
e	e	0.222
l	-	0.207
ˈɔ	-	0.2
t	ð	0.2
r	r	0.192
f	i	0.179
ˈi	ˈu_i	0.167
ˈi	i	0.167
ʧ	ʤ_i	0.167
n	nː	0.167
d	-	0.167
l	ɖː_u	0.138
v	β	0.136
r	ɾ_u	0.135
ˈɛ	ˈi	0.13
ˈyː	ˈɔ	0.125
ˈyː	-	0.125
j	j	0.125
s	ʒ	0.119
b	-	0.111
<#_l	<#_ˈi	0.111
l	ɭː	0.103
a	u	0.085
r	-	0.077
l	u	0.069
s	ʃ	0.068
k	ɣ_u	0.051
k	ŋ_ɡ	0.051
a	ɾ_a	0.051
