Nuorese	Nuorese	probability
β_ɛ	w_ə	1.0
β	-	1.0
ˈɔ	o̯ˈa	1.0
ʣ	ʎ	1.0
ɛ_#>	#>	1.0
ɖː	l	1.0
ɔ	u	1.0
ŋ	-	1.0
ð	d	1.0
z	-	1.0
u_#>	#>	1.0
u	u	1.0
t_u_#>	t_#>	1.0
r	r	1.0
o	u	1.0
n_u_#>	n_#>	1.0
m_ɛ	n	1.0
m	m	1.0
k_u_#>	k_#>	1.0
j	-	1.0
f_ˈi	ˈi	1.0
f	f	1.0
e	i	1.0
d	d	1.0
a_#>	#>	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#	1.0
<#_r	<#_r	1.0
<#_b	<#	1.0
ɛ	i	0.933
a	ə	0.923
p	p	0.867
s	s	0.824
ˈu	ˈu	0.789
n	n	0.786
t	t	0.778
ɡ	ɡ	0.75
k	k	0.75
l	l	0.688
ˈa	ˈa	0.682
ɾ	r	0.639
ˈe	ˈe	0.636
nː	n	0.6
i	-	0.6
<#	<#_j	0.6
ˈo	ˈo	0.583
b	b	0.533
b	v	0.467
ˈɛ	ˈa	0.412
ˈi	ˈi	0.412
nː	-	0.4
i	i	0.4
<#	<#_k	0.4
ˈe	ˈi	0.364
ˈi	e̯ˈa	0.353
ˈa	ˈɔ	0.318
l	r	0.312
ˈo	w_ˈo	0.25
ɡ	z	0.25
k	ʦ	0.25
ˈi	ˈe	0.235
t	p_t	0.222
ˈu	ˈo	0.211
ɾ	ʎ	0.194
ˈɛ	ˈi	0.176
ˈɛ	ˈe	0.176
s	-	0.176
ˈo	ˈu	0.167
ɾ	l	0.167
n	-	0.143
p	kʲ	0.133
ˈɛ	-	0.118
a	-	0.077
n	j_n	0.071
ɛ	ə	0.067
ˈɛ	ˈɛ	0.059
ˈɛ	ɔ	0.059
