Provençal	Provençal	probability
ˈɛ_s	ˈe	1.0
ˈɛ_j	ˈɛː	1.0
ˈɔ	-	1.0
ˈỹ	-	1.0
ˈy_b	ˈy	1.0
ˈũ_ŋ	ˈɔ̃	1.0
ˈĩ_ŋ	ˈĩ	1.0
ˈi_#>	ˈi_#>	1.0
ˈẽ_ŋ	ˈɛ̃	1.0
ˈẽ	-	1.0
ˈe_k	ˈɛ_t	1.0
ˈã_ŋ	ˈɑ̃	1.0
ˈa_j	ˈaː	1.0
ˈa_#>	ˈa_#>	1.0
ʧ	-	1.0
ɲ_#>	ˈɛ̃_#>	1.0
ɲ	ɲ	1.0
ɔ_#>	#>	1.0
ŋ_#>	#>	1.0
y	-	1.0
w_ˈẽ	ˈɔ̃	1.0
ũ	ɔ̃	1.0
t	t	1.0
p	p	1.0
n	n	1.0
mː	m	1.0
m_#>	#>	1.0
m	m	1.0
lː	l	1.0
k_ˈa	ʃ	1.0
k_ɾ	k_ʁ	1.0
k_w	k	1.0
k_#>	#>	1.0
j_ˈe	ˈi	1.0
j_ɔ	ʎ_ə	1.0
ĩ	ĩ	1.0
i_#>	o_#>	1.0
f	f	1.0
ẽ	ɛ̃	1.0
e_s	e	1.0
d_ɔ	a	1.0
ã_ŋ	ɑ̃	1.0
a_s	ɑː	1.0
<#_ˈa	<#	1.0
<#_ʤ	<#_ð	1.0
<#_ʀ	<#_ʁ	1.0
<#_w	<#_ˈo	1.0
<#_t	<#_t	1.0
<#_a	<#_a	1.0
v	v	0.923
s	s	0.881
l	l	0.86
ɡ	ɡ	0.833
ʀ_#>	ʁ_#>	0.8
s_#>	ʃ_#>	0.778
ʀ	ʁ	0.75
z	z	0.75
ɔ	a	0.724
b	b	0.72
a	a	0.692
ˈe_#>	ˈɛː_#>	0.667
i	-	0.667
d	d	0.667
ɾ	ʁ	0.659
w_ˈe	ˈoː	0.643
w_#>	l_#>	0.591
j_#>	ʎ_#>	0.571
ɥ	w	0.556
ˈi	ˈi	0.529
ˈy	ˈu	0.5
ˈy	-	0.5
ˈũ	w	0.5
ˈũ	j	0.5
ˈã	ˈɑ̃	0.5
ˈã	-	0.5
ˈa_w	ˈoː	0.5
ˈa_w	w_ˈe	0.5
ˈa	ˈa	0.5
u	o	0.5
k	ʃ	0.5
ˈi	ˈe	0.471
w	w	0.462
k	k	0.444
ʤ	ʒ	0.429
j_#>	#>	0.429
j	-	0.385
e	ə	0.385
ˈɛ	ˈe	0.37
ʤ	ð	0.357
ɾ	ð	0.341
ˈe_#>	ˈɛː_ʁ_#>	0.333
u	ɔ	0.333
i	i	0.333
d	-	0.333
#>	ʁ_#>	0.333
ŋ	-	0.308
w	-	0.308
j	j	0.308
a	-	0.308
b	v	0.28
w_#>	#>	0.273
e	-	0.269
ˈe	ˈe	0.25
z	-	0.25
e	o	0.25
ˈu	ˈo	0.231
ŋ	ˈɛ̃	0.231
ŋ	ˈɔ̃	0.231
ŋ	ˈĩ	0.231
w	ˈaː	0.231
ˈɛ	ˈɛ	0.222
ɥ	ˈo	0.222
ɥ	-	0.222
s_#>	#>	0.222
ˈe	ˈɛː	0.219
ˈe	ˈɛ	0.219
ʤ	-	0.214
w_ˈe	ˈɔ	0.214
ɔ	ə	0.207
ʀ_#>	#>	0.2
ˈu	ˈu	0.192
ɡ	-	0.167
u	u	0.167
#>	ˈi_#>	0.167
#>	ʃ_#>	0.167
#>	o_#>	0.167
#>	f_#>	0.167
ˈe	-	0.156
j	ˈe	0.154
j	ʎ	0.154
ˈɛ	ˈɛː	0.148
w_ˈe	ˈu	0.143
w_#>	f_#>	0.136
ʀ	ð	0.125
ʀ	-	0.125
ˈa	ˈe	0.118
ˈa	-	0.118
ˈu	ˈɔ	0.115
ˈu	ˈoː	0.115
ˈu	w_ˈɛː	0.115
ˈɛ	j_ˈe	0.111
ˈe	ˈø	0.094
ˈa	ˈɑː	0.088
ˈa	ˈaː	0.088
ˈa	j_ˈe	0.088
ˈu	ˈø_ʁ	0.077
ˈu	ˈø	0.077
ˈu	w	0.077
v	-	0.077
ˈɛ	j	0.074
ˈɛ	-	0.074
l	ʎ	0.07
l	-	0.07
ɔ	i	0.069
ˈe	ˈi	0.062
e	ɛ	0.058
k	ˈa	0.056
