Emilian	Walloon	probability
θ_a	t	1.0
ˈʌ_ŋ	ˈɔ̃	1.0
ˈɛ_ɡ	ˈɔː	1.0
ˈɛ_r	ˈe	1.0
ˈɛ_l	j_ˈa	1.0
ˈɔː_v	ˈuː	1.0
ˈæ_ŋ	ˈɛ̃	1.0
ˈæ	ˈɛ̃	1.0
ˈuː_ɡ	ˈøː	1.0
ˈo_ɲ	ˈœ̃	1.0
ˈo_ŋ	ˈɔ̃	1.0
ˈiː_r	ˈi	1.0
ˈi	-	1.0
ˈe_ŋ	ˈẽ	1.0
ˈa_ŋ	ˈɑ̃	1.0
ʤ	-	1.0
ɲ_a	ɲ	1.0
ŋ_n	n	1.0
ð_n	ɲː	1.0
w	w	1.0
v_r	f	1.0
u_ŋ	ɔ̃	1.0
t_e	t	1.0
s_ˈa	s	1.0
s_t	s	1.0
s_k	ʃ	1.0
s_e	ʃ	1.0
r_θ	ˈa_s	1.0
r_t	ˈa_ʀ	1.0
p	p	1.0
o	-	1.0
k_r	k_ʀ	1.0
k_a	ʧ	1.0
j_ˈɛ	ˈiː	1.0
i_ŋ	ɛ̃	1.0
f	f	1.0
e_r	t	1.0
b_e	p	1.0
b	b	1.0
a_ŋ	ɑ̃	1.0
a_j	ɛː	1.0
m	m	0.908
r	ʀ	0.843
θ	s	0.842
t	t	0.822
ˈʌu̯	ˈøː	0.769
e	-	0.753
ɲ	ɲ	0.743
ʧ	-	0.737
ˈo	ˈɔ	0.731
s	s	0.709
ˈʌ	ˈɔ	0.697
ð	ʤ	0.695
v	v	0.661
n	n	0.595
d	-	0.581
i	i	0.575
ˈɛː	j_ˈɛ	0.568
ŋ	ˈɛ̃	0.552
ˈuː	-	0.526
ˈɛ_d	ˈɛː	0.5
ˈɛ_d	ˈɛ	0.5
u	ɔ	0.5
ˈiː	ˈiː	0.494
ˈɔ	ˈɔ	0.487
ˈɔː	w	0.485
l	l	0.484
k	ʧ	0.482
z	-	0.477
ˈe	ˈɛ	0.469
a	a	0.449
ˈa	-	0.434
ˈɛː	-	0.432
i	ẽ	0.425
ɡ	-	0.417
k	k	0.415
a	j	0.382
j	l	0.368
ˈɔ	-	0.363
ˈuː	ˈøː	0.358
z	ʃ	0.347
ˈaː	ˈa	0.344
l	j	0.337
ˈɛ	ˈiː	0.329
ɡ	ɡ	0.319
d	d	0.307
ð	-	0.305
ˈʌ	-	0.303
j	-	0.297
ˈe	ˈiː	0.292
ˈiː	ˈeː	0.29
n	-	0.278
ˈo	-	0.269
u	-	0.264
ˈɔː	ˈuː	0.263
ʧ	k_l	0.263
ɲ	i_n	0.257
ˈɔː	-	0.252
e	ˈɛː	0.247
ˈe	-	0.239
u	uː	0.236
ˈʌu̯	-	0.231
ˈɛ	ˈe	0.219
ˈiː	-	0.216
ˈaː	ˈɔː	0.21
j	j	0.202
ˈa	w	0.198
ˈaː	ˈɛ	0.196
v	-	0.19
l	-	0.179
t	-	0.178
z	ʒ	0.176
a	ɛ	0.169
ˈa	ˈɛ̃	0.164
ŋ	ˈɔ̃	0.164
ɡ	k	0.16
θ	-	0.158
r	-	0.157
s	-	0.152
ˈɔ	ˈu	0.149
v	f	0.149
ŋ	ˈẽ	0.142
ŋ	n	0.142
s	ʃ	0.139
ˈɛ	ˈɔː	0.133
ˈɛ	j_ˈɛ	0.133
n	ˈɛ̃_n	0.128
ˈaː	w	0.125
ˈaː	-	0.125
ˈuː	u	0.116
ˈa	ˈa	0.115
d	j	0.111
ɡ	w	0.103
k	-	0.103
ˈɛ	ˈɛ	0.094
ˈɛ	ˈoː	0.093
m	m_w	0.092
ˈa	ˈɛ	0.089
j	ˈɔː	0.089
