Standard Mandarin	Jin	probability
ʨʰ	ʨʰ	1.0
ʨ	ʨ	1.0
ʦʰ	ʦʰ	1.0
ʦ	ʦ	1.0
ʐ̩	z̩	1.0
ʐ	ʐ	1.0
ʊ	ũ	1.0
ʈ͡ʂʰ	ʦʰ	1.0
ʈ͡ʂ	ʦ	1.0
ʂ	s	1.0
ɻ	ɻ	1.0
ɥ	ɥ	1.0
ə	ə̃	1.0
ɕ	ɕ	1.0
ɔ	a_ʔ	1.0
ɑ_ŋ	ɒ̃	1.0
ɑ	a	1.0
ŋ	ŋ	1.0
²¹⁴	⁵³	1.0
z̩	z̩	1.0
x	x	1.0
w_ɔ	ɤ	1.0
tʰ	tʰ͡x	1.0
t	t	1.0
s	s	1.0
pʰ	pʰ͡x	1.0
p	p	1.0
o	ə	1.0
m	m	1.0
l	l	1.0
kʰ	kʰ͡x	1.0
k	k	1.0
j	j	1.0
f	f	1.0
e	e	1.0
a_⁵⁵	a_¹¹	1.0
a_n	æ̃	1.0
a	a	1.0
<#_ɤ	<#_ə	1.0
#>	²_#>	1.0
³⁵	¹¹	0.951
⁵⁵	¹¹	0.941
w	w	0.861
⁵¹	⁴⁵	0.8
y	y	0.75
ɛ	e	0.7
<#	v_<#	0.6
u	u	0.583
i	i	0.533
n	ŋ	0.52
i	ĩ	0.467
u	ə_ʔ	0.417
<#	ɣ_<#	0.4
ɤ	ɤ	0.375
ɤ	ə̃	0.375
ɛ	ə_ʔ	0.3
n	-	0.28
ɤ	a_ʔ	0.25
y	ỹ	0.25
⁵¹	²	0.2
n	n	0.2
w	v	0.139
⁵⁵	²	0.059
