Scots	English	probability
b	b	1.0
d	d	0.986
e	ɪ	1.0
f	f	1.0
h	h	1.0
i	ɪ	0.83
i	ˈiː	0.17
j	j	0.886
j	-	0.114
k	k	0.908
kʰ	kʰ	0.93
kʰ	-	0.07
l	l	0.647
l	ɫ	0.353
m	m	0.983
n	n	0.992
p	p	1.0
pʰ	pʰ	1.0
r	ɹ	0.366
r	ə	0.36
r	-	0.274
s	s	0.937
s	ʃ	0.063
t	t	0.984
tʰ	tʰ	0.976
v	v	1.0
w	w	0.982
x	f	1.0
z	z	1.0
ç	-	0.714
ç	f	0.286
ð	ð	1.0
ŋ	ŋ	1.0
ə	ə	0.653
ə	əʊ̯	0.09
ə	d_ə	0.087
ə	ɡ_ə	0.074
ɛ	ə	1.0
ɡ	ɡ	0.829
ɡ	ʤ	0.171
ɪ	ɪ	1.0
ʃ	ʃ	1.0
ʍ	w	1.0
ʤ	ʤ	1.0
ʧ	ʧ	1.0
ˈa	ˈæ	0.453
ˈa	ˈɑː	0.142
ˈa	ˈe	0.142
ˈa	ˈɒ	0.117
ˈa	ˈɔː	0.113
ˈaɪ̯	ˈaɪ̯	1.0
ˈaː	ˈaɪ̯	1.0
ˈaːɪ̯	ˈaɪ̯	1.0
ˈe	ˈəʊ̯	0.387
ˈe	ˈeɪ̯	0.271
ˈe	ˈe	0.146
ˈe	ˈɐ	0.086
ˈeː	ˈɑː	0.292
ˈeː	ˈɛ	0.255
ˈeː	ˈeɪ̯	0.174
ˈeː	ˈəʊ̯	0.117
ˈeː	ˈe	0.073
ˈi	ˈiː	0.714
ˈi	ˈe	0.172
ˈi	ˈɪ	0.084
ˈiː	ˈɪ	0.396
ˈiː	ˈiː	0.39
ˈiː	ˈaɪ̯	0.176
ˈo	ˈɔː	0.81
ˈo	ˈɒ	0.19
ˈoː	ˈɔː	0.567
ˈoː	ˈəʊ̯	0.433
ˈu	ˈaʊ̯	0.616
ˈu	ˈɐ	0.17
ˈu	ˈɪ	0.151
ˈuː	ˈuː	0.415
ˈuː	ˈaʊ̯	0.381
ˈuː	ˈʊ	0.135
ˈuː	ˈɐ	0.07
ˈø	ˈuː	0.698
ˈø	ˈʊ	0.162
ˈø	ˈɐ	0.14
ˈøː	ˈuː	1.0
ˈɑː	ˈæ	0.401
ˈɑː	ˈəʊ̯	0.198
ˈɑː	ˈɑː	0.148
ˈɑː	ɫ	0.096
ˈɑː	ˈaɪ̯	0.074
ˈɑː	ˈeɪ̯	0.053
ˈɔɪ̯	ˈɔː	1.0
ˈəi̯	ˈaɪ̯	0.916
ˈɛ	ˈe	0.593
ˈɛ	ˈɑː	0.21
ˈɛ	ˈɛ	0.068
ˈɛ	ˈeɪ̯	0.06
ˈɛː	ˈeɪ̯	1.0
ˈɪ	ˈɪ	0.563
ˈɪ	ˈaɪ̯	0.161
ˈɪ	ˈɜː	0.13
ˈɪ	ˈɐ	0.12
ˈʌ	ˈɐ	0.861
ˈʌ	ˈæ	0.093
ˈʌu̯	ˈəʊ̯	0.811
ˈʌu̯	ˈɔː	0.189
θ	θ	1.0
