Scots	English	probability
b	b	0.947
b	tʰ	0.055
d	d	0.982
d	θ	0.029
e	əʊ̯	1.0
f	f	1.0
h	h	1.0
i	ɪ	1.0
j	j	0.878
j	ˈɜː	0.089
k	k	0.779
k	ʧ	0.123
k	-	0.071
kʰ	kʰ	1.0
l	l	0.624
l	ɫ	0.374
m	m	0.908
m	-	0.086
n	n	1.0
p	p	1.0
pʰ	pʰ	1.0
r	ɹ	0.411
r	-	0.367
r	ə	0.219
s	s	0.92
s	-	0.029
s	ʃ	0.029
s	z	0.029
t	t	1.0
tʰ	tʰ	0.909
tʰ	b	0.085
v	v	1.0
w	w	0.945
w	-	0.055
x	-	0.776
x	f	0.171
z	z	1.0
ç	f	0.239
ð	ð	1.0
ŋ	ŋ	1.0
ə	ə	0.803
ə	-	0.171
ə	ɪ	0.038
əi̯	ɪ	0.715
əi̯	ə	0.196
ɡ	ɡ	0.855
ɡ	ʤ	0.141
ɪ	-	0.361
ɪ	ɪ	0.361
ɪ	ə	0.203
ɫ	ɫ	0.66
ɫ	l	0.225
ɹ	ɹ	1.0
ʃ	ʃ	1.0
ʍ	w	1.0
ʧ	ʧ	1.0
ˈa	ˈe	1.0
ˈaːɪ̯	ˈaɪ̯	0.489
ˈe	ˈəʊ̯	0.285
ˈe	ˈeɪ̯	0.275
ˈe	ˈɪ	0.133
ˈe	ˈɛ	0.086
ˈe	ˈe	0.075
ˈei̯	ˈiː	0.349
ˈei̯	ˈe	0.326
ˈei̯	ˈɪ	0.171
ˈei̯	ˈeɪ̯	0.058
ˈei̯	ˈɛ	0.05
ˈeː	ˈeɪ̯	0.841
ˈeː	ˈæ	0.104
ˈi	ˈiː	0.514
ˈi	ˈɪ	0.448
ˈiː	ˈiː	0.765
ˈiː	ˈaɪ̯	0.112
ˈiː	ˈe	0.102
ˈoe̯	ˈɔː	0.239
ˈø	ˈuː	0.709
ˈø	ˈɐ	0.133
ˈø	ˈʊ	0.123
ˈɑ	ˈæ	0.298
ˈɑ	ˈɔː	0.192
ˈɑ	ˈɪ	0.127
ˈɑ	ˈɒ	0.091
ˈɑ	ˈɑː	0.091
ˈɑː	ˈəʊ̯	0.326
ˈɑː	ˈæ	0.222
ˈɑː	ˈɑː	0.155
ˈɑː	ˈuː	0.103
ˈɑː	ˈeɪ̯	0.078
ˈɔ	ˈɒ	0.386
ˈɔ	ˈɐ	0.212
ˈɔ	ˈʊ	0.16
ˈɔ	ˈɔː	0.101
ˈɔ	ˈəʊ̯	0.098
ˈɔ_r	ˈɔː	0.822
ˈɔ_r	ˈɜː	0.175
ˈəi̯	ˈaɪ̯	0.927
ˈəi̯	ˈeɪ̯	0.071
ˈɛ	ˈe	0.629
ˈɛ	ˈiː	0.141
ˈɛ	ˈɪ	0.141
ˈɛ	ˈɑː	0.052
ˈɛ	ˈaɪ̯	0.043
ˈɛ_r	ˈɑː	0.489
ˈɪ	ˈɪ	0.76
ˈɪ	ˈɐ	0.095
ˈɪ	ˈiː	0.043
ˈɪ	ˈʊ	0.04
ˈɪ	ˈɒ	0.039
ˈɪ_r	ˈɜː	1.0
ˈɪ_x	ˈaɪ̯	1.0
ˈʉ	ˈaʊ̯	0.75
ˈʉ	ˈuː	0.127
ˈʉ	ˈʊ	0.059
ˈʉ	ˈɐ	0.059
ˈʌ	ˈɐ	0.843
ˈʌ	ˈæ	0.13
ˈʌʉ̯	ˈəʊ̯	0.699
ˈʌʉ̯	ˈɔː	0.208
θ	θ	1.0
