Latin	Italian	probability
a	a	0.703
a	-	0.161
ae̯	e	0.525
ae̯	a	0.257
ae̯	u	0.166
au̯	a_w	0.425
au̯	a	0.28
au̯	o	0.28
aː	a	0.773
aː	-	0.107
aː	w	0.107
aː_s	e	1.0
ãː	a	0.913
ãː	-	0.074
b	b	0.764
b	v	0.132
b	-	0.07
d	d	0.852
d	-	0.073
d_i	j	0.594
d_i	ʤ	0.268
e	ɲ	0.35
e	-	0.239
e	e	0.181
e	j	0.181
eː	e	0.552
eː	i	0.333
eː	ˈe	0.069
f	f	1.0
h	-	0.61
h	w	0.335
i	-	0.414
i	ʎ	0.255
i	j	0.117
i	ɲ	0.101
iː	i	0.672
iː	-	0.311
j	ʤ	1.0
k	k	0.565
k	ʧ	0.157
k	-	0.111
k	ɡ	0.076
k	t	0.059
k_i	ʧ	0.519
kʷ	k	0.404
kʷ	k_w	0.289
kʷ	ʧ	0.186
kʷ	ɡ_w	0.097
l	l	0.717
l	j	0.237
l	e	0.054
lʲ	l	0.73
lʲ	ʎ	0.197
lʲ	-	0.065
m	m	0.894
m	n	0.082
n	n	0.782
n	-	0.1
n	ɲ	0.094
o	-	0.784
o	o	0.139
oː	o	0.951
oː	-	0.059
oː_s	i	1.0
p	p	0.863
p	-	0.059
r	r	0.934
r	-	0.06
s	s	0.781
s	-	0.09
s	z	0.068
t	t	0.856
t	-	0.073
t_e	ʦ	1.0
tʰ	d	0.519
u	ˈo	0.574
u	r	0.298
uː	u	0.45
uː	o	0.234
uː	ˈu	0.139
w	v	0.81
w	-	0.103
w	t	0.053
ŋ	ŋ	0.579
ŋ	n	0.21
ŋ	ɲ	0.189
ŋ_k	n	1.0
ɔ	o	0.646
ɔ	-	0.122
ɔ	ˈɔ	0.1
ɔ	u	0.07
ɔ	e	0.055
ɛ	e	0.795
ɛ	-	0.116
ɛ	i	0.056
ɛ_ãː	a	0.269
ɛ̃	e	0.796
ɛ̃	-	0.166
ɛ̃ː	e	0.876
ɛ̃ː	-	0.07
ɡ	ʤ	0.435
ɡ	ɡ	0.245
ɡ	-	0.211
ɡ	ɲ	0.078
ɡʷ	ɡ_w	0.699
ɡʷ	ɡ	0.164
ɪ	-	0.256
ɪ	i	0.227
ɪ	e	0.202
ɪ	o	0.076
ɪ	j	0.056
ɪ̃	i	1.0
ɫ	l	0.613
ɫ	j	0.281
ɫ	-	0.083
ʊ	-	0.698
ʊ	o	0.3
ʊ_s	o	1.0
ʊ_ɫ	j	1.0
ʊ̃ː	o	0.943
ˈa	ˈa	0.94
ˈae̯	ˈɛ	0.269
ˈau̯	ˈɔ	1.0
ˈaː	ˈa	0.945
ˈe	ˈi	0.269
ˈeː	ˈe	0.919
ˈeː	ˈɛ	0.081
ˈi	ˈi	0.384
ˈi	ˈa	0.151
ˈiː	ˈi	0.887
ˈiː	ˈe	0.066
ˈĩː	ˈi	1.0
ˈo	ˈɔ	0.758
ˈo	ˈɛ	0.106
ˈoe̯	ˈe	0.519
ˈoː	ˈo	0.854
ˈoː	ˈɔ	0.067
ˈoː	ˈu	0.066
ˈu	ˈu	0.517
ˈu	ˈo	0.192
ˈu	ˈɔ	0.192
ˈuː	ˈu	0.928
ˈyː	ˈi	0.269
ˈɔ	ˈɔ	0.839
ˈɔ	ˈu	0.052
ˈɛ	ˈɛ	0.888
ˈɛ̃ː	ˈi	0.519
ˈɪ	ˈe	0.763
ˈɪ	ˈi	0.06
ˈʊ	ˈo	0.612
ˈʊ	ˈu	0.251
ˈʊ	ˈɔ	0.122
