Teochew	Teochew	probability
⁵⁵_#>	#>	1.0
⁵²_#>	#>	1.0
⁵²	i_ʔ	1.0
⁴⁴	-	1.0
⁴_#>	#>	1.0
ʨʰ	ʦʰ	1.0
ʣ	n_i	1.0
ɡ	ŋʷ	1.0
ŋ̍	ɡʷ_aː	1.0
ŋ_¹¹	n_s	1.0
ŋ_²¹³	n_s	1.0
¹¹	-	1.0
³⁵_#>	#>	1.0
³³_#>	#>	1.0
²⁴	-	1.0
²¹³_#>	#>	1.0
²_#>	#>	1.0
w_⁵²	ʔ	1.0
w_³⁵	ʔ	1.0
w_³³	u	1.0
ũ	aː	1.0
s	h_l	1.0
p̚	b	1.0
õ	i_a	1.0
o_j	eː	1.0
m	m	1.0
k̚	ɡ	1.0
j_²¹³	d_s	1.0
ĩ	eː	1.0
h_w	p	1.0
h_a	aː	1.0
b	m	1.0
a_⁵⁵_#>	l_#>	1.0
a_¹¹	d_s	1.0
a_w	oː	1.0
<#_ɡ	<#_ŋ	1.0
<#_w	<#_ɡʷ	1.0
<#_t	<#	1.0
<#_s	<#_s	1.0
<#_h	<#	1.0
<#	<#_q	1.0
#>	s_#>	1.0
kʰ	kʰ	0.778
ŋ	ŋ	0.704
p	p	0.692
ɯ	a	0.667
i	i	0.667
u	ɯ	0.636
t	t	0.571
l	r	0.571
k	k	0.562
ʔ_²	ɡ	0.5
ʔ_²	aː_ɡ	0.5
ŋ_⁵²	ʔ	0.5
ŋ_⁵²	n_ʔ	0.5
w_e	r	0.5
w_e	o	0.5
tʰ	l̥ʰ	0.5
tʰ	lʼ	0.5
pʰ	pʰ	0.5
pʰ	b	0.5
j	r	0.5
j	-	0.5
ã	n	0.5
ã	-	0.5
e	r	0.462
ʦʰ	sʰ	0.429
ʦ	ʔ_s	0.429
ʔ	d	0.429
t	d	0.429
l	n	0.429
o	aː	0.375
o	-	0.375
ɯ	aː	0.333
k	ɡ	0.312
p	b	0.308
ŋ	n	0.296
ʦʰ	kʰ	0.286
ʦʰ	-	0.286
ʦ	t	0.286
ʦ	-	0.286
ʔ	ɡ	0.286
ʔ	e_d	0.286
w	aː	0.267
w	-	0.267
e	-	0.231
kʰ	kʰʷ	0.222
i	l	0.222
w	ɯ	0.2
u	ɯː	0.182
u	o	0.182
a	u	0.182
a	aː	0.182
e	r_aː	0.154
e	n	0.154
a	oː	0.152
a	a	0.152
w	r	0.133
w	oː	0.133
o	uː_ʔ	0.125
o	eː	0.125
k	kʷ	0.125
i	r_ɯ	0.111
a	ɯː	0.091
a	uː	0.091
a	l	0.091
a	-	0.061
