Kashubian	Kashubian	probability
ʦ_#>	t_i_#>	1.0
ʤ	ɡ	1.0
ʣ	d	1.0
ʒ̊	ʒ	1.0
ʒ	ʒ	1.0
ʉ	u	1.0
ɾ	r	1.0
ɲ	n_ĭ	1.0
ɡ̊	ɡ	1.0
ɡ	ɡ	1.0
ɛ_ˈ	̂	1.0
ɔ_#>	o_#>	1.0
z̥	z	1.0
z	z	1.0
x	x	1.0
w_ʉ	uː	1.0
w_a	l_a	1.0
v	v	1.0
u̯ɛ	o	1.0
t	t	1.0
s_#>	s_ŭ_#>	1.0
s	s	1.0
r_#>	r_ŭ_#>	1.0
õ	õː	1.0
n	n	1.0
m	m	1.0
l_#>	l_ĭ_#>	1.0
l	l	1.0
k	k	1.0
j_ɞ	ɛː	1.0
j_ã	ẽː	1.0
f	v	1.0
d̥	d_ŭ	1.0
d	d	1.0
b̥	b	1.0
b	b	1.0
<#_ʦ	<#_t	1.0
<#_u̯ɛ	<#_o	1.0
<#_r	<#_r	1.0
<#_l	<#_l	1.0
<#_k	<#_k	1.0
<#_d	<#_d	1.0
r	r	0.947
r̝	r	0.875
p	p	0.818
<#_v	<#_v	0.818
a	a	0.812
e	ɛː	0.714
ˈ_#>	#>	0.667
ʦ	t	0.667
ʃ	-	0.667
a_ˈ	ˀ	0.667
<#_j	<#	0.667
w	l	0.625
i	ŭ	0.615
ʧ	ʧ	0.571
j	-	0.571
ã	ẽ	0.571
u	o	0.545
ɔ	o	0.538
ɛ	e	0.5
w_ɔ	oː	0.5
w_ɔ	o	0.5
u_ˈ	̂	0.5
u_ˈ	ŭ	0.5
u	e	0.455
ɞ	ĭ	0.444
ʧ	-	0.429
j	ɛː	0.429
ã	õː	0.429
w	l_ŭ	0.375
ə	ɨ	0.353
ˈ	̂	0.351
ˈ_#>	̌_#>	0.333
ʦ	ʦ	0.333
ʃ	ʃ	0.333
ɞ	aː	0.333
a_ˈ	̂	0.333
<#_j	<#_a	0.333
#>	ŭ_#>	0.333
#>	ĭ_#>	0.333
ɔ	e	0.308
ˈ	-	0.289
e	-	0.286
ɛ	-	0.269
#>	̌_#>	0.25
ˈ	̌	0.237
ə	i	0.235
ɞ	a	0.222
i	-	0.192
a	ɛː	0.188
p	b_ĭ	0.182
<#_v	<#	0.182
ə	ĭ	0.176
ɛ	ĭ	0.154
ɔ	oː	0.154
r̝	rʲ	0.125
ə	uː	0.118
ə	iː	0.118
i	j	0.115
ˈ	ˀ	0.105
ɛ	ɛː	0.077
i	i	0.077
r	tʲ	0.053
