Bavarian	Bavarian	probability
β	-	1.0
ˈɒː_ŋ	ˈeː	1.0
ˈɑː	ˈe	1.0
ˈoː	-	1.0
ˈiː	ˈɪ	1.0
ˈiɐ̯_ŋ	ˈiː	1.0
ˈa	-	1.0
ʋ	w	1.0
ʃ_d̥	s_t	1.0
ʃ_#>	ʃ_#>	1.0
ɡ̊_s	k_s	1.0
ə	-	1.0
ɑ	-	1.0
ŋ_ɡ̊	ŋ	1.0
ŋ_a	ŋ	1.0
s_ˈi	s_ˈɪ	1.0
s_n	t	1.0
n_s	s	1.0
n_a	n	1.0
i	ɪ	1.0
h	h	1.0
f_a	p	1.0
f_#>	p_#>	1.0
f	f	1.0
eɐ̯	i_n	1.0
d̥_r	d_r	1.0
d̥_n	d	1.0
b̥͡v̥	pʰ	1.0
b̥_#>	f_#>	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_d̥	<#_θ	1.0
<#	<#_j	1.0
m	m	0.913
b̥	b	0.905
ɐ	r	0.889
kʰ	kʰ	0.889
l	l	0.8
r	r	0.786
ˈau̯	ˈu	0.75
j	l	0.75
ˈi	ˈɪ	0.722
n	n	0.688
ˈɑ	-	0.667
ˈou̯	-	0.6
ˈo_j	ˈɑː	0.6
ˈoɐ̯	ˈe	0.583
a	ə_r	0.581
ˈai̯	ˈəi̯	0.579
s	s	0.538
ʦ	tʰ	0.533
ʃ	s	0.533
d̥	d	0.526
ˈiɐ̯	ˈi	0.5
ˈo	-	0.474
ʦ	t	0.467
ʃ	ʃ	0.467
x	k	0.467
ɡ̊	ɡ	0.448
ˈɒː	ˈeː	0.444
ŋ	ŋ	0.444
ˈe	ˈɛ	0.421
ˈou̯	ˈi	0.4
ˈo_j	ˈuː	0.4
ˈeː	ˈiː	0.4
#>	ə_#>	0.375
#>	r_#>	0.375
s	t	0.359
ˈu	ˈʌ	0.35
ˈɒː	-	0.333
ˈɑ	ˈa	0.333
ˈaː	ˈiː	0.333
ˈaː	ˈi	0.333
ˈaː	-	0.333
ŋ	-	0.333
x	ç	0.333
ˈo	ˈo	0.316
ˈu	ˈɪ	0.3
ˈiɐ̯	ˈiː	0.3
ˈuɐ̯	ˈɪ	0.273
ˈuɐ̯	ˈø	0.273
ˈeː	ˈɛ	0.267
ˈeː	-	0.267
ˈe	ˈa	0.263
ˈai̯	-	0.263
a	-	0.258
ˈoɐ̯	ˈe_n	0.25
ˈau̯	ˈuː	0.25
n	-	0.25
j	-	0.25
#>	f_#>	0.25
ɡ̊	-	0.241
ˈɒː	ˈa	0.222
ŋ	n	0.222
r	r_ˈɛ	0.214
ˈo	ˈɑː	0.211
ˈe	-	0.211
ˈu	-	0.2
ˈiɐ̯	-	0.2
x	x	0.2
ˈuɐ̯	ˈi	0.182
ˈuɐ̯	-	0.182
ɡ̊	k	0.172
ˈoɐ̯	ˈeː	0.167
ˈai̯	ˈiː	0.158
d̥	t	0.158
l	l_ˈɪ	0.12
ˈi	ˈiː	0.111
ˈi	-	0.111
ɐ	ˈiː_r	0.111
kʰ	ʧ	0.111
ˈe	ˈʌ	0.105
d̥	θ	0.105
d̥	ð	0.105
ˈu	ˈi	0.1
a	r	0.097
b̥	-	0.095
ˈuɐ̯	ˈøː	0.091
m	v	0.087
l	l_ˈi	0.08
ɡ̊	x	0.069
ˈeː	ˈɛː	0.067
a	ə	0.065
n	ˈɑː_n	0.062
ˈi	ˈaːɪ̯	0.056
s	z	0.051
s	-	0.051
