Middle Chinese	Middle Chinese	probability
˧˥	⁴¹	1.0
ʨ	ʦ	1.0
ʦ	ʦ	1.0
ʥ	s	1.0
ʤ	-	1.0
ʣ	-	1.0
ʔˠ	-	1.0
ʔ	ŋ	1.0
ʑ	ʂ	1.0
ʌ	a	1.0
ʉ	-	1.0
ʈˠ	ʦ	1.0
ʈ	ʦ	1.0
ʃˠ	s	1.0
ʃ	s	1.0
ɳ	-	1.0
ɪ_˧˥	⁴¹	1.0
ɪ_t̚	²⁴	1.0
ɪ	-	1.0
ɨ_ʌ	y	1.0
ɨ_ɐ	æ	1.0
ɨ_u	ə	1.0
ɨ_o	y	1.0
ɦ	x	1.0
ɡ	ʨ	1.0
ɛ_n	ẽ	1.0
ɛ	-	1.0
ə_k̚	ɤ	1.0
ə	ə	1.0
ɖˠ	ʦ	1.0
ɖ	ʦ	1.0
ɕˠ	ɕ	1.0
ɕ	s	1.0
ɑ_n	õ	1.0
ɐ	a	1.0
ȵ	ʐ	1.0
ŋˠ	ŋ	1.0
u_o	u	1.0
u_k̚	w	1.0
t̚	-	1.0
tʰ	tʰ	1.0
t	-	1.0
sˠ	s	1.0
s	ɕ	1.0
p̚	-	1.0
pʰˠ_i	pʰ	1.0
p_ʉ	ɸ	1.0
o_k̚	w_²⁴	1.0
mˠ	m	1.0
l	l	1.0
kˠ	ʨ	1.0
kʰˠ	kʰ	1.0
kʰ	kʰ	1.0
i_ɪ	i	1.0
i_æ	i	1.0
i_e	z̩	1.0
hˠ	-	1.0
h	x	1.0
e_i	i	1.0
d	t	1.0
bˠ	-	1.0
b	ɸ	1.0
a_˦	a_¹³	1.0
a	a	1.0
<#_ɦ	<#	1.0
<#_ȵ_i	<#_ɤ	1.0
<#_m	<#_w	1.0
#>	²⁴_#>	1.0
ŋ	n	0.828
n	n	0.75
m	n	0.7
i	j	0.667
ʦʰ	ʦʰ	0.6
p	p	0.6
k	k	0.571
˦	¹³	0.516
˥˩	⁴⁵	0.5
˥˩	²¹	0.5
w	w	0.5
w	-	0.5
u	w	0.5
˦	³³	0.484
ɑ	a	0.474
<#	<#_nʲ	0.444
ɨ	-	0.44
k	ʨ	0.429
ʦʰ	ʨʰ	0.4
p	ɸ	0.4
e	ɒ	0.357
k̚	ɤ	0.333
k̚	o	0.333
k̚	-	0.333
<#	<#_ʨ	0.333
ɑ	o	0.316
m	m	0.3
ɨ	ə	0.28
u	-	0.278
i	-	0.222
<#	<#_s	0.222
e	i	0.214
ɑ	ɒ	0.211
ŋ	-	0.172
ɨ	z̩	0.16
e	ə	0.143
e	j	0.143
e	-	0.143
u	ə	0.139
n	l̃	0.125
n	ẽ	0.125
ɨ	j_ə	0.12
i	i	0.111
u	e	0.083
