Swabian	North Frisian	probability
#>	#>	0.811
#>	r_#>	0.074
#>	n_#>	0.067
<#	<#	1.0
<#_ʋ	<#	1.0
a	ə	0.921
a	-	0.05
b	b	0.645
b	v	0.195
b	f	0.091
b	-	0.06
b̥	p	0.494
b̥͡f	p	0.494
d	d	0.45
d	t	0.309
d	-	0.118
d	dʲ	0.076
d_#>	#>	1.0
e_#>	#>	1.0
f	f	0.612
f	p	0.188
f	v_ə	0.099
h	h	1.0
i	i	1.0
j	ˈiː	0.574
j	j	0.284
k	-	0.494
kʰ	k	0.607
kʰ	s	0.196
kʰ	-	0.087
kʰ	ʃ	0.062
l	l	0.857
l	lʲ	0.087
m	m	0.872
m	-	0.112
n	n	0.766
n	nʲ	0.129
n	-	0.101
n_#>	#>	0.244
p͡f	d	0.244
s	s	0.59
s	t	0.12
s	tʲ	0.119
s	z	0.108
t	d	1.0
x	x	0.502
x	k	0.474
ç	k	0.654
ç	x	0.32
ŋ	ŋ	1.0
ɐ	ə	1.0
ə	-	0.244
ɡ	ɡ	0.364
ɡ	-	0.122
ɡ	j	0.108
ɡ	k	0.108
ɡ	j_ə	0.074
ɡ	w	0.074
ɡ	ŋ	0.074
ɡ_#>	#>	1.0
ɪ	i	1.0
ʁ	r	0.921
ʃ	s	0.61
ʃ	ʃ	0.385
ʋ	v	0.89
ʋ	-	0.105
ʋ_ˈo	ˈʊ	1.0
ʌ	ə	0.847
ʌ	lʲ	0.085
ʌ	-	0.068
ʕ	r	1.0
ʦ	t	1.0
ˈa	ˈɒː	0.221
ˈa	ˈʊ	0.157
ˈa	ˈœ	0.14
ˈa	ˈɒ	0.129
ˈa	ˈeː	0.083
ˈa	ˈa	0.077
ˈa	ˈuː	0.059
ˈae̯	ˈyː	0.266
ˈae̯	ˈiː	0.232
ˈae̯	ˈai̯	0.111
ˈae̯	ˈøː	0.111
ˈae̯	ˈi	0.081
ˈae̯	w	0.076
ˈae̯	ˈɒ	0.055
ˈao̯	ˈyː	0.517
ˈao̯	ˈuː	0.337
ˈao̯	ˈøː	0.07
ˈaː	ˈɛi̯	0.178
ˈaː	-	0.117
ˈaː	ˈuː	0.117
ˈaː	ˈɒː	0.117
ˈaː	ˈɛː	0.117
ˈaː	ˈœ	0.088
ˈaː	ˈyː	0.086
ˈaː	ˈɒ	0.086
ˈaː	ˈeː	0.064
ˈe	ˈeː	0.281
ˈe	ˈai̯	0.162
ˈe	ˈɛ	0.162
ˈe	ˈa	0.114
ˈe	ˈœ	0.114
ˈe	ˈʊ	0.114
ˈeə̯	ˈiː	0.333
ˈeə̯	ˈøː	0.333
ˈeə̯	ˈɛi̯	0.333
ˈeː	ˈiː	0.631
ˈeː	ˈi	0.339
ˈi	ˈa	0.248
ˈi	ˈeː	0.136
ˈi	ˈi	0.136
ˈi	ˈɔu̯	0.136
ˈi	ˈaː	0.09
ˈi	ˈɔː	0.09
ˈi	ˈɒ	0.071
ˈi	ˈiː	0.057
ˈiə̯	ˈiː	0.633
ˈiə̯	ˈɛ	0.347
ˈiː	ˈiː	0.517
ˈiː	ˈɛi̯	0.297
ˈiː	ˈɔː	0.112
ˈo	ˈʊ	0.384
ˈo	ˈyː	0.165
ˈo	ˈuː	0.109
ˈo	ˈɔu̯	0.109
ˈo	-	0.085
ˈo	ˈʏ	0.084
ˈoː	ˈyː	0.306
ˈoː	ˈuː	0.266
ˈoː	ˈaː	0.12
ˈoː	ˈœ	0.09
ˈoː	ˈɛi̯	0.09
ˈoː	ˈøː	0.087
ˈu	ˈʊ	0.461
ˈu	ˈa	0.304
ˈu	ˈɔː	0.173
ˈuə̯	ˈœ	0.67
ˈuə̯	ˈɔu̯	0.211
ˈuə̯	ˈyː	0.09
ˈuː	ˈœ	0.758
ˈuː	ˈyː	0.091
ˈɔ	ˈɔː	0.478
ˈɔ	ˈɔ	0.354
ˈɔ	ˈøː	0.094
ˈɔe̯	ˈiː	0.614
ˈɔe̯	ˈɒː	0.149
ˈɔe̯	ˈɛː	0.079
ˈɔe̯	ˈɔi̯	0.074
ˈɔe̯	ˈɔu̯	0.055
ˈɔː	ˈɔː	0.34
ˈɔː	ˈɛː	0.193
ˈɔː	-	0.157
ˈɔː	ˈɛi̯	0.157
ˈɔː	ˈeː	0.078
ˈəi̯	ˈi	0.496
ˈəi̯	ˈiː	0.168
ˈəi̯	ˈai̯	0.096
ˈəi̯	ˈyː	0.096
ˈəi̯	ˈʏ	0.075
ˈəi̯	ˈa	0.059
ˈɛ	ˈɛː	0.223
ˈɛ	j_ˈa	0.194
ˈɛ	ˈeː	0.147
ˈɛ	ˈɒ	0.128
ˈɛ	ˈa	0.087
ˈɛ	ˈiː	0.065
ˈɛ	ˈʏ	0.065
ˈɛː	ˈɛi̯	0.315
ˈɛː	ˈi	0.181
ˈɛː	ˈɔː	0.181
ˈɛː	ˈɛː	0.181
ˈɛː	ˈeː	0.118
ˈɪ	ˈai̯	0.257
ˈɪ	ˈa	0.158
ˈɪ	ˈi	0.158
ˈɪ	ˈʊ	0.158
ˈɪ	ˈaː	0.103
ˈʌ	ˈɛ	0.758
ˈʌ	ˈœ	0.091
